"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"274","266","        Net household insurance (111)","DFINRX0",6290,6222,6199,6215,6430,6403,6306,6153,5811,5611,5629,5853,6209,6508,6682,6722,6649,6578,6537,6521,6524,6535,6553,6574,6589,6568,6511,6401,6236,6053,5867,5686,5524,5457,5498,5635,5833,6011,6140,6220,6246,6225,6157,6039,5893,5866,5982,6233,6578,6866,7067,7180,7322,7380,7281,7020,6641,6364,6241,6274,6433,6578,6682,6742,6789,6842,6897
"275","267","          Household insurance premiums and premium supplements","DFIPRX0",9733,9808,9879,9945,10016,10069,10113,10151,10164,10198,10268,10369,10488,10603,10712,10809,10894,10985,11094,11213,11336,11460,11585,11710,11837,12011,12248,12544,12885,13186,13436,13630,13775,13962,14230,14562,14911,15237,15503,15705,15851,16038,16289,16599,16942,17284,17612,17920,18196,18400,18535,18592,18582,18517,18399,18222,18004,17864,17835,17917,18082,18229,18347,18428,18483,18538,18598
"276","268","          Less: Household insurance normal losses","DFIBRX0",4480,4556,4613,4653,4621,4668,4739,4830,4984,5097,5143,5117,5044,4997,5001,5055,5150,5252,5355,5457,5553,5645,5735,5821,5913,6066,6294,6605,6992,7364,7704,8008,8269,8503,8725,8923,9082,9235,9372,9491,9605,9811,10132,10562,11054,11429,11645,11698,11610,11509,11427,11359,11184,11046,11036,11150,11359,11532,11645,11693,11683,11671,11674,11690,11694,11691,11691
"277","269","        Net health insurance (112)","DHINRX0",105893,104198,102802,101526,100652,99228,98230,97495,96712,96697,97527,99039,102198,103999,105457,106669,106753,107906,109476,111382,114566,116552,118340,119827,119619,120972,122598,124612,126750,129034,131250,132800,137383,139957,139518,135558,128810,124619,123645,126055,130195,133587,135771,136393,134541,131532,128706,126569,125107,125052,124227,122894,120123,116890,113469,110002,106998,105192,103623,102247,100319,99058,98002,97511,96702,97193,97896
"278","270","          Medical care and hospitalization","DMINRX0",80713,79773,79181,78764,78879,78268,77742,77285,76522,76354,77172,78805,82179,84225,85992,87345,87437,88556,90005,91710,94675,96334,97733,98767,97995,98894,100115,101786,103614,105553,107353,108411,112673,115067,114527,110608,104058,99837,98557,100391,103790,106598,108390,108814,106962,104011,101282,99273,97985,98336,98137,97640,95815,93370,90516,87410,84666,83401,82705,82524,82007,81868,81544,81397,80671,81195,81923
"279","271","          Income loss","DIINRX0",1089,1098,1111,1127,1130,1155,1197,1247,1319,1392,1460,1521,1575,1625,1672,1715,1753,1789,1823,1855,1884,1912,1941,1968,1995,2023,2053,2086,2120,2153,2187,2220,2247,2269,2290,2305,2312,2321,2328,2333,2336,2345,2361,2383,2409,2436,2463,2490,2514,2531,2542,2544,2539,2536,2535,2536,2538,2532,2517,2494,2463,2438,2424,2420,2419,2418,2417
"280","272","          Workers' compensation","DPWCRX0",23681,22785,21859,20917,19930,19128,18647,18343,18226,18272,18255,18179,18115,17964,17746,17646,17607,17643,17765,17966,18231,18539,18888,19276,19687,20074,20428,20744,21031,21352,21736,22182,22517,22691,22752,22652,22415,22446,22762,23334,24067,24642,25020,25199,25175,25084,24947,24774,24558,24154,23553,22766,21858,21087,20517,20142,19880,19361,18514,17336,15924,14787,14040,13684,13606,13562,13521
"281","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",52364,52448,52516,52553,52520,52627,52746,52959,53254,53590,53960,54341,54691,55013,55323,55595,55798,55936,56034,56060,56015,56061,56242,56543,56904,57168,57313,57321,57208,57075,56985,56919,56853,56886,57113,57467,57795,58070,58176,58098,57848,57642,57518,57450,57435,57450,57444,57411,57416,57385,57292,57115,56673,56005,55201,54239,53160,52258,51613,51223,51040,50940,50924,50977,51065,51161,51270
"282","274","    Other services","DOTSRX0",522501,525146,522807,526648,535691,537272,551811,543038,558174,566819,578800,592452,606999,615339,631070,633280,643593,652496,660351,670526,684981,699269,713907,718500,721314,737744,737620,733830,737267,739561,735095,736248,750801,752471,757567,754643,763542,765906,771154,773145,777325,774396,775814,780843,787761,796865,799347,805712,815119,820226,812974,811480,813946,805933,799878,800224,796063,787644,786688,787619,786565,789607,792389,798327,798804,801765,800067
"283","275","      Communication","DCOMRX0",86440,88034,90370,92574,94444,96818,98254,100449,103171,105292,109132,112492,114276,115722,119319,121531,124946,130746,136018,139731,144784,151954,156399,158821,160060,163321,164822,164663,165714,168204,167870,168101,169600,171241,172384,172485,174971,178439,180984,181846,182644,184235,185056,185658,189352,193196,195989,202130,205886,211665,213636,217204,220667,219641,217559,214741,215176,213863,211371,213135,216753,220011,220894,226027,229781,232424,231977
"284","276","        Telecommunication services (71)","DTCSRX0",74728,76034,78068,79843,81279,83359,84548,86451,88738,90757,94541,97374,98651,99755,102658,103823,106179,110733,114540,116239,119299,124561,127840,129670,131725,134853,136317,135710,135862,136930,136469,135293,135778,137269,137952,137278,138963,141838,143856,143820,144375,145830,146424,146981,150940,154199,153227,154950,154196,155463,155500,157683,160176,159628,157692,154616,153509,151732,148784,149032,151189,152742,153452,156801,161118,163749,163749
"285","277","          Land-line telephone services, local charges","DLOCRX0",48294,49223,49869,50153,50994,52925,52896,53791,54200,55138,56393,56895,57650,59042,59863,60603,61203,63842,64092,64541,65386,67281,66415,67552,68794,68839,67758,67752,67436,67843,66122,63817,62677,61090,58905,58124,57503,57160,56410,55552,54709,53462,52350,51164,52824,53931,53375,53194,50996,50749,49332,49292,50418,49369,47599,45228,45398,43439,41128,40219,40228,40683,40323,41220,41150,41109,40764
"286","278","          Land-line telephone services, long-distance charges","DLDTRX0",24813,24666,25002,25614,25682,25557,25809,26339,27693,28417,29990,30928,30388,29678,30381,29721,29932,30625,31680,30702,30391,30911,31435,30034,28472,28779,28360,25634,24453,23462,23627,23141,22823,23782,24894,24963,25162,25610,25731,24340,23996,23844,23567,23100,22660,22385,20356,20254,19731,19891,19496,19531,19853,19249,18299,17072,16618,15917,15121,14487,13831,13403,12898,12985,12962,12949,12841
"287","279","          Cellular telephone services","DCELRX0",5343,5855,6547,7026,7512,8112,8701,9088,9197,9463,10003,10858,11910,12698,13718,14881,16140,17456,19253,21510,23920,26579,29496,31959,34821,37419,40270,43089,44975,46876,47723,49188,51047,52864,54350,54359,56440,59165,61758,63960,65678,68514,70498,72725,75471,77916,79572,81621,83697,85093,87074,89342,90353,91584,92574,93375,92527,93666,94090,96166,99297,100985,102831,105303,110190,113184,113765
"288","280","        Postal and delivery services (68)","DPSSRX0",11610,11603,11591,11768,11968,12007,12050,12053,12052,12092,12197,12417,12393,12252,12138,12358,12082,12034,11901,11929,12057,11958,11791,11817,11402,11272,11090,10740,10747,10827,10046,9714,9504,9348,9288,9344,9193,8916,8880,8937,8722,8650,8611,8447,8533,8424,8302,8282,8359,8457,8473,8351,8288,7935,7728,7689,7491,7360,7255,7221,6799,6721,6604,6669,6184,6168,6179
"289","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",9248,9246,9245,9400,9566,9597,9643,9658,9680,9729,9815,9986,9909,9735,9606,9819,9579,9544,9407,9406,9487,9368,9209,9263,8916,8846,8724,8439,8496,8612,7881,7569,7349,7188,7129,7197,7076,6831,6820,6898,6708,6650,6616,6452,6520,6393,6252,6215,6287,6406,6459,6398,6497,6204,6055,5972,5788,5661,5595,5548,5356,5331,5198,5241,4850,4854,4852
"290","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",2295,2289,2274,2291,2321,2329,2320,2304,2272,2257,2274,2323,2395,2449,2476,2471,2442,2429,2441,2477,2528,2557,2556,2521,2458,2393,2329,2266,2207,2162,2136,2126,2148,2161,2160,2144,2116,2086,2060,2038,2014,2000,1994,1996,2013,2032,2049,2064,2068,2050,2015,1957,1815,1752,1697,1732,1714,1708,1669,1681,1467,1419,1428,1448,1350,1335,1344
"291","283","        Internet access (72)","DINTRX0",1288,1576,1862,2148,2432,2667,2869,3128,3541,3557,3429,3745,4265,4706,5432,6298,7519,8717,10227,12238,14118,16042,17305,17854,17355,17570,17754,18490,19370,20707,21529,23221,24413,24699,25201,25907,26841,27697,28257,29090,29543,29753,30022,30235,29879,30573,34449,39174,44475,49919,52323,54132,55337,55307,55572,56160,58481,59355,60245,62204,64584,66763,67123,69104,68986,68916,68338
"292","284","      Education services","DTEDRX0",152028,152680,153125,154122,155260,156593,158364,159332,160237,160955,162212,163638,165105,166026,166660,168213,169121,169788,170516,172046,173841,175447,177333,178713,179787,180476,179598,178505,176467,175376,175863,174478,174444,174779,174209,173430,172331,170753,169528,169696,170297,170115,170279,170680,171024,171321,171116,172592,173117,173893,174409,175260,175210,175778,176858,176571,176874,176460,176714,177256,178520,179507,180201,180972,182081,182804,183515
"293","285","        Higher education (97)","DHEDRX0",93142,93260,92958,93130,93958,94974,95936,97801,98409,98419,99032,99962,101100,101917,102690,103607,104429,105072,105571,106976,108135,109362,110643,111508,112511,113291,113506,112518,111200,110654,111162,110697,111002,111332,110979,110772,110007,108928,107947,108121,108647,108516,108981,108844,109002,109365,108968,109613,109695,110020,110194,110895,110994,111200,111872,111913,112451,112600,113386,113721,114390,115033,115712,116215,116696,117190,117589
"294","286","          Proprietary and public higher education","DGEDRX0",54781,54884,54870,54699,54747,55121,55376,55522,55978,56459,56982,57521,58040,58562,59110,59659,60190,60789,61498,62286,63095,63816,64435,64931,65288,65602,65909,66191,66451,66720,67052,67427,67762,67874,67807,67463,66779,66320,66083,66059,66181,66331,66492,66637,66724,66866,67065,67307,67560,67798,68049,68287,68547,68837,69170,69520,69870,70229,70622,71040,71439,71774,72071,72307,72547,72817,73107
"295","287","          Nonprofit private higher education services to households","DPEDRX0",38362,38377,38089,38432,39212,39854,40561,42280,42432,41961,42051,42441,43061,43356,43580,43949,44239,44284,44073,44691,45040,45547,46209,46578,47224,47689,47597,46327,44749,43934,44110,43270,43240,43459,43172,43308,43229,42608,41864,42062,42467,42184,42489,42206,42279,42499,41902,42306,42135,42222,42145,42608,42448,42362,42702,42393,42581,42371,42764,42681,42951,43258,43641,43908,44149,44373,44481
"296","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",34299,34256,34145,34252,34211,34190,34232,34130,33900,33670,33415,33110,32798,32602,32641,32736,32798,32778,32579,32567,32570,32485,32299,32633,32774,32772,32480,32408,32130,31979,32168,31800,31827,31922,31843,31763,31752,31793,31776,31660,31755,31752,31696,31757,31830,31818,31765,32278,32320,32333,32520,32406,32268,32351,32461,32639,32680,32647,32403,32208,32358,32384,32431,32679,32891,33092,33321
"297","289","          Elementary and secondary schools","DESCRX0",27190,27064,27061,27240,27222,27188,27312,27069,26713,26368,26042,25769,25594,25436,25365,25368,25325,25265,25152,25145,25040,24936,24844,25037,25102,25027,24725,24619,24417,24307,24373,24170,24120,24163,24115,23981,23963,23989,23927,23859,24005,24048,23958,24013,24117,24082,23927,24172,24137,24034,24130,24013,23922,24051,24274,24371,24409,24447,24318,24194,24286,24395,24583,24676,24858,25042,25332
"298","290","          Day care and nursery schools","DNSCRX0",7245,7314,7220,7162,7141,7151,7083,7200,7300,7391,7445,7408,7278,7240,7338,7422,7517,7553,7471,7466,7563,7578,7489,7624,7696,7763,7766,7796,7721,7681,7798,7638,7711,7762,7730,7782,7789,7804,7848,7800,7750,7704,7738,7744,7713,7735,7839,8107,8184,8302,8395,8398,8351,8304,8187,8269,8271,8197,8081,8008,8067,7980,7831,7992,8020,8034,7967
"299","291","        Commercial and vocational schools (99)","DVEDRX0",24479,25042,25886,26602,26952,27290,28056,27263,27780,28719,29624,30437,31093,31401,31217,31764,31792,31839,32278,32431,33074,33554,34366,34544,34485,34412,33641,33593,33147,32753,32541,32001,31636,31544,31406,30912,30581,30031,29801,29913,29893,29847,29602,30080,30192,30137,30384,30706,31112,31557,31715,31978,31964,32251,32553,32029,31735,31181,30860,31270,31727,32046,31995,32010,32446,32469,32555
"300","292","      Professional and other services (121)","DPRSRX0",127802,127480,127807,127887,129318,129728,130139,130688,129933,131821,132579,133871,135905,135689,136309,136454,139251,139382,139208,139302,139644,139547,140672,140580,141918,142738,143888,143324,142552,142375,142384,143888,147073,148501,148005,147928,147806,146403,148217,149498,150786,149594,147484,146455,146400,148121,148696,149444,151222,150791,149809,149043,149287,149538,148249,146563,143131,140542,138866,136664,136346,135801,135499,135000,134332,134422,133602
"301","293","        Legal services","DGALRX0",74067,74206,74340,74788,76039,76336,76865,77399,77535,78125,78693,79245,80163,80212,80119,80626,81796,82185,81944,81924,81210,81626,82148,81964,83011,82738,84019,83847,83357,83483,83420,84354,87421,87819,86859,86010,87025,86084,87485,88797,88867,87956,86504,85546,86020,87734,88282,89161,90701,89604,88403,87313,87203,87769,87388,86643,84347,82908,82366,80626,80709,80306,80233,79781,79505,79771,79307
"302","294","        Accounting and other business services","DPRORX0",16064,15870,15843,15774,16046,16274,16494,16648,16689,16803,17071,17467,18001,18484,18899,19264,19580,19871,20183,20480,20760,21028,21274,21495,21673,21831,22001,22166,22322,22500,22658,22792,22970,23156,23397,23706,24008,24337,24657,24956,25180,25309,25352,25260,25059,25005,25139,25461,25939,26406,26812,27156,27399,27320,26902,26185,25204,24333,23700,23294,23068,22930,22862,22842,22727,22553,22373
"303","295","          Tax preparation and other related services","DTAPRX0",12226,11922,11765,11547,11747,11808,11854,11823,11681,11595,11686,11951,12353,12746,13098,13400,13648,13879,14102,14308,14500,14718,14976,15271,15589,15891,16174,16433,16662,16855,17017,17142,17244,17385,17596,17857,18122,18390,18626,18827,18970,19023,18979,18828,18594,18490,18559,18800,19186,19610,20059,20525,20929,21072,20926,20482,19788,19145,18623,18222,17927,17715,17590,17549,17495,17415,17339
"304","296","          Employment agency services","DGENRX0",1104,1036,996,964,897,867,843,814,835,896,936,936,940,920,895,887,900,899,908,908,905,903,890,869,831,781,742,704,668,672,669,664,683,666,637,636,644,676,735,817,892,962,1041,1095,1129,1177,1238,1316,1409,1481,1493,1456,1395,1286,1143,1026,904,793,740,734,750,776,798,793,808,835,843
"305","297","          Other personal business services","DTHERX0",2703,2879,3044,3215,3374,3570,3764,3972,4113,4227,4351,4484,4617,4735,4833,4909,4964,5028,5107,5198,5292,5346,5352,5306,5217,5134,5069,5021,4989,4971,4971,4986,5042,5106,5166,5216,5245,5274,5297,5313,5319,5325,5332,5338,5340,5344,5350,5357,5358,5330,5269,5174,5060,4931,4785,4618,4443,4319,4261,4269,4330,4387,4430,4457,4382,4263,4149
"306","298","        Labor organization dues","DUNSRX0",14057,13950,13984,13898,13954,13972,14020,13772,13959,14224,14086,14074,13729,13429,13244,13077,13027,12997,12832,12661,12651,12528,12225,12081,11775,11673,11572,11321,11203,11105,10997,10990,11077,11188,11246,11239,11032,10938,11122,10945,10743,10824,10564,10631,10796,10752,10709,10612,10665,10755,10757,10770,10931,11122,11293,11349,11155,11077,10971,10799,10711,10642,10569,10328,10023,9995,9979
"307","299","        Professional association dues","DAXSRX0",4829,4901,4932,4943,4891,4800,4787,4822,4882,4923,4936,5032,5086,5091,5111,5178,5233,5356,5410,5508,5530,5550,5604,5712,5820,5833,5924,5970,6012,6111,6148,6138,6237,6279,6339,6385,6341,6298,6347,6364,6472,6539,6496,6651,6645,6776,6907,6912,6996,7035,7002,7009,6841,6692,6559,6443,6544,6654,6696,6658,6622,6461,6453,6571,6351,6233,6276
"308","300","        Funeral and burial services","DFUNRX0",18530,18316,18465,18263,18191,18155,17805,17908,16782,17606,17673,17932,18800,18384,18832,18250,19520,18911,18786,18686,19418,18761,19367,19275,19600,20621,20345,20001,19640,19164,19152,19606,19365,20054,20156,20575,19395,18745,18608,18441,19522,18965,18568,18367,17881,17859,17666,17304,16929,16994,16835,16788,16904,16641,16135,15986,15925,15627,15205,15346,15291,15507,15424,15504,15726,15865,15666
"309","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",73687,74402,75148,75958,76402,76689,76952,77771,78948,80088,81292,82517,83702,84794,85814,86720,87513,88462,89661,91064,92521,93518,93947,93765,93075,92625,92598,92974,93681,94344,94947,95461,95495,95817,96625,97780,98935,100095,101037,101757,102256,102514,102624,102546,102854,103420,103964,104441,104081,103726,103412,103109,102658,101898,100812,99364,97221,95740,95051,95170,94005,94703,94482,95115,95138,96756,96845
"310","302","        Personal care services","DPCSRX0",57055,57694,58395,59195,59820,60048,60152,60703,61399,62137,63043,64085,65194,66214,67133,67919,68584,69411,70490,71784,73164,74167,74692,74706,74295,74092,74251,74758,75559,76370,77183,77975,78497,79177,80177,81386,82502,83643,84611,85405,86026,86356,86480,86363,86648,87203,87717,88150,87833,87554,87369,87244,87151,86711,85899,84660,82805,81581,81091,81324,80484,81150,80970,81531,81628,82999,83103
