"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"388",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","376","  Market-based PCE services","DSEMRX0",3440891,3474923,3507960,3525586,3554989,3580156,3589568,3628927,3657325,3683988,3729706,3765417,3798059,3843802,3882743,3903452,3938761,3980205,4026443,4069822,4119240,4169169,4201743,4244712,4271274,4276392,4285969,4299283,4330298,4359006,4374015,4390478,4405942,4430765,4456474,4481934,4513496,4538241,4568558,4621058,4657645,4699586,4732863,4753920,4777413,4806844,4821963,4852653,4885898,4906616,4923982,4938504,4960165,4962785,4940281,4936768,4932432,4932024,4926990,4938107,4942235,4953820
"390",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","377","    Market-based PCE housing services","DHSMRX0",996853,1003549,1008971,1013966,1018262,1022816,1027817,1033403,1041275,1049958,1058477,1066864,1074916,1083344,1092647,1102486,1112736,1122331,1130865,1138324,1145277,1153659,1163499,1175180,1188083,1198636,1204206,1205395,1203932,1203297,1204412,1207288,1211560,1215555,1220213,1225062,1230021,1238643,1251284,1267899,1287713,1305332,1318816,1328410,1338271,1347018,1352639,1355218,1354428,1354065,1355886,1359620,1364904,1369726,1375418,1381300,1386241,1390532,1392956,1394130,1395795,1398078
"392","378","    Market-based PCE household utilities","DUTLRX0",210031,218150,225143,221360,230012,227792,219860,225581,221676,224199,223351,232516,226089,234278,235679,224396,229829,234298,240183,230698,228756,238593,240669,252461,247103,235096,235641,233240,234828,242392,243949,250638,250145,248780,243443,248116,250577,249170,243776,251692,250570,253753,256433,255024,242162,252111,256225,248865,253550,253738,256061,250254,254659,251108,239731,251715,247609,245381,250258,255861,252270,247308
"393","379","    Market-based PCE health care","DHLCRX0",940271,944618,950302,954786,955212,964612,968194,980327,985602,990926,1001207,1010711,1023330,1028197,1032908,1033582,1035805,1039915,1048352,1058277,1064448,1078508,1085846,1097297,1113123,1125738,1142340,1160584,1183462,1200320,1209591,1215908,1221576,1224842,1232232,1239023,1247420,1260890,1277597,1288676,1304449,1311084,1321320,1326953,1337317,1339244,1335776,1347689,1362929,1368234,1372881,1382252,1401504,1411002,1410120,1417435,1430028,1442058,1441585,1447916,1446655,1449040
"394","380","    Market-based PCE transportation services","DTRSRX0",208687,211022,215507,220144,225620,229159,233005,237676,244442,247417,251187,252225,254514,257658,260585,263938,267619,270856,276212,279269,282904,285901,287638,288451,288533,287114,281737,276963,277732,275346,275053,275237,275834,274508,277717,278880,280848,283171,283664,285226,285199,286112,287206,285082,283166,284714,284534,287530,289175,289132,287836,285903,282188,277215,271329,261533,254394,251284,249282,248634,250763,253834
"395","381","    Market-based PCE recreation services","DRCMRX0",182570,187350,189315,191444,191933,193807,195678,194945,196279,197083,198383,201369,204142,205087,207863,208934,210162,212187,215490,216625,216898,219164,218921,219517,220495,217936,216463,215867,216626,216043,215337,217254,216799,217939,220198,223304,225004,228348,229056,229169,230833,230185,230917,232665,232405,235158,238079,241692,243933,246705,248629,248569,250692,250372,248119,245362,245363,243554,240276,240427,239514,238053
"396","382","    Market-based PCE food services and accommodations","DFSMRX0",405638,406317,406859,406064,406128,408203,408812,412597,416772,416638,421184,418188,422951,428278,429905,436044,434513,437166,438947,449472,456930,461001,462631,461079,464553,459918,457342,456675,463506,467168,468022,468714,472035,479271,488493,491743,495265,495291,498026,502667,505209,512875,515240,520755,531894,525721,525587,531240,530941,535934,539928,545322,537962,540016,535193,525457,519413,514392,512467,513220,522139,525797
"397","383","    Market-based PCE financial services and insurance","DFIMRX0",43821,46186,48286,49010,52529,52960,51771,53616,54009,53880,59371,59136,59329,66243,72052,74784,79143,84449,88433,97760,110008,108650,110510,115522,111469,109819,105199,109791,110520,113000,115585,112947,109514,116435,118132,116953,121619,114683,111900,119964,115342,121328,123393,123731,125723,127522,127592,127885,131143,132597,134534,134682,132861,128410,129370,127078,125438,127625,128525,128747,125292,130113
"398","384","    Market-based PCE other services","DOTMRX0",475178,479116,483968,488461,493087,498363,502335,507923,513924,520978,530406,539457,547578,552604,560606,566276,574619,583211,591586,599617,610958,622163,630501,634050,636820,640970,642360,639934,639024,641569,642289,643341,649300,653909,656090,659155,663036,668341,673245,675874,678401,678942,679507,681239,687242,695526,701463,712767,720157,726740,728752,732641,735971,735672,733003,727836,725417,719150,713542,710935,711280,713533
"399",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","385","      Market-based PCE communication services","DCOMRX0",86441,88035,90371,92575,94445,96819,98255,100450,103172,105293,109133,112493,114277,115723,119320,121533,124948,130747,136020,139732,144785,151956,156401,158823,160061,163323,164824,164666,165717,168206,167873,168102,169512,171056,172087,173161,175422,178908,181333,181979,182689,184629,186031,187514,192578,197269,200712,207336,211282,217024,218770,221875,224584,223392,222473,221139,224502,223377,220391,219687,220628,221891
"401","386","      Market-based PCE education","DTEDRX0",152024,152676,153121,154118,155256,156589,158359,159327,160233,160951,162207,163633,165101,166022,166656,168209,169117,169783,170512,172041,173837,175443,177328,178708,179782,180471,179593,178500,176462,175371,175858,174474,174423,174763,174222,173488,172392,170898,169753,169887,170343,170112,170425,170807,171053,171436,171160,172594,173167,174007,174468,175290,175559,176492,177708,177512,177821,177506,177436,177720,178629,179281
"402","387","      Market-based PCE professional services","DPRMRX0",113537,113330,113622,113796,115177,115571,115933,116756,115793,117409,118320,119633,122046,122148,122967,123288,126149,126311,126309,126583,126937,126966,128405,128460,130120,131050,132311,132004,131351,131273,131393,132906,136379,137897,137362,137157,136936,137266,138756,139756,140783,139305,137854,137036,136893,138905,139865,141364,142911,142259,141258,140519,140958,141179,139789,138025,135147,133169,132501,130917,131403,131973
"403","388","      Market-based PCE personal care and clothing services","DPERRX0",73701,74416,75163,75973,76417,76704,76967,77787,78963,80103,81308,82533,83718,84810,85830,86737,87531,88479,89679,91082,92539,93537,93965,93784,93094,92644,92616,92992,93699,94362,94966,95480,95928,96721,98077,99884,101814,103535,104767,105477,105674,105814,106004,106209,106938,107946,108993,110039,110213,110337,110445,110505,110397,110089,109560,108760,107312,106080,105222,104755,102482,102161
"404","389","      Market-based PCE child care","DCHCRX0",22720,22800,22389,22090,21917,21829,21508,21716,21830,21973,22132,21974,21695,21660,21989,22135,22593,22672,22577,22674,22826,22884,22846,23273,23529,23631,23918,23785,23799,23837,23827,23881,23836,23876,24080,24337,24175,24308,24474,24061,24147,24093,23853,24106,24109,24165,24505,25098,25557,25853,26153,26341,26379,26668,26564,26501,26924,26904,26741,26964,26962,26958
"405","390","      Market-based PCE household maintenance","DHMMRX0",45384,45915,46422,46291,45884,46245,46546,46592,47685,48579,49634,50780,52293,53535,54204,54365,53649,53024,52976,53339,55020,55031,54676,53913,53189,52422,51369,50122,49681,49728,49680,49652,50263,50522,51031,51750,52684,53551,54156,54707,54776,54981,55335,55571,55744,55950,56463,56768,57587,58185,58703,59393,59623,59204,58145,57080,55262,53602,52419,51977,52324,52494
"406","391","Market-based PCE food and energy","DPMFRX0",968129,974423,979129,978064,991648,993025,983509,990272,991872,993634,997141,1007072,1001353,1017620,1024889,1018440,1032363,1047280,1056181,1058160,1041415,1064972,1068867,1085388,1078776,1067965,1070365,1069604,1067555,1078488,1083690,1095760,1104174,1099381,1108859,1113419,1127074,1127654,1124125,1141331,1153088,1155269,1165391,1165701,1149305,1166875,1176139,1178847,1181851,1176274,1181175,1177937,1173501,1165684,1135435,1141080,1141422,1145340,1156172,1168602,1171557,1162531
"407","392","Market-based PCE excluding food","DMXFRX0",4700951,4748599,4804678,4839836,4879947,4942579,4967960,5030757,5081143,5106632,5203106,5269604,5320252,5419361,5487021,5574305,5636145,5725616,5795024,5875953,5964612,6021028,6078408,6136922,6171000,6177644,6211297,6322574,6349277,6391675,6443335,6461679,6485346,6565813,6656741,6700542,6753348,6784029,6845497,6927412,6980889,7067176,7115234,7121657,7197832,7226489,7262393,7328045,7383427,7415995,7448624,7466916,7444347,7453513,7378009,7305502,7312220,7294586,7335566,7351037,7389398,7430127
"408","393","Market-based PCE excluding energy","DPMERX0",4851807,4888254,4939591,4979492,5012251,5077622,5108722,5168114,5223856,5241819,5339949,5396840,5450244,5542406,5609837,5707841,5769818,5856061,5926354,6021675,6111703,6163776,6218396,6272818,6308055,6332218,6359055,6470986,6493979,6528022,6578862,6596534,6628501,6701369,6800843,6833632,6895464,6927613,6998728,7080707,7140652,7228409,7288948,7304875,7401947,7427295,7458657,7543709,7596006,7627149,7660743,7695563,7672314,7689304,7630039,7515910,7522069,7512966,7556381,7576485,7625122,7665967
"409","394","Market-based PCE excluding food and energy","DPCXRX0",4306373,4345151,4396105,4433533,4463761,4526334,4558260,4615696,4667458,4688122,4782669,4839323,4893035,4980504,5044028,5137889,5193149,5273533,5338717,5424949,5520457,5563877,5617595,5666147,5703401,5723566,5752429,5863210,5888657,5921704,5970115,5982630,6006408,6084513,6174653,6210541,6261251,6292250,6359931,6433410,6484360,6570119,6619363,6630354,6725660,6743585,6772489,6846619,6899111,6934066,6964735,6993138,6972401,6989975,6939368,6841702,6847845,6832381,6869046,6880349,6922491,6968282
"410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","1. Consists of gasoline and other energy goods and of electricity and gas srvices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
