"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"399",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","385","      Market-based PCE communication services","DCOMRX0",86441,88035,90371,92575,94445,96819,98255,100450,103172,105293,109133,112493,114277,115723,119320,121533,124948,130747,136020,139732,144785,151956,156401,158823,160061,163323,164824,164666,165717,168206,167873,168102,169512,171056,172087,173161,175422,178908,181333,181979,182689,184629,186031,187514,192578,197269,200712,207336,211600,214272,215693,219294,221201,221340,221999,220585,221613,220812,220613,221308
"401","386","      Market-based PCE education","DTEDRX0",152024,152676,153121,154118,155256,156589,158359,159327,160233,160951,162207,163633,165101,166022,166656,168209,169117,169783,170512,172041,173837,175443,177328,178708,179782,180471,179593,178500,176462,175371,175858,174474,174423,174763,174222,173488,172392,170898,169753,169887,170343,170112,170425,170807,171053,171436,171160,172594,173630,174569,175032,175796,176100,176764,177740,177632,178146,177791,177380,177769
"402","387","      Market-based PCE professional services","DPRMRX0",113537,113330,113622,113796,115177,115571,115933,116756,115793,117409,118320,119633,122046,122148,122967,123288,126149,126311,126309,126583,126937,126966,128405,128460,130120,131050,132311,132004,131351,131273,131393,132906,136379,137897,137362,137157,136936,137266,138756,139756,140783,139305,137854,137036,136893,138905,139865,141364,142966,142680,141559,140743,139442,138493,136890,135805,134628,134175,134822,135387
"403","388","      Market-based PCE personal care and clothing services","DPERRX0",73701,74416,75163,75973,76417,76704,76967,77787,78963,80103,81308,82533,83718,84810,85830,86737,87531,88479,89679,91082,92539,93537,93965,93784,93094,92644,92616,92992,93699,94362,94966,95480,95928,96721,98077,99884,101814,103535,104767,105477,105674,105814,106004,106209,106938,107946,108993,110039,111005,111670,112040,112052,111595,111334,111276,111390,111367,111243,111159,111078
"404","389","      Market-based PCE child care","DCHCRX0",22720,22800,22389,22090,21917,21829,21508,21716,21830,21973,22132,21974,21695,21660,21989,22135,22593,22672,22577,22674,22826,22884,22846,23273,23529,23631,23918,23785,23799,23837,23827,23881,23836,23876,24080,24337,24175,24308,24474,24061,24147,24093,23853,24106,24109,24165,24505,25098,26274,27088,27714,27980,27802,27898,27672,27549,27954,27877,27706,28156
"405","390","      Market-based PCE household maintenance","DHMMRX0",45384,45915,46422,46291,45884,46245,46546,46592,47685,48579,49634,50780,52293,53535,54204,54365,53649,53024,52976,53339,55020,55031,54676,53913,53189,52422,51369,50122,49681,49728,49680,49652,50263,50522,51031,51750,52684,53551,54156,54707,54776,54981,55335,55571,55744,55950,56463,56768,57856,58677,59188,59100,58363,57978,57792,57867,57882,57878,57899,57914
"406","391","Market-based PCE food and energy","DPMFRX0",968129,974423,979129,978064,991648,993025,983509,990272,991872,993634,997141,1007072,1001353,1017620,1024889,1018440,1032363,1047280,1056181,1058160,1041415,1064972,1068867,1085388,1078776,1067965,1070365,1069604,1067555,1078488,1083690,1095760,1104174,1099381,1108859,1113419,1127074,1127654,1124125,1141331,1153088,1155269,1165391,1165701,1149305,1166875,1176139,1178847,1190367,1185403,1189769,1187360,1185647,1181362,1151985,1158696,1163452,1162789,1168223,1184894
"407","392","Market-based PCE excluding food","DMXFRX0",4700951,4748599,4804678,4839836,4879947,4942579,4967960,5030757,5081143,5106632,5203106,5269604,5320252,5419361,5487021,5574305,5636145,5725616,5795024,5875953,5964612,6021028,6078408,6136922,6171000,6177644,6211297,6322574,6349277,6391675,6443335,6461679,6485346,6565813,6656741,6700542,6753348,6784029,6845497,6927412,6980889,7067176,7115234,7121657,7197832,7226489,7262393,7328045,7401939,7423626,7460623,7487326,7464583,7469223,7401300,7330122,7354021,7330956,7379727,7415460
"408","393","Market-based PCE excluding energy","DPMERX0",4851807,4888254,4939591,4979492,5012251,5077622,5108722,5168114,5223856,5241819,5339949,5396840,5450244,5542406,5609837,5707841,5769818,5856061,5926354,6021675,6111703,6163776,6218396,6272818,6308055,6332218,6359055,6470986,6493979,6528022,6578862,6596534,6628501,6701369,6800843,6833632,6895464,6927613,6998728,7080707,7140652,7228409,7288948,7304875,7401947,7427295,7458657,7543709,7612768,7630567,7669301,7713812,7695552,7706904,7652594,7545058,7566052,7556527,7613090,7646425
"409","394","Market-based PCE excluding food and energy","DPCXRX0",4306373,4345151,4396105,4433533,4463761,4526334,4558260,4615696,4667458,4688122,4782669,4839323,4893035,4980504,5044028,5137889,5193149,5273533,5338717,5424949,5520457,5563877,5617595,5666147,5703401,5723566,5752429,5863210,5888657,5921704,5970115,5982630,6006408,6084513,6174653,6210541,6261251,6292250,6359931,6433410,6484360,6570119,6619363,6630354,6725660,6743585,6772489,6846619,6912383,6934806,6970516,7007563,6987739,6998185,6953389,6859300,6879333,6863381,6913371,6939319
"410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","1. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.6,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
