"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"167","141","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \1\","A2050C1","324.0","327.0","312.0","294.0","282.0","292.0","296.0","308.0","331.0","336.0","338.0","347.0","364.0","382.0","391.0","399.0","403.0","464.0","589.0","665.0","703.0","756.0","885.0","956.0","1,018.0","1,070.0","1,151.0","1,294.0","1,428.0","1,503.0","1,572.0","1,686.0","1,806.0","1,948.0","2,110.0","2,313.0","2,550.0","2,839.0","3,161.0","3,517.0","3,958.0","4,465.0","4,992.0","5,556.0","6,281.0","7,277.0","8,552.0","9,253.0","10,104.0","11,393.0","12,926.0","14,902.0","17,062.0","19,298.0","21,296.0","24,091.0","24,797.0","27,022.0","28,492.0","31,006.0","33,552.0","35,957.0","38,660.0","41,054.0","44,622.0","44,981.0","47,063.0","49,200.0","51,663.0","54,865.0","58,399.0","61,992.0","65,542.0","68,468.0","71,282.0","75,041.0","79,003.0","83,372.0","88,418.0","93,167.0"
"168","142","  Taxes on production and imports","B1320C1","72.0","75.0","72.0","70.0","63.0","63.0","67.0","70.0","73.0","76.0","77.0","79.0","81.0","81.0","84.0","85.0","87.0","94.0","106.0","115.0","126.0","137.0","149.0","161.0","173.0","184.0","200.0","222.0","245.0","268.0","263.0","291.0","325.0","361.0","398.0","435.0","475.0","511.0","562.0","631.0","705.0","805.0","905.0","969.0","1,028.0","1,059.0","1,140.0","1,221.0","1,304.0","1,287.0","1,277.0","1,345.0","1,482.0","1,652.0","1,801.0","1,953.0","2,083.0","2,230.0","2,464.0","2,646.0","2,904.0","3,141.0","3,441.0","3,615.0","3,645.0","3,855.0","3,875.0","4,020.0","4,257.0","4,437.0","4,665.0","4,890.0","5,147.0","5,563.0","5,875.0","6,257.0","6,639.0","7,144.0","7,789.0","8,326.0"
"169","143","  Net interest (187+190)","B1131C1","85.0","88.0","88.0","91.0","91.0","90.0","89.0","88.0","84.0","81.0","79.0","77.0","73.0","70.0","66.0","64.0","58.0","55.0","57.0","57.0","62.0","65.0","65.0","69.0","71.0","74.0","76.0","77.0","80.0","81.0","86.0","98.0","112.0","123.0","140.0","184.0","230.0","302.0","390.0","470.0","567.0","682.0","769.0","843.0","946.0","1,104.0","1,388.0","1,428.0","1,515.0","1,891.0","2,343.0","2,954.0","3,744.0","4,787.0","5,910.0","7,713.0","7,489.0","8,620.0","8,710.0","9,731.0","10,404.0","10,765.0","11,416.0","11,940.0","13,771.0","12,666.0","13,407.0","14,468.0","15,158.0","15,646.0","15,906.0","15,794.0","15,826.0","15,248.0","14,189.0","13,387.0","12,277.0","11,184.0","11,427.0","11,762.0"
"170","144","  Consumption of fixed capital","B1157C1","167.0","164.0","152.0","133.0","128.0","139.0","140.0","150.0","174.0","179.0","182.0","191.0","210.0","231.0","241.0","250.0","258.0","315.0","426.0","493.0","515.0","554.0","671.0","726.0","774.0","812.0","875.0","995.0","1,103.0","1,154.0","1,223.0","1,297.0","1,369.0","1,464.0","1,572.0","1,694.0","1,845.0","2,026.0","2,209.0","2,416.0","2,686.0","2,978.0","3,318.0","3,744.0","4,307.0","5,114.0","6,024.0","6,604.0","7,285.0","8,215.0","9,306.0","10,603.0","11,836.0","12,859.0","13,585.0","14,425.0","15,225.0","16,172.0","17,318.0","18,629.0","20,244.0","22,051.0","23,803.0","25,499.0","27,206.0","28,460.0","29,781.0","30,712.0","32,248.0","34,782.0","37,828.0","41,308.0","44,569.0","47,657.0","51,218.0","55,397.0","60,087.0","65,044.0","69,202.0","73,079.0"
"171","145","Financial services furnished without payment (146+151)","W537RC1","2,089.0","1,801.0","1,550.0","1,253.0","988.0","1,025.0","1,140.0","1,285.0","1,357.0","1,322.0","1,405.0","1,371.0","1,463.0","1,587.0","1,707.0","1,940.0","2,178.0","2,889.0","3,092.0","3,409.0","3,557.0","3,870.0","4,314.0","4,782.0","5,529.0","5,781.0","6,486.0","7,309.0","7,682.0","7,740.0","8,624.0","9,524.0","9,812.0","10,259.0","10,437.0","11,638.0","12,447.0","13,910.0","15,335.0","17,157.0","21,550.0","24,691.0","25,551.0","27,929.0","32,637.0","39,531.0","44,185.0","46,824.0","52,355.0","63,471.0","73,368.0","81,306.0","89,620.0","94,251.0","105,428.0","111,980.0","121,948.0","142,091.0","150,247.0","157,073.0","154,109.0","158,952.0","169,646.0","184,804.0","191,875.0","203,267.0","209,512.0","221,192.0","241,560.0","256,938.0","275,729.0","300,241.0","302,187.0","317,150.0","326,204.0","351,503.0","370,922.0","390,617.0","427,429.0","444,544.0"
"172","146","  Depositor services","B1310C1","2,005.0","1,732.0","1,487.0","1,202.0","952.0","988.0","1,100.0","1,241.0","1,309.0","1,271.0","1,347.0","1,304.0","1,383.0","1,478.0","1,597.0","1,840.0","2,002.0","2,299.0","2,278.0","2,376.0","2,420.0","2,566.0","2,726.0","3,045.0","3,614.0","3,831.0","4,352.0","4,842.0","5,013.0","4,972.0","5,570.0","6,152.0","6,374.0","6,553.0","6,529.0","7,456.0","7,658.0","8,276.0","9,418.0","10,179.0","13,781.0","17,545.0","20,002.0","21,561.0","21,465.0","25,934.0","40,532.0","35,622.0","37,734.0","41,022.0","38,721.0","37,693.0","36,035.0","56,835.0","89,830.0","80,332.0","95,898.0","103,515.0","101,214.0","95,924.0","83,654.0","98,646.0","122,694.0","137,868.0","130,584.0","131,264.0","126,519.0","142,951.0","160,836.0","172,609.0","189,670.0","194,970.0","203,008.0","213,432.0","197,115.0","215,718.0","206,788.0","190,315.0","243,317.0","290,268.0"
"173","147","    Persons \2\","B1611C1","857.0","777.0","615.0","465.0","398.0","380.0","455.0","517.0","563.0","517.0","517.0","561.0","590.0","614.0","649.0","689.0","731.0","987.0","1,055.0","1,071.0","1,086.0","1,185.0","1,244.0","1,340.0","1,764.0","1,947.0","2,285.0","2,551.0","2,571.0","2,547.0","2,782.0","3,075.0","3,249.0","3,360.0","3,219.0","3,807.0","3,993.0","4,373.0","4,910.0","5,226.0","7,169.0","9,016.0","10,086.0","11,136.0","11,757.0","14,432.0","21,592.0","19,893.0","21,514.0","24,967.0","24,313.0","22,899.0","20,990.0","27,725.0","51,733.0","48,440.0","60,209.0","65,999.0","70,100.0","67,993.0","63,689.0","71,444.0","85,598.0","100,140.0","99,227.0","99,585.0","96,269.0","106,106.0","117,809.0","128,839.0","140,919.0","148,242.0","150,271.0","155,662.0","147,800.0","162,584.0","166,009.0","163,318.0","191,435.0","209,976.0"
"174","148","    Government","W538RC1","180.0","160.0","153.0","154.0","153.0","200.0","191.0","214.0","161.0","209.0","251.0","151.0","144.0","194.0","277.0","415.0","475.0","369.0","226.0","281.0","278.0","262.0","273.0","308.0","343.0","378.0","405.0","439.0","485.0","508.0","537.0","620.0","632.0","654.0","743.0","848.0","828.0","817.0","953.0","1,063.0","1,384.0","1,827.0","2,264.0","2,387.0","2,280.0","2,420.0","3,219.0","3,038.0","3,241.0","2,549.0","1,800.0","1,263.0","823.0","2,273.0","3,272.0","2,707.0","4,664.0","5,139.0","3,889.0","3,337.0","3,069.0","3,621.0","4,872.0","4,652.0","4,036.0","3,897.0","3,846.0","4,284.0","4,784.0","4,982.0","6,100.0","6,069.0","5,377.0","5,929.0","5,252.0","5,473.0","5,128.0","5,159.0","6,664.0","8,133.0"
"175","149","    Private enterprises","W539RC1","924.0","758.0","687.0","554.0","378.0","384.0","428.0","472.0","521.0","484.0","499.0","483.0","542.0","562.0","530.0","569.0","653.0","809.0","884.0","909.0","923.0","972.0","1,037.0","1,208.0","1,323.0","1,334.0","1,485.0","1,670.0","1,759.0","1,719.0","2,043.0","2,258.0","2,295.0","2,334.0","2,374.0","2,583.0","2,616.0","2,855.0","3,316.0","3,621.0","4,841.0","6,211.0","7,149.0","7,471.0","6,786.0","8,126.0","14,135.0","11,493.0","11,761.0","12,352.0","11,621.0","12,762.0","13,719.0","25,346.0","31,313.0","26,031.0","26,510.0","27,916.0","23,137.0","21,020.0","13,877.0","19,540.0","26,815.0","26,449.0","20,727.0","21,186.0","20,775.0","26,796.0","32,090.0","33,066.0","37,075.0","35,285.0","42,237.0","46,916.0","40,097.0","43,343.0","31,670.0","17,970.0","39,745.0","63,642.0"
"176","150","    Rest of the world \3\","W540RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","4,515.0","4,461.0","4,088.0","3,574.0","3,019.0","4,041.0","5,410.0","6,628.0","6,594.0","6,596.0","5,629.0","5,765.0","6,153.0","5,722.0","5,576.0","5,374.0","5,123.0","4,925.0","3,966.0","4,318.0","3,981.0","3,868.0","5,473.0","8,517.0"
"177","151","  Borrower services","W541RC1","84.0","69.0","63.0","51.0","36.0","37.0","40.0","44.0","48.0","51.0","58.0","67.0","80.0","109.0","110.0","100.0","176.0","590.0","814.0","1,033.0","1,137.0","1,304.0","1,588.0","1,737.0","1,915.0","1,950.0","2,134.0","2,467.0","2,669.0","2,768.0","3,054.0","3,372.0","3,438.0","3,706.0","3,908.0","4,182.0","4,789.0","5,634.0","5,917.0","6,978.0","7,769.0","7,146.0","5,549.0","6,368.0","11,172.0","13,597.0","3,653.0","11,202.0","14,621.0","22,449.0","34,647.0","43,613.0","53,585.0","37,416.0","15,598.0","31,648.0","26,050.0","38,576.0","49,033.0","61,149.0","70,455.0","60,306.0","46,952.0","46,936.0","61,291.0","72,003.0","82,993.0","78,241.0","80,724.0","84,329.0","86,059.0","105,271.0","99,179.0","103,718.0","129,089.0","135,785.0","164,134.0","200,302.0","184,112.0","154,276.0"
"178","152","    Persons","W542RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.0","46.0","37.0","36.0","60.0","108.0","153.0","188.0","237.0","285.0","314.0","389.0","405.0","465.0","540.0","597.0","587.0","669.0","772.0","827.0","886.0","942.0","1,031.0","1,179.0","1,354.0","1,390.0","1,663.0","1,723.0","1,570.0","1,290.0","1,509.0","2,622.0","3,048.0","844.0","2,739.0","3,646.0","5,579.0","8,333.0","10,082.0","11,576.0","7,905.0","3,278.0","6,664.0","5,207.0","6,536.0","9,071.0","11,107.0","13,142.0","10,653.0","8,167.0","7,663.0","10,108.0","12,903.0","15,760.0","15,362.0","15,172.0","14,430.0","13,615.0","15,807.0","14,761.0","14,838.0","18,009.0","19,685.0","21,976.0","25,618.0","23,366.0","19,375.0"
"179","153","    Government","W543RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76.0","63.0","52.0","52.0","50.0","49.0","45.0","36.0","25.0","29.0","16.0","4.0","0.0","28.0","0.0","0.0","9.0","33.0","1.0","0.0","1.0","11.0","53.0","36.0","462.0","303.0","0.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,720.0","9,778.0","5,734.0","5,969.0","4,398.0","3,630.0","2,864.0","3,997.0","5,355.0","4,343.0","4,430.0","3,539.0","3,095.0","3,671.0","4,123.0","4,298.0","2,913.0","4,935.0","6,792.0","6,732.0","7,754.0","7,519.0","6,516.0","5,740.0"
"180","154","    Private enterprises","W544RC1","84.0","69.0","63.0","51.0","36.0","37.0","40.0","44.0","48.0","51.0","58.0","67.0","80.0","81.0","64.0","63.0","64.0","467.0","654.0","828.0","899.0","1,018.0","1,258.0","1,363.0","1,480.0","1,493.0","1,619.0","1,881.0","2,019.0","2,086.0","2,309.0","2,519.0","2,512.0","2,674.0","2,854.0","3,013.0","3,430.0","4,086.0","4,300.0","5,100.0","5,425.0","5,137.0","4,152.0","4,679.0","8,251.0","10,115.0","2,678.0","7,968.0","10,309.0","15,710.0","24,189.0","30,822.0","38,391.0","28,083.0","11,782.0","24,071.0","17,625.0","21,714.0","33,575.0","43,400.0","52,182.0","45,493.0","35,492.0","34,777.0","45,178.0","54,020.0","61,897.0","58,262.0","61,230.0","64,835.0","66,882.0","83,406.0","79,824.0","82,260.0","102,392.0","107,545.0","132,165.0","164,146.0","151,774.0","126,870.0"
"181","155","      Domestic business","W545RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","386.0","540.0","683.0","741.0","839.0","1,038.0","1,124.0","1,214.0","1,206.0","1,296.0","1,515.0","1,635.0","1,687.0","1,863.0","2,049.0","2,052.0","2,187.0","2,334.0","2,466.0","2,827.0","3,392.0","3,582.0","4,255.0","4,557.0","4,353.0","3,518.0","3,938.0","6,962.0","8,555.0","2,250.0","6,593.0","8,427.0","12,672.0","19,278.0","24,453.0","30,642.0","22,683.0","9,581.0","19,743.0","14,523.0","17,836.0","27,718.0","35,415.0","41,788.0","35,676.0","27,120.0","26,141.0","33,495.0","39,663.0","44,676.0","41,758.0","43,846.0","46,816.0","48,531.0","59,717.0","57,013.0","57,001.0","67,901.0","69,771.0","84,263.0","104,654.0","96,570.0","83,844.0"
"182","156","      Owner-occupied housing","W546RC1","78.0","64.0","58.0","47.0","33.0","34.0","37.0","41.0","45.0","48.0","55.0","64.0","76.0","77.0","61.0","60.0","61.0","77.0","108.0","137.0","149.0","169.0","208.0","226.0","253.0","273.0","307.0","348.0","365.0","378.0","422.0","443.0","432.0","455.0","485.0","508.0","558.0","640.0","661.0","775.0","795.0","716.0","578.0","674.0","1,170.0","1,414.0","388.0","1,246.0","1,716.0","2,784.0","4,530.0","5,878.0","7,141.0","4,950.0","2,000.0","3,885.0","2,753.0","3,401.0","5,088.0","6,989.0","9,133.0","8,712.0","7,460.0","7,761.0","10,610.0","13,170.0","15,918.0","15,276.0","16,121.0","16,726.0","16,967.0","21,912.0","21,038.0","23,302.0","32,051.0","35,147.0","44,637.0","55,338.0","51,384.0","39,883.0"
"183","157","      Nonprofit institutions serving households","W547RC1","6.0","5.0","5.0","4.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","3.0","3.0","3.0","4.0","6.0","8.0","9.0","10.0","12.0","13.0","13.0","14.0","16.0","18.0","19.0","21.0","24.0","27.0","28.0","32.0","35.0","39.0","45.0","54.0","57.0","70.0","73.0","68.0","56.0","67.0","119.0","146.0","40.0","129.0","166.0","254.0","381.0","491.0","608.0","450.0","201.0","443.0","349.0","477.0","769.0","996.0","1,261.0","1,105.0","912.0","875.0","1,073.0","1,187.0","1,303.0","1,228.0","1,263.0","1,293.0","1,384.0","1,777.0","1,773.0","1,957.0","2,440.0","2,627.0","3,265.0","4,154.0","3,820.0","3,143.0"
"184","158","    Rest of the world \4\","W548RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.0","21.0","23.0","34.0","42.0","53.0","67.0","76.0","81.0","90.0","113.0","111.0","138.0","179.0","183.0","174.0","179.0","159.0","136.0","107.0","147.0","299.0","434.0","131.0","495.0","666.0","1,160.0","2,125.0","2,709.0","3,618.0","1,428.0","538.0","913.0","497.0","538.0","653.0","673.0","733.0","530.0","429.0","499.0","650.0","737.0","906.0","1,078.0","1,227.0","1,393.0","1,439.0","1,760.0","1,681.0","1,685.0","1,896.0","1,823.0","2,239.0","3,019.0","2,456.0","2,291.0"
"185","159","Premium supplements for property and casualty insurance (160+161+162+165-166)","W354RC1","57.0","56.0","55.0","53.0","54.0","58.0","61.0","65.0","70.0","70.0","73.0","74.0","78.0","87.0","91.0","95.0","99.0","108.0","123.0","136.0","143.0","150.0","171.0","197.0","226.0","240.0","254.0","273.0","304.0","339.0","373.0","407.0","435.0","460.0","487.0","522.0","567.0","639.0","717.0","793.0","897.0","1,056.0","1,386.0","1,539.0","1,633.0","1,796.0","2,158.0","2,656.0","3,433.0","3,970.0","4,456.0","5,102.0","5,782.0","6,514.0","7,632.0","9,118.0","12,230.0","17,185.0","19,158.0","19,734.0","20,560.0","21,795.0","22,695.0","23,203.0","25,870.0","27,309.0","26,631.0","27,122.0","27,647.0","28,166.0","28,638.0","30,064.0","31,083.0","32,996.0","34,232.0","34,212.0","32,507.0","33,582.0","31,681.0","30,508.0"
"186","160","  Persons and nonprofit institutions serving households","W549RC1","16.0","16.0","15.0","13.0","13.0","15.0","16.0","18.0","20.0","19.0","20.0","20.0","22.0","27.0","29.0","31.0","32.0","35.0","44.0","50.0","53.0","56.0","66.0","80.0","97.0","104.0","110.0","119.0","134.0","151.0","168.0","185.0","199.0","212.0","230.0","251.0","278.0","320.0","362.0","403.0","453.0","530.0","668.0","737.0","810.0","890.0","1,058.0","1,292.0","1,672.0","1,937.0","2,223.0","2,587.0","2,970.0","3,375.0","4,046.0","4,811.0","5,970.0","7,503.0","8,716.0","9,428.0","10,167.0","10,849.0","11,309.0","11,592.0","12,647.0","12,777.0","12,206.0","12,430.0","12,580.0","12,914.0","12,606.0","13,731.0","14,277.0","13,419.0","13,272.0","13,265.0","13,353.0","13,300.0","12,172.0","11,846.0"
"187","161","  Government","W550RC1","7.0","7.0","7.0","7.0","7.0","7.0","7.0","8.0","8.0","8.0","8.0","9.0","9.0","9.0","10.0","10.0","10.0","11.0","11.0","12.0","12.0","13.0","13.0","15.0","15.0","16.0","16.0","17.0","18.0","19.0","20.0","20.0","21.0","21.0","21.0","22.0","24.0","26.0","29.0","29.0","30.0","33.0","37.0","37.0","34.0","31.0","32.0","31.0","35.0","41.0","48.0","57.0","69.0","80.0","94.0","113.0","167.0","249.0","282.0","251.0","233.0","208.0","188.0","165.0","188.0","212.0","213.0","213.0","216.0","219.0","223.0","226.0","233.0","250.0","265.0","256.0","263.0","271.0","265.0","252.0"
"188","162","  Private enterprises","W551RC1","34.0","33.0","33.0","34.0","34.0","36.0","38.0","39.0","41.0","42.0","44.0","45.0","47.0","50.0","52.0","54.0","57.0","62.0","68.0","74.0","78.0","82.0","92.0","102.0","114.0","120.0","127.0","136.0","152.0","168.0","185.0","201.0","215.0","227.0","236.0","248.0","266.0","293.0","326.0","361.0","414.0","493.0","682.0","765.0","789.0","875.0","1,068.0","1,333.0","1,726.0","1,992.0","2,185.0","2,458.0","2,743.0","3,059.0","3,493.0","4,194.0","6,094.0","9,794.0","10,660.0","10,529.0","10,854.0","11,458.0","12,081.0","12,352.0","14,063.0","15,508.0","15,404.0","15,550.0","15,996.0","16,756.0","17,862.0","18,649.0","20,476.0","23,539.0","25,005.0","25,622.0","21,929.0","24,881.0","24,542.0","22,299.0"
"189","163","    Domestic business","W552RC1","30.0","29.0","29.0","29.0","30.0","31.0","32.0","33.0","35.0","35.0","37.0","37.0","38.0","41.0","42.0","43.0","45.0","49.0","54.0","59.0","61.0","64.0","73.0","81.0","90.0","95.0","100.0","107.0","119.0","133.0","146.0","162.0","177.0","191.0","201.0","211.0","226.0","251.0","278.0","309.0","356.0","426.0","597.0","670.0","690.0","766.0","940.0","1,191.0","1,563.0","1,807.0","1,979.0","2,223.0","2,473.0","2,748.0","3,140.0","3,798.0","5,646.0","9,279.0","10,071.0","9,908.0","10,207.0","10,764.0","11,340.0","11,557.0","13,173.0","14,549.0","14,439.0","14,533.0","14,956.0","15,670.0","16,749.0","17,509.0","19,298.0","22,314.0","23,715.0","24,338.0","20,570.0","23,504.0","23,191.0","20,900.0"
"190","164","    Owner-occupied housing","W553RC1","4.0","4.0","4.0","5.0","5.0","5.0","6.0","6.0","7.0","7.0","8.0","8.0","9.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","17.0","18.0","19.0","21.0","24.0","26.0","27.0","29.0","32.0","35.0","39.0","40.0","38.0","36.0","36.0","37.0","40.0","42.0","47.0","52.0","58.0","67.0","85.0","95.0","99.0","109.0","128.0","142.0","163.0","184.0","205.0","235.0","269.0","311.0","353.0","396.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,359.0","1,377.0","1,351.0","1,399.0"
"191","165","  To the rest of the world (exports)","W554RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","321.0","343.0","307.0","305.0","340.0","361.0","428.0","488.0","631.0","662.0","725.0","763.0","937.0","970.0","1,145.0","1,008.0","1,353.0","1,739.0","2,039.0","1,398.0","2,080.0","1,919.0","1,424.0"
"192","166","  From the rest of the world (imports)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,049.0","6,970.0","4,436.0","6,950.0","7,217.0","5,313.0"
"193","167","Farm products consumed on farms","A2051C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,745.0","1,351.0","1,237.0","1,371.0","1,291.0","1,163.0","1,012.0","917.0","856.0","789.0","804.0","637.0","577.0","553.0","480.0","434.0","384.0","389.0","385.0","331.0","324.0","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","398.0","383.0","310.0","289.0","288.0","275.0","244.0","253.0","213.0","217.0","173.0","193.0","166.0","146.0","125.0","115.0","103.0","101.0","111.0","136.0","139.0","153.0","148.0","148.0"
