"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"367","360","      Services of social advocacy establishments to households","DSASRG3",15.547,15.751,15.868,15.98,16.267,16.386,16.728,17.123,17.527,18.27,19.41,20.092,21.113,22.139,23.349,26.603,28.998,30.718,32.667,34.822,38.231,43.181,47.348,49.419,50.607,52.237,53.483,54.95,56.803,59.693,62.456,64.804,67.214,69.148,70.599,71.931,73.958,75.805,77.422,79.397,81.222,84.608,86.827,89.756,92.556,95.289,100,102.718,106.945,109.958,113.901
"368","361","      Civic and social organizations' services to households","DCISRG3",16.403,16.623,16.749,16.869,17.167,17.294,17.652,18.073,18.491,19.278,20.472,21.2,22.265,23.358,24.638,28.066,30.585,32.401,34.476,36.765,40.4,45.613,50.016,52.171,53.421,55.145,56.461,58.001,59.956,63.01,65.923,68.399,70.942,72.985,74.512,75.918,78.057,80.018,81.717,83.801,85.718,89.315,91.07,92.484,94.403,96.464,100,102.549,105.616,108.16,108.31
"369","362","      Professional advocacy services to households","DSNRRG3",12.075,12.234,12.337,12.505,12.701,13.058,13.439,13.768,14.213,14.785,15.632,16.634,17.629,18.616,19.728,22.312,24.264,25.748,27.474,29.375,32.353,36.849,40.692,43.142,45.385,47.271,48.638,50.505,52.681,55.115,57.489,59.59,61.662,63.551,65.206,66.674,68.627,71.138,73.321,76.034,78.926,81.925,86.362,89.603,92.48,95.871,100,103.664,107.104,109.72,112.734
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRG3",29.373,29.673,29.836,30.002,30.301,30.679,31.01,31.823,32.482,33.69,35.144,36.687,37.855,38.972,41.463,46.323,50.099,52.008,54.847,58.346,62.979,68.559,73.436,76.07,77.576,79.253,80.63,81.717,84.015,86.493,89.459,92.808,95.243,96.316,96.899,97.626,98.166,98.887,98.996,98.577,98.245,98.806,99.317,99.01,98.556,99.37,100,100.824,101.836,104.34,105.029
"372","364","  PCE food and energy","DPFERG3",16.417,16.621,16.699,16.805,16.934,17.148,17.496,18.101,18.234,18.704,19.443,20.346,20.884,21.746,24.234,29.013,31.413,32.497,34.694,37.535,43.134,50.232,55.072,56.323,56.921,58.231,58.857,56.797,58.165,59.429,62.7,66.567,68.003,68.451,69.286,70.119,71.286,73.884,75.058,73.318,75.14,81.077,83.291,82.257,87.02,92.559,100,105.783,110.91,121.464,111.674
"373","365","  PCE energy goods and services \1\","DNRGRG3",12.231,12.513,12.56,12.601,12.61,12.537,12.796,12.998,13.289,13.486,13.846,14.176,14.678,15.058,16.357,21.326,23.429,25,27.112,28.639,35.713,46.658,52.932,53.857,54.36,55.046,55.626,48.741,49.28,49.657,52.591,57.038,57.29,57.557,58.081,58.307,58.766,61.517,62.163,56.906,59.237,70.117,71.79,67.582,76.18,85.021,100,111.413,118.262,134.981,108.904
"374","366","  PCE excluding food","DPXFRG3",18.121,18.454,18.671,18.908,19.134,19.392,19.651,20.084,20.686,21.526,22.503,23.519,24.605,25.388,26.447,28.981,31.446,33.375,35.575,37.922,41.228,45.81,50.034,53.016,55.54,57.7,59.753,61.215,63.429,66.028,68.828,71.949,74.588,76.962,78.714,80.369,82.151,83.868,85.435,86.224,87.612,89.805,91.438,92.672,94.567,97.003,100,102.831,105.493,108.795,108.912
"375","367","  PCE excluding energy","DPXERG3",18.824,19.123,19.334,19.575,19.819,20.14,20.423,20.955,21.488,22.362,23.404,24.537,25.592,26.481,27.853,30.382,32.884,34.657,36.853,39.475,42.496,46.341,50.279,53.244,55.704,57.935,59.937,62.095,64.41,67.106,69.958,72.99,75.772,78.114,79.886,81.609,83.478,85.183,86.815,88.058,89.379,90.977,92.69,94.28,95.745,97.826,100,102.245,104.773,107.582,109.206
"376","368","  PCE excluding food and energy \2\","DPCCRG3",18.69,19.024,19.262,19.525,19.778,20.081,20.335,20.795,21.432,22.351,23.4,24.498,25.651,26.48,27.492,29.673,32.159,34.114,36.303,38.731,41.55,45.356,49.318,52.501,55.22,57.513,59.695,61.945,64.3,67.088,69.856,72.838,75.673,78.218,80.068,81.836,83.721,85.346,86.981,88.242,89.555,91.111,92.739,94.345,95.784,97.788,100,102.292,104.699,107.207,108.854
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.483,67.004,70.105,73.524,76.354,78.53,80.403,81.965,83.644,85.27,86.545,87.074,88.306,90.421,92.139,93.157,94.983,97.246,100,102.762,105.334,108.954,109.276
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.152,85.698,87.591,88.694,91.258,93.573,96.531,99.781,103.351,104.645,104.13,103.333,103.312,103.873,104.236,102.357,100.222,98.56,100,100.189,99.373,98.981,99.035
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.226,142.621,144.048,146.173,147.015,146.887,145.451,145.653,143.583,139.294,133.866,128.49,122.402,118.447,114.256,109.773,105.321,102.603,100,97.583,95.23,93.961,91.765
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.968,66.907,70.436,73.873,76.201,76.791,77.864,79.177,80.895,83.365,84.95,86.027,87.44,89.492,92.12,93.538,95.301,98.268,100,101.712,105.623,111.931,113.302
"384","373","  Market-based PCE clothing and footwear","DCLMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.51,112.001,113.639,117.344,119.577,120.465,119.82,117.801,115.045,113.657,113.691,111.619,110.139,108.826,106.667,103.857,101.272,100.927,100,99.572,98.635,97.817,98.708
"385","374","  Market-based PCE gasoline and other energy goods","DGOERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.94,41.245,44.901,51.419,50.557,50.173,49.68,49.802,50.47,53.908,53.906,46.996,50.883,65.768,63.48,59.378,69.37,81.537,100,112.926,122.378,143.694,104.053
"386","375","  Market-based PCE other nondurable goods","DNDXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.658,66.49,70.227,73.698,77.632,80.518,81.909,82.477,83.876,85.488,86.47,88.115,91.577,93.678,95.868,97.409,97.438,98.523,100,102.121,103.387,105.817,110.613
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.045,57.737,60.795,64.051,67.172,69.837,72.296,74.262,76.404,78.381,80.459,82.072,83.746,85.931,88.729,91.081,94.009,96.836,100,103.56,106.988,110.717,112.929
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.698,59.214,61.651,64.534,66.547,68.34,70.129,72.028,74.244,76.491,78.703,81.216,83.468,86.056,89.453,93.04,95.381,97.605,100,103.491,107.18,110.127,112.102
"391","378","    Market-based PCE household utilities","DUTLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.48,59.51,61.593,63.311,65.867,67.865,70.337,71.425,72.075,73.961,75.687,74.445,74.675,78.323,84.949,82.423,87.918,91.779,100,107.94,111.295,119.972,117.951
"392","379","    Market-based PCE health care","DHLCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.564,49.116,53.435,57.995,62.476,66.868,70.442,73.304,75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.84,109.726,112.447
"393","380","    Market-based PCE transportation services","DTRSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.842,67.873,70.857,73.565,75.584,77.732,80.436,81.417,83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.622,112.403,115.461
"394","381","    Market-based PCE recreation services","DRCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.372,55.438,58.29,61.532,64.961,67.054,69.311,70.788,72.294,74.858,77.569,79.758,82.6,85.955,88.916,91.892,94.981,97.489,100,103.431,106.224,109.225,111.184
"395","382","    Market-based PCE food services and accommodations","DFSMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.11,61.658,64.451,67.402,70.106,71.6,73.01,74.295,76.052,78.108,80.429,82.597,84.74,87.139,89.659,91.831,93.751,96.877,100,103.348,107.36,111.611,114.285
"396","383","    Market-based PCE financial services and insurance","DFIMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.92,114.497,118.421,120.829,126.836,127.79,128.526,123.297,125.82,125.17,129.497,119.551,109.612,99.094,93.341,93.349,96.757,98.989,100,100.394,103.092,106.475,102.754
"397","384","    Market-based PCE other services","DOTMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.782,56.82,59.129,61.587,64.723,67.341,69.812,72.266,74.473,76.62,78.935,80.896,82.846,84.775,87.36,90.489,93.628,96.605,100,103.597,106.172,110.399,113.919
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.209,102.214,102.456,102.221,104.362,104.559,105.016,106.92,107.359,107.627,108.227,107.393,105.313,102.328,101.386,102.24,102.273,100.759,100,100.058,97.734,99.408,101.311
"400","386","      Market-based PCE education","DTEDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.126,34.52,36.977,39.538,42.828,46.459,49.908,52.924,55.889,58.85,61.689,64.499,67.718,71.031,74.83,79.654,85.83,93.155,100,106.339,112.362,118.874,125.46
"401","387","      Market-based PCE professional services","DPRMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.66,45.444,47.965,51.324,54.334,57.074,59.517,61.912,64.345,66.898,69.8,73.164,76.672,80.492,84.282,88.525,92.373,95.975,100,104.762,109.11,113.768,116.898
"402","388","      Market-based PCE personal care and clothing services","DPERRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.978,60.437,63.372,65.893,68.325,70.128,72.146,73.932,75.585,77.232,79.618,80.896,83.029,85.784,89.289,91.376,93.59,96.313,100,103.609,107.328,112.683,116.384
"403","389","      Market-based PCE child care","DCHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.187,44.052,46.611,49.738,53.049,55.684,58.336,61.334,63.841,66.286,68.793,72.127,75.834,79.986,84.012,88.301,92.313,95.786,100,105.475,110.021,114.979,119.154
"404","390","      Market-based PCE household maintenance","DHMMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.244,58.076,59.489,60.984,64.375,66.765,68.763,70.05,72.387,74.521,76.438,78.599,81.033,84.589,88.294,91.294,93.728,96.032,100,103.655,106.186,109.465,109.918
"405","391","Market-based PCE food and energy","DPMFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.151,59.415,62.685,66.55,67.99,68.441,69.275,70.113,71.281,73.879,75.052,73.315,75.14,81.077,83.291,82.259,87.021,92.557,100,105.786,110.912,121.469,111.681
"406","392","Market-based PCE excluding food","DMXFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.384,66.979,70.024,73.439,76.33,78.702,80.672,82.262,83.936,85.467,86.707,87.178,88.392,90.513,92.142,93.122,94.953,97.151,100,102.86,105.307,108.673,108.897
"407","393","Market-based PCE excluding energy","DPMERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.493,68.2,71.297,74.601,77.649,79.986,81.971,83.644,85.421,86.944,88.266,89.269,90.411,91.848,93.568,94.965,96.302,98.096,100,102.186,104.483,107.279,109.242
"408","394","Market-based PCE excluding food and energy","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.475,68.287,71.319,74.601,77.744,80.316,82.42,84.138,85.921,87.325,88.616,89.611,90.722,92.092,93.715,95.11,96.403,98.078,100,102.234,104.368,106.811,108.832
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.4,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
