"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"269","261","            Mutual fund sales charges","DMUTRX0",4602,4821,4677,5251,6599,5731,5603,5326,5193,5056,4663,5296,5054,5100,5192,4943,4587,5201,5716,5510,5979,5471,5484,5961,6197,6331,6655,6667,7301,7436,6953,7669,8294,8949,9445,9688,9384,8947,8651,8319,6969,7143,7543,7280,7035,7616,7146,7481,7442,6895,7507,6694,7086,6809,6631,7137,7297,7801,7809,7650,7323,7110,8043,8452,7691,7455,7410,7210
"270","262","          Portfolio management and investment advice services","DPMIRX0",54243,57464,61403,64273,67740,70505,73152,72696,70000,67360,64895,64692,65464,65055,66240,68761,71542,67993,68026,70279,70630,72219,74061,77113,78453,80121,80750,79590,85616,91186,94390,96417,95137,97580,96252,95977,97035,98373,100013,98703,94371,90270,86404,85527,89130,91876,91818,89746,90092,89755,91734,89533,96332,86063,88134,86360,86878,85811,84280,84675,79939,81007,81440,78174,76162,74042,69893,70846
"271","263","          Trust, fiduciary, and custody activities","DTRURX0",6995,7503,7463,6813,7499,7281,7194,6831,7522,7487,6988,7443,7528,7905,7604,7252,6921,6717,6739,6973,6981,7243,7309,7180,7182,7226,7519,8028,8421,8721,9008,9258,9434,9504,9530,9514,9382,9209,9091,9057,8588,8134,7991,8150,8553,8914,9168,9310,9322,9330,9378,9464,10222,10470,10451,10064,10468,10663,10574,10962,10997,9915,9941,10209,10995,11768,11640,11686
"272","264","      Insurance","DINSRX0",260041,261037,263318,265929,273041,275315,276484,278828,277395,277929,278652,277191,271772,270654,272558,273254,272032,273391,275485,276926,277602,279131,283002,287133,292423,297839,301399,303622,302589,297762,295055,294914,299408,301950,302471,302968,301528,298317,291828,280580,269566,263983,264816,268496,274399,279978,282930,285638,287438,290663,292359,289907,279404,268792,263438,263364,269589,275433,277582,278884,278732,279470,280604,282783,287099,290722,295322,299325
"273","265","        Life insurance (110)","DLIFRX0",79612,79240,79930,80849,85054,85479,84621,84818,82913,81655,80706,77694,71963,70949,71536,70483,68226,68918,71042,73659,77024,79728,82214,82862,82792,84064,85517,87460,89296,88100,87249,87399,88663,89120,88531,89010,89821,90623,89614,85160,80689,78482,79814,81093,82854,84685,86280,89272,89518,89459,90800,91123,86263,80498,77790,78413,82446,86042,86364,85905,84155,83195,82426,82614,83874,84778,86502,87428
"274","266","        Net household insurance (111)","DFINRX0",6271,6204,6165,6150,6153,6163,6180,6200,6213,6194,6140,6037,5943,5849,5861,5856,5995,6034,6124,6260,6426,6574,6691,6777,6821,6804,6722,6572,6386,6336,6461,6764,7205,7612,7949,8212,8388,8425,8313,8047,7666,7364,7189,7140,7241,7361,7455,7523,7749,7969,8068,8044,7898,7797,7792,7883,8050,8220,8381,8529,8659,8762,8839,8887,8881,8857,8837,8817
"275","267","          Household insurance premiums and premium supplements","DFIPRX0",14052,14170,14310,14464,14623,14783,14945,15105,15269,15493,15799,16182,16609,16911,17104,17069,17109,17048,17073,17165,17299,17415,17497,17541,17548,17590,17684,17825,18007,18218,18462,18736,19016,19226,19356,19398,19356,19282,19193,19083,18951,18819,18696,18581,18635,18738,18802,18824,19071,19375,19596,19729,19693,19704,19858,20153,20526,20720,20686,20415,19950,19563,19320,19218,19174,19124,19079,19037
"276","268","          Less: Household insurance normal losses","DFIBRX0",7913,8069,8228,8384,8532,8673,8811,8944,9086,9320,9671,10149,10668,11063,11243,11213,11115,11015,10950,10906,10874,10842,10806,10765,10728,10787,10962,11254,11621,11882,12002,11973,11811,11614,11407,11186,10968,10857,10880,11036,11286,11454,11508,11441,11394,11377,11347,11301,11321,11406,11528,11684,11795,11907,12066,12271,12476,12500,12305,11885,11290,10800,10480,10330,10292,10265,10241,10219
"277","269","        Net health insurance (112)","DHINRX0",120536,121843,123421,125158,128186,130032,131940,133814,133971,135627,137195,138778,139736,140578,142369,144551,145651,146083,145417,143294,139379,136915,136996,139200,143428,146951,149043,149943,148051,144661,142005,139865,140534,140619,140537,140133,138197,134853,130329,124811,119771,117752,118374,121663,126230,130298,132066,132314,133753,136884,137581,135599,130784,126436,124053,123410,125481,127493,128957,130287,131434,132756,134353,136134,139047,141606,144317,147217
"278","270","          Medical care and hospitalization","DMINRX0",102503,103789,105246,106767,109574,111069,112574,113990,113552,114750,115904,117134,118089,119364,121151,122838,124871,126729,127003,125356,121449,118673,118155,119458,122588,125172,126554,126992,124790,121014,117884,115183,115311,115023,114784,114442,112763,109819,105819,100966,96729,95528,96931,100949,105981,110493,112842,113802,114228,115966,115956,113958,109512,105365,102951,102048,103647,105148,106095,106894,107529,108432,109713,111289,113903,116101,118438,120953
"279","271","          Income loss","DIINRX0",1843,1891,1940,1990,2039,2089,2139,2190,2238,2280,2313,2337,2352,2370,2393,2422,2454,2481,2503,2516,2520,2523,2526,2528,2529,2535,2548,2568,2593,2618,2643,2667,2689,2705,2715,2718,2714,2710,2710,2711,2711,2705,2691,2668,2638,2611,2591,2576,2568,2563,2562,2562,2573,2589,2603,2617,2629,2638,2646,2652,2655,2657,2661,2666,2670,2673,2677,2681
"280","272","          Workers' compensation","DPWCRX0",16618,16651,16767,16957,17209,17499,17827,18191,18575,18941,19281,19589,19618,19303,19355,19800,19072,17906,17097,16631,16499,16682,17178,17989,19025,19906,20549,20947,21142,21376,21709,22136,22609,22926,23055,22986,22719,22307,21770,21099,20310,19524,18770,18045,17566,17086,16460,15685,16762,18252,19029,19088,18764,18621,18702,19006,19495,20032,20596,21183,21760,22221,22548,22736,23003,23356,23720,24091
"281","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",53587,53721,53815,53840,53798,53841,54014,54302,54645,54900,55043,55059,54814,54099,53711,53454,53371,53541,53970,54595,55377,56304,57371,58570,59761,60473,60609,60139,59257,58996,59601,61064,63139,64713,65582,65715,65170,64404,63535,62541,61435,60383,59442,58604,58062,57598,57086,56522,56410,56305,55903,55185,54439,53919,53607,53500,53547,53671,53867,54131,54417,54666,54879,55043,55220,55428,55653,55888
"282","274","    Other services","DOTSRX0",711391,714898,717753,734617,749760,767328,780685,784591,791594,807024,809012,810001,808683,808131,802880,815210,826434,826675,834694,837200,842996,849009,855027,856227,856523,856520,861324,867754,875203,884546,885628,899401,903934,907445,905298,902034,906661,899411,902727,900175,888254,874761,875184,878408,880259,884088,885726,886955,896340,899755,904534,904041,916457,911250,912743,918873,908603,915016,918667,927338,937375,946668,958160,974093,974382,986843,990673,996223
"283","275","      Communication","DCOMRX0",122566,127991,132989,136454,141265,148039,152132,153980,154507,157141,158130,157374,157905,159909,159460,159833,161492,163299,164771,164978,167389,171153,174014,175206,176463,178651,179843,180652,184449,188493,192240,200171,204931,209078,211974,216604,220291,221997,223278,220652,217774,216331,217102,220212,223482,225719,228332,230582,237826,242389,247103,245484,248755,251297,253540,258461,254360,256046,260004,261953,268731,269771,273286,280808,280429,284411,282820,282819
"284","276","        Telecommunication services (71)","DTCSRX0",108190,112554,116242,117767,120713,125793,128850,130168,131575,134187,135183,133929,133551,134162,133568,132494,132607,133846,134457,133417,134715,137842,140263,140733,142247,144655,145744,146485,150403,153061,151115,151440,152276,152716,153139,155268,156457,156843,156799,154305,151043,149243,148511,149549,152018,152563,154105,154286,159688,161372,162698,160474,161152,161002,161587,163271,159134,160460,162396,162816,166768,167264,169581,177403,176438,179392,177608,176850
"285","277","          Land-line telephone services, local charges","DLOCRX0",66332,68790,68700,68867,69500,71107,69655,70164,70612,69838,67952,67178,66118,65957,63918,61516,59844,57798,55249,54068,53073,52706,52322,52177,52366,51856,51179,50158,51667,52287,50943,49618,48536,47828,46733,46570,46763,46401,45801,43705,42022,40406,39768,39592,39481,39361,38711,38194,36997,36172,36103,33933,34002,33991,33291,32949,31147,29795,29327,28977,29300,29039,29211,29071,28959,29027,28790,28719
"286","278","          Land-line telephone services, long-distance charges","DLDTRX0",34640,35442,36662,35531,35171,35772,36379,34757,32950,33306,32820,29665,28299,27152,27343,26781,26363,27430,28677,28732,28944,29432,29537,27897,27453,27260,26953,26456,26015,25645,23165,22798,22645,22540,22114,21993,21903,21556,21093,19936,18961,17902,17167,16515,15726,15205,14737,14571,15098,15403,15523,14797,14032,13457,12805,12469,11756,11219,11021,10873,10984,10879,10939,10884,10632,10449,10162,9938
"287","279","          Cellular telephone services","DCELRX0",15951,17251,19027,21257,23639,26267,29150,31584,34412,36980,39798,42583,44485,46374,47184,48620,50444,52188,53666,53637,55521,58332,60828,62808,64443,67309,69187,71214,73956,76246,77763,79604,81542,82723,84557,86902,87961,89010,89992,90704,90075,90929,91566,93445,96877,98109,100869,101782,108097,110422,111745,112689,114188,114697,116870,119433,118004,121658,124523,125582,129294,130289,132500,141217,140640,144035,142779,142343
"288","280","        Postal and delivery services (68)","DPSSRX0",14219,14163,14006,14039,14190,14073,13877,13908,13419,13266,13052,12640,12649,12743,11821,11429,11652,11829,12040,12329,12254,12006,12087,12300,12118,12212,12420,12510,13045,13122,12972,12872,12725,12881,12990,13081,13677,13417,13151,12914,12452,12107,11818,11655,11388,11418,11108,10959,10140,9994,9805,9449,9328,9094,9001,8983,8826,8691,8531,8426,8515,8615,8491,8496,8493,8463,8474,8503
"289","281","          First-class postal service (by U/S/ Postal Service)","DPSTRX0",11220,11179,11019,11017,11112,10972,10787,10850,10443,10361,10219,9885,9952,10087,9229,8864,9071,9243,9457,9760,9725,9524,9639,9882,9739,9858,10079,10173,10720,10767,10612,10477,10364,10533,10712,10836,11577,11393,11194,10904,10457,10121,9885,9722,9677,9729,9397,9219,8482,8347,8132,7719,7573,7347,7248,7261,7050,6943,6778,6699,6781,6863,6725,6670,6685,6629,6668,6704
"290","282","          Other delivery services (by non-U/S/ postal facilities)","DODSRX0",3016,3000,3015,3058,3122,3158,3156,3113,3036,2954,2875,2798,2725,2670,2637,2626,2632,2629,2614,2583,2539,2494,2454,2417,2378,2349,2332,2328,2314,2343,2349,2383,2348,2334,2266,2235,2104,2033,1971,2013,1995,1985,1933,1934,1720,1700,1716,1740,1652,1638,1655,1692,1711,1699,1702,1674,1716,1690,1691,1666,1674,1692,1702,1754,1738,1760,1737,1730
"291","283","        Internet access (72)","DINTRX0",6014,6972,8180,9789,11292,12831,13842,14280,13882,14054,14201,14789,15491,16560,17215,18567,19654,20029,20586,21340,22303,23074,23453,23903,23883,23729,23695,23688,23314,24449,29046,35714,39697,43333,45757,48193,50097,51677,53288,53411,54276,54977,56771,59017,60094,61739,63129,65343,68096,71128,74706,75677,78399,81337,83096,86361,86519,87051,89271,90908,93663,94082,95463,95409,95942,97074,97189,97871
"292","284","      Education services","DTEDRX0",212244,213080,213995,215914,218168,220183,222549,224282,225629,226494,225392,224020,221463,220093,220705,218968,219037,219531,218854,217883,216575,214551,212992,213213,213973,213824,214188,214823,215511,216138,216004,217820,218460,219316,219753,220321,220086,220346,221228,220190,219513,218736,219581,221606,223581,224590,225390,226240,226300,225578,224489,224332,224172,221130,219653,218554,219113,218866,217170,217153,217735,216987,216442,219042,219655,220461,220405,220792
"293","285","        Higher education (97)","DHEDRX0",133367,134189,134826,136620,138100,139668,141304,142408,143688,144684,144959,143698,142014,141317,141967,141373,142135,143019,142899,142841,142077,140806,139698,140121,141038,141120,141991,142095,142632,143344,143003,143953,144132,144448,144476,144920,144921,144900,145550,145265,145390,145581,147115,148546,149419,149911,150761,151689,151525,150473,149676,149259,149673,147600,146369,145790,147038,145972,143737,143957,144560,143406,142072,143753,143379,143410,143142,143626
"294","286","          Proprietary and public higher education","DGEDRX0",76877,77642,78548,79554,80588,81508,82299,82932,83388,83790,84181,84541,84873,85218,85642,86121,86810,87273,87412,87101,86387,85860,85646,85735,86043,86416,86834,87262,87669,88016,88321,88557,88705,88818,88953,89077,89162,89246,89370,89506,89702,90336,91525,93270,94098,94468,95059,95867,95406,94447,93757,93324,93885,91714,90410,89941,91475,90305,88364,88942,89902,88922,87683,89348,89509,89703,89922,90157
"295","287","          Nonprofit private higher education services to households","DPEDRX0",56489,56546,56277,57066,57512,58159,59005,59476,60300,60894,60777,59156,57140,56100,56324,55252,55325,55746,55487,55740,55690,54946,54052,54386,54995,54704,55157,54833,54963,55328,54682,55396,55427,55630,55523,55843,55758,55654,56180,55760,55688,55245,55589,55276,55321,55443,55702,55822,56119,56027,55919,55935,55787,55885,55959,55848,55562,55667,55372,55015,54658,54484,54388,54405,53870,53707,53220,53469
"296","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",40242,40218,39973,39959,39962,39858,39629,40040,40213,40211,39852,39764,39422,39237,39469,39018,38725,38412,37981,37649,37473,37346,37127,36756,36605,36378,36144,36074,36051,35945,35795,36266,36177,36115,36288,36132,35909,35830,35719,35608,35306,35020,34599,34334,34158,33890,33872,34003,34150,34394,34393,34488,34325,34048,33810,33761,33583,33535,33829,33471,33250,33159,33149,33236,33354,33254,33204,33330
"297","289","          Elementary and secondary schools","DESCRX0",31467,31392,31252,31243,31113,30984,30869,31109,31189,31096,30721,30590,30339,30202,30285,30032,29611,29200,28779,28357,28159,27999,27708,27380,27278,27090,26798,26714,26720,26566,26262,26378,26177,25950,25996,25828,25658,25646,25686,25483,25181,24945,24584,24289,24236,24179,24120,23932,23805,23669,23579,23658,23608,23418,23196,23093,22946,22903,23053,22766,22484,22404,22402,22462,22529,22544,22497,22570
"298","290","          Day care and nursery schools","DNSCRX0",8959,9002,8904,8898,9014,9032,8925,9086,9173,9253,9256,9292,9202,9155,9294,9103,9211,9292,9273,9348,9366,9395,9459,9414,9365,9324,9377,9390,9361,9406,9554,9901,10008,10168,10293,10304,10251,10185,10036,10127,10125,10075,10015,10046,9922,9710,9752,10073,10350,10734,10825,10840,10726,10640,10626,10681,10651,10647,10792,10723,10790,10781,10773,10800,10852,10732,10730,10784
"299","291","        Commercial and vocational schools (99)","DVEDRX0",38136,38194,38720,38903,39674,40251,41225,41438,41368,41280,40355,40297,39762,39289,39035,38387,38047,38019,37920,37375,37011,36384,36147,36328,36344,36348,36107,36686,36860,36891,37231,37617,38155,38743,38974,39253,39244,39600,39943,39307,38813,38137,37870,38724,40007,40794,40754,40539,40618,40715,40429,40603,40180,39492,39488,39015,38474,39365,39658,39764,39949,40479,41328,42162,43077,43988,44268,44025
"300","292","      Professional and other services (121)","DPRSRX0",161728,161880,161678,161787,162184,162072,163379,163272,164827,165779,167114,166457,165578,165347,166189,168109,170952,172880,172781,172852,172537,170707,172213,172706,173903,172427,170540,170379,170556,172665,173548,174522,176178,175576,174451,173510,173399,173431,171809,169655,165249,162204,160478,158240,158405,158416,158414,157706,157808,158171,157999,157840,158244,157132,156812,155305,153346,154661,155093,158211,156809,156722,156735,158241,158507,158429,158138,158627
"301","293","        Legal services","DGALRX0",94773,95224,94944,94921,94094,94576,95181,94968,96181,95864,97348,97149,96598,96704,97404,98642,100607,100513,99102,97568,98112,96549,97466,98112,97973,96953,95623,95032,95291,96747,97068,97768,98855,97270,95942,94788,94611,95422,95274,94458,91698,90263,90060,88309,88325,88069,88415,88115,88021,88529,88641,88548,88703,88258,87861,86209,84114,85002,85082,87428,85899,85145,85394,86235,86543,86462,87297,87693
"302","294","        Accounting and other business services","DPRORX0",22972,23313,23679,24027,24356,24670,24959,25218,25428,25612,25812,26006,26189,26398,26583,26741,27090,27540,28079,28726,29390,29847,30049,29971,29625,29357,29263,29291,29437,29707,30098,30611,31207,31698,32029,32196,32186,31817,31085,30041,28718,27587,26802,26343,26250,26267,26297,26296,26245,26152,26049,25938,26137,25432,25152,25282,25776,26045,26287,26526,26705,27265,26352,27322,27340,27352,27396,27436
"303","295","          Tax preparation and other related services","DTAPRX0",16331,16607,16874,17120,17350,17611,17920,18273,18653,19014,19353,19662,19937,20168,20361,20512,20615,20809,21158,21638,22174,22473,22466,22139,21547,21047,20721,20564,20565,20688,20933,21297,21755,22214,22668,23107,23477,23553,23293,22687,21799,21007,20399,19974,19801,19722,19669,19642,19592,19510,19413,19295,19447,18725,18447,18586,19105,19384,19615,19794,19917,20435,19466,20364,20373,20366,20364,20367
