"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"344","337","    Gross output of nonprofit institutions (133)","DNPERG3",9.841,10.09,10.28,10.474,10.727,10.987,11.307,11.7,12.237,12.883,13.728,14.629,15.334,16.061,17.09,19.139,21.063,22.701,24.398,26.253,28.886,32.335,35.866,38.668,40.758,42.731,44.452,46.007,48.025,50.856,53.658,56.202,58.814,60.95,62.83,64.641,66.467,68.289,70.035,72.131,74.102,77.007,79.972,82.258,84.714,87.278,90.308,93.309,96.179,98.645,100,101.83,103.784,105.479,107.701
"345","338","      Health, gross output","DHLGRG3",7.916,8.236,8.463,8.657,8.939,9.259,9.546,9.901,10.554,11.259,12.052,13,13.544,14.187,15.003,16.472,18.307,19.993,21.657,23.531,25.918,28.919,32.462,35.616,37.945,40.022,42.029,43.589,45.655,48.592,51.671,54.605,57.638,60.082,62.237,64.146,65.87,67.451,68.887,70.946,72.745,75.191,78.576,81.289,83.964,86.686,89.685,92.678,95.376,98.08,100,101.769,103.588,105.262,107.238
"346","339","        Outpatient services, gross output","DOUGRG3",8.833,9.057,9.275,9.555,9.779,10.008,10.344,10.989,11.73,12.406,13.257,14.262,15.201,15.676,16.228,17.71,19.91,22.153,24.209,26.101,28.021,31.137,34.161,36.627,38.988,40.921,43.677,46.203,48.036,50.93,53.849,56.874,59.846,62.44,64.621,67.251,68.625,69.747,72.407,74.2,75.473,77.374,79.545,81.175,83.616,86.045,89.803,92.636,95.276,98.098,100,101.935,104.186,104.959,107.041
"347","340","        Nonprofit hospitals, gross output","DHSORG3",7.732,8.054,8.281,8.465,8.746,9.069,9.348,9.67,10.309,11,11.782,12.708,13.214,13.858,14.682,16.108,17.91,19.567,21.215,23.058,25.455,28.445,32.037,35.258,37.585,39.671,41.641,43.132,45.219,48.203,51.305,54.17,57.212,59.657,61.808,63.597,65.305,66.941,68.199,70.286,72.153,74.663,78.249,81.131,83.848,86.652,89.598,92.646,95.361,98.04,100,101.799,103.61,105.457,107.476
"348","341","        Nonprofit nursing homes, gross output","DNXORG3",9.084,9.521,9.748,9.93,10.349,10.771,11.072,11.43,12.153,13.053,13.894,15.04,15.702,16.428,17.327,19.245,21.12,22.622,24.068,26.236,28.756,31.646,34.776,37.426,39.599,41.579,43.205,44.529,46.519,48.906,51.842,55.308,58.253,60.451,62.584,64.717,67.056,68.77,70.126,72.288,74.169,76.753,80.008,82.744,85.387,87.806,90.264,92.998,95.627,98.411,100,101.312,102.693,103.896,105.291
"349","342","      Recreation services, gross output","DRCGRG3",13.541,13.974,14.284,14.669,15.02,15.66,16.304,17.005,17.765,18.806,19.991,21.344,22.491,23.296,24.412,26.837,29.073,30.66,32.23,34.184,37.255,40.657,43.546,45.619,47.255,48.917,50.229,51.828,53.536,55.455,58.221,60.494,62.819,64.174,65.782,67.424,69.642,71.819,73.66,75.694,78.731,82.267,83.751,84.526,86.643,88.324,91.315,94.347,96.695,99.078,100,100.731,102.786,103.623,104.904
"350","343","      Education services, gross output","DEDGRG3",9.869,10.114,10.344,10.619,10.889,11.142,11.528,12.046,12.544,13.124,13.955,14.974,15.802,16.632,18.048,20.531,22.387,24.079,25.622,27.054,29.849,33.238,36.735,39.117,41.1,43.116,44.857,46.494,48.565,51.19,53.75,56.334,58.64,60.528,62.168,64.15,65.977,68.248,70.349,72.717,74.942,78.186,80.662,82.083,84.726,87.438,90.271,93.558,96.533,99.323,100,101.48,103.231,105.409,108.366
"351","344","      Social services, gross output","DSSGRG3",14.554,14.746,14.854,14.96,15.228,15.34,15.66,16.029,16.407,17.103,18.171,18.809,19.765,20.726,21.858,24.904,27.146,28.756,30.581,32.598,35.79,40.423,44.325,46.263,47.375,48.901,50.068,51.441,53.204,55.998,58.65,61.012,63.427,65.354,66.858,68.297,70.295,72.147,73.769,75.792,77.72,81.086,82.934,85.171,87.026,88.935,91.937,94.471,97.259,99.25,100,101.599,103.893,105.275,107
"352","345","      Religious organizations, gross output","DREORG3",13.561,13.697,13.823,13.943,14.131,14.249,14.557,14.915,15.292,15.89,16.872,17.539,18.457,19.246,20.504,23.752,25.885,27.223,29.308,31.602,34.411,39.101,42.031,44.215,46.047,48.123,49.017,50.536,52.744,55.658,57.492,58.047,59.557,60.633,61.725,63.468,65.621,67.762,70.969,72.85,74.938,79.447,82.197,84.047,85.974,88.487,91.688,94.849,98.574,100.206,100,103.335,105.306,106.822,110.586
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORG3",12.366,12.62,12.62,12.848,13.079,12.961,13.317,13.633,14.051,14.449,15.508,16.118,16.897,17.657,19.271,21.495,23.786,25.244,26.38,27.35,31.035,34.972,38.553,40.607,42.554,43.638,44.443,46.058,47.365,50.143,52.139,54.418,54.882,57.35,59.237,60.656,62.107,64.402,66.516,68.952,71.854,75.378,78.968,81.344,83.813,86.505,90.186,93.433,97.707,99.743,100,102.764,105.56,108.225,110.896
"354","347","      Social advocacy establishments, gross output","DSAORG3",14.069,14.254,14.359,14.461,14.721,14.828,15.137,15.495,15.86,16.533,17.565,18.182,19.106,20.034,21.129,24.074,26.241,27.797,29.561,31.511,34.597,39.075,42.847,44.72,45.796,47.271,48.398,49.725,51.402,54.018,56.518,58.643,60.823,62.574,63.884,65.089,66.923,68.607,70.06,71.842,73.509,76.584,78.601,81.248,83.617,85.909,89.835,92.19,95.992,98.229,100,102.322,105.005,106.627,110.013
"355","348","      Civic and social organizations, gross output","DCIORG3",15.169,15.373,15.488,15.6,15.875,15.993,16.324,16.713,17.1,17.831,18.938,19.608,20.596,21.601,22.792,25.978,28.294,29.974,31.88,33.984,37.341,42.158,46.238,48.245,49.394,50.989,52.205,53.631,55.444,58.275,60.967,63.258,65.609,67.493,68.901,70.202,72.18,73.994,75.569,77.499,79.277,82.61,84.222,85.529,87.167,88.81,91.685,93.945,96.757,98.703,100,101.067,103.292,105.753,108.046
"356","349","      Professional advocacy, gross output","DSNGRG3",12.922,13.138,13.245,13.426,13.634,13.952,14.302,14.654,15.117,15.706,16.568,17.505,18.475,19.302,20.344,23.106,25.142,26.639,28.364,30.318,33.452,38.002,41.955,44.482,45.965,47.364,48.453,49.936,51.751,54.366,56.759,58.435,60.313,61.947,63.415,64.718,66.705,69.045,70.898,73.203,75.388,78.097,81.829,83.806,85.729,88.495,91.858,95.145,97.983,99.133,100,102.434,105.44,106.747,108.938
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRG3",5.658,6.095,6.236,6.368,6.546,6.768,6.968,7.204,7.578,8.025,8.558,9.193,9.61,10.087,10.732,11.925,13.159,14.299,15.397,16.619,18.298,20.637,23.284,26.097,28.591,30.803,32.642,34.473,36.656,39.61,43.303,47.151,51.123,54.974,58.033,60.215,62.429,64.324,65.669,66.952,68.607,70.942,73.47,76.229,80.082,83.806,87.105,90.699,94.042,97.086,100,102.826,105.211,107.736,110.037
"358","351","      Health services to households","DHLRRG3",4.901,5.513,5.659,5.78,5.967,6.218,6.404,6.613,7.032,7.519,8.044,8.687,9.035,9.478,10.03,11.018,12.228,13.387,14.483,15.758,17.413,19.697,22.393,25.398,28.109,30.422,32.319,34.175,36.432,39.628,43.847,48.311,52.834,57.219,60.573,62.786,65.01,66.73,67.697,68.534,69.843,71.878,74.24,76.843,80.811,84.501,87.551,91.055,94.239,97.113,100,102.768,104.877,107.237,109.249
"359","352","        Outpatient services to households","DOUSRG3",9.207,9.439,9.665,9.956,10.189,10.431,10.781,11.453,12.226,12.928,13.821,14.865,15.846,16.342,16.911,18.459,20.747,23.087,25.227,27.204,29.242,32.484,35.657,38.261,40.734,42.752,45.643,48.244,50.047,53.029,56.03,59.157,62.221,64.923,67.205,69.96,71.409,72.581,75.414,77.274,78.544,80.587,83.068,85.017,86.838,89.074,90.988,92.832,95.251,98.071,100,101.876,102.862,103.85,104.801
"360","353","        Nonprofit hospitals' services to households","DNPHRG3",4.537,5.154,5.291,5.401,5.578,5.823,5.995,6.173,6.563,7.02,7.514,8.115,8.424,8.848,9.379,10.297,11.43,12.524,13.56,14.759,16.346,18.551,21.186,24.193,26.917,29.249,31.118,32.971,35.274,38.559,42.983,47.671,52.5,57.282,60.903,63.113,65.348,66.927,67.482,67.979,69.155,70.985,73.091,75.748,80.157,84.075,87.266,91.082,94.249,97.048,100,102.95,105.151,107.753,110.009
"361","354","        Nonprofit nursing homes' services to households","DNPNRG3",7.388,7.743,7.928,8.076,8.417,8.76,9.005,9.296,9.884,10.616,11.3,12.232,12.771,13.361,14.092,15.652,17.177,18.399,19.575,21.338,23.388,25.738,28.283,30.439,32.207,33.816,35.139,36.216,37.836,39.777,42.164,44.984,47.379,49.168,50.903,52.635,55.465,58.856,61.386,63.995,66.409,70.128,74.537,77.359,79.887,83.236,86.349,88.913,93.085,96.718,100,101.957,104.41,105.872,106.578
"362","355","      Recreation services to households","DRCRRG3",11.565,12.309,12.92,13.468,13.972,14.62,14.926,15.424,16.103,16.97,17.769,18.843,19.81,20.361,21.166,22.507,24.19,25.425,26.678,28.494,30.515,32.649,34.79,37.186,39.449,41.6,43.768,45.926,48.351,50.746,53.792,56.75,59.936,61.768,63.851,66.606,67.479,70.018,72.539,74.34,77.63,81.072,83.595,85.397,88.692,90.207,91.839,95.171,97.568,99.485,100,99.423,99.047,101.527,102.964
"363","356","      Education services to households","DEDRRG3",3.813,3.91,4.002,4.104,4.205,4.297,4.442,4.641,4.829,5.046,5.369,5.773,6.093,6.417,7.002,8.013,8.753,9.419,10.02,10.489,11.381,12.625,14.138,15.897,17.41,19.078,20.704,22.324,24.094,26.049,28.096,30.327,33.038,36.038,38.939,41.406,43.933,46.311,48.678,51.152,53.678,56.442,59.565,63.549,68.401,74.1,79.413,84.445,89.377,94.688,100,104.727,109.584,114.431,118.955
"364","357","      Social services to households","DSSRRG3",14.222,14.41,14.516,14.619,14.881,14.99,15.303,15.664,16.034,16.714,17.757,18.38,19.315,20.253,21.36,24.337,26.528,28.101,29.884,31.855,34.975,39.502,43.315,45.209,46.296,47.787,48.927,50.269,51.994,54.734,57.333,59.664,62.05,63.954,65.458,66.901,68.872,70.706,72.313,74.33,76.278,79.611,81.556,83.956,86.02,87.899,90.844,93.627,96.421,98.776,100,101.513,103.672,105.044,106.75
"365","358","      Religious organizations' services to households","DRELRG3",13.561,13.697,13.823,13.943,14.131,14.249,14.557,14.915,15.292,15.89,16.872,17.539,18.457,19.246,20.504,23.752,25.885,27.223,29.308,31.602,34.411,39.101,42.031,44.215,46.054,48.126,49.021,50.54,52.744,55.656,57.491,58.045,59.555,60.632,61.723,63.465,65.62,67.766,70.964,72.844,74.929,79.427,82.188,84.04,85.974,88.482,91.687,94.85,98.574,100.206,100,103.335,105.306,106.822,110.586
"366","359","      Foundations and grantmaking and giving services to households","DGIVRG3",12.365,12.617,12.618,12.845,13.077,12.959,13.313,13.631,14.049,14.446,15.503,16.114,16.893,17.656,19.266,21.489,23.782,25.238,26.376,27.346,31.022,34.966,38.545,40.598,42.546,43.63,44.436,46.05,47.357,50.132,52.128,54.407,54.872,57.339,59.226,60.645,62.091,64.421,66.518,68.866,71.769,75.259,78.873,81.291,83.83,86.514,90.198,93.473,97.679,99.714,100,102.751,105.529,108.232,110.874
"367","360","      Services of social advocacy establishments to households","DSASRG3",14.069,14.254,14.359,14.461,14.721,14.828,15.137,15.495,15.86,16.533,17.565,18.182,19.106,20.034,21.129,24.074,26.241,27.797,29.561,31.511,34.597,39.075,42.847,44.72,45.796,47.271,48.398,49.725,51.402,54.018,56.518,58.643,60.824,62.574,63.886,65.092,66.926,68.598,70.061,71.848,73.5,76.564,78.572,81.222,83.636,85.902,89.83,92.182,95.979,98.224,100,102.331,104.993,106.63,110.013
"368","361","      Civic and social organizations' services to households","DCISRG3",15.169,15.372,15.488,15.599,15.875,15.993,16.323,16.713,17.099,17.827,18.931,19.604,20.589,21.6,22.784,25.953,28.283,29.963,31.881,33.998,37.36,42.18,46.252,48.245,49.4,50.995,52.212,53.636,55.443,58.268,60.961,63.251,65.602,67.492,68.904,70.204,72.182,73.995,75.567,77.494,79.266,82.593,84.216,85.523,87.165,88.809,91.681,93.946,96.754,98.694,100,101.064,103.279,105.784,108.043
"369","362","      Professional advocacy services to households","DSNRRG3",10.932,11.076,11.169,11.321,11.498,11.822,12.167,12.465,12.868,13.386,14.152,15.06,15.96,16.854,17.861,20.2,21.967,23.311,24.874,26.594,29.29,33.361,36.841,39.059,41.089,42.797,44.034,45.725,47.694,49.898,52.047,53.949,55.825,57.535,59.033,60.363,62.131,64.405,66.381,68.837,71.455,74.17,78.187,80.937,83.531,86.733,90.141,93.085,96.224,98.249,100,103.046,106.011,107.368,110.54
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRG3",32.356,32.618,32.738,32.839,33.115,33.514,33.841,34.674,35.24,36.485,37.986,39.508,40.647,41.799,44.437,49.635,53.612,55.444,58.332,61.872,66.537,72.382,77.342,79.904,81.182,82.659,83.786,84.533,86.768,89.146,92.029,95.329,97.6,98.529,98.895,99.474,99.726,100.152,99.796,98.869,98.065,98.292,98.355,97.569,96.679,97.077,97.27,97.608,98.015,99.993,100,99.153,100.423,101.347,100.901
"372","364","  PCE food and energy","DPFERG3",14.765,14.948,15.018,15.113,15.229,15.422,15.735,16.279,16.398,16.821,17.486,18.298,18.782,19.557,21.795,26.093,28.251,29.226,31.202,33.757,38.793,45.176,49.529,50.654,51.192,52.37,52.933,51.08,52.31,53.447,56.389,59.867,61.159,61.562,62.312,63.061,64.111,66.447,67.503,65.946,67.572,72.849,74.86,73.97,78.159,82.986,89.385,94.422,98.963,108.468,100,104.137,113.278,115.438,115.91
"373","365","  PCE energy goods and services \1\","DNRGRG3",11.25,11.51,11.553,11.591,11.599,11.532,11.77,11.956,12.224,12.405,12.736,13.039,13.501,13.851,15.045,19.616,21.55,22.996,24.939,26.343,32.849,42.917,48.688,49.539,50.002,50.632,51.166,44.833,45.329,45.676,48.375,52.465,52.696,52.942,53.424,53.632,54.054,56.585,57.179,52.352,54.473,64.425,66.035,62.195,70.045,77.994,91.453,101.824,107.968,123.442,100,110.072,127.427,129.209,128.611
"374","366","  PCE excluding food","DPXFRG3",17.191,17.506,17.712,17.938,18.151,18.397,18.641,19.052,19.623,20.421,21.347,22.311,23.342,24.084,25.088,27.491,29.828,31.658,33.745,35.97,39.105,43.45,47.456,50.285,52.68,54.728,56.841,58.057,59.818,62.212,64.821,67.587,69.815,71.806,73.681,75.244,76.799,78.365,79.705,80.281,81.449,83.487,85.026,86.158,87.871,89.959,92.605,95.159,97.433,100.165,100,101.769,104.07,105.955,107.164
"375","367","  PCE excluding energy","DPXERG3",17.772,18.055,18.254,18.481,18.713,19.016,19.282,19.785,20.287,21.113,22.096,23.166,24.162,25.002,26.297,28.683,31.045,32.718,34.791,37.266,40.117,43.745,47.461,50.261,52.584,54.689,56.737,58.611,60.471,62.947,65.594,68.27,70.63,72.59,74.469,76.089,77.722,79.271,80.668,81.667,82.773,84.259,85.861,87.312,88.634,90.415,92.337,94.362,96.528,98.826,100,101.207,102.868,104.797,106.087
"376","368","  PCE excluding food and energy \2\","DPCCRG3",17.761,18.079,18.306,18.555,18.796,19.083,19.325,19.761,20.367,21.24,22.237,23.281,24.377,25.164,26.125,28.196,30.557,32.414,34.494,36.801,39.478,43.092,46.856,49.88,52.465,54.644,56.897,58.849,60.717,63.288,65.868,68.491,70.885,73.019,75.006,76.679,78.323,79.799,81.194,82.198,83.29,84.744,86.277,87.749,89.048,90.751,92.71,94.785,96.829,98.824,100,101.287,102.743,104.632,105.936
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.131,61.442,64.286,67.422,70.016,72.011,73.729,75.161,76.701,78.192,79.361,79.848,80.978,82.91,84.491,85.441,87.097,89.145,91.611,94.084,96.39,99.63,100,101.497,104.034,105.92,107.062
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.825,86.383,88.291,89.404,91.988,94.321,97.303,100.579,104.178,105.484,104.968,104.166,104.149,104.714,105.079,103.185,101.036,99.353,100.823,101.055,100.283,99.916,100,104.529,107.864,109.72,110.62
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.495,157.133,158.706,161.047,161.975,161.834,160.252,160.474,158.193,153.469,147.488,141.57,134.889,130.567,125.985,121.16,116.156,113.11,110.332,107.544,104.553,102.713,100,95.518,92.922,90.541,87.814
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.33,59.041,62.155,65.188,67.242,67.763,68.71,69.868,71.384,73.564,74.963,75.912,77.159,78.965,81.266,82.5,84.058,86.678,88.192,89.676,93.172,98.845,100,100.303,104.263,106.644,107.761
"384","373","  Market-based PCE clothing and footwear","DCLMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.844,113.378,115.036,118.787,121.047,121.946,121.293,119.249,116.459,115.054,115.089,112.991,111.494,110.164,107.979,105.141,102.533,102.178,101.273,100.877,99.938,99.13,100,99.346,100.997,104.649,105.646
"385","374","  Market-based PCE gasoline and other energy goods","DGOERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.011,39.301,42.785,48.995,48.175,47.808,47.338,47.455,48.091,51.367,51.365,44.786,48.473,62.668,60.508,56.638,66.186,77.761,95.226,107.471,116.409,137.313,100,118.14,148.588,153.621,150.11
"386","375","  Market-based PCE other nondurable goods","DNDXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.358,59.909,63.277,66.404,69.948,72.549,73.803,74.314,75.574,77.027,77.912,79.395,82.523,84.41,86.38,87.924,87.994,88.938,90.246,92.132,93.339,95.539,100,102.013,103.628,105.42,105.741
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.777,51.162,53.872,56.758,59.523,61.885,64.064,65.806,67.704,69.455,71.297,72.727,74.209,76.145,78.622,80.682,83.275,85.798,88.592,91.732,94.764,98.026,100,101.493,103.32,105.526,107.632
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.573,52.817,54.991,57.563,59.358,60.958,62.552,64.247,66.224,68.227,70.2,72.441,74.45,76.759,79.789,82.988,85.077,87.06,89.201,92.324,95.613,98.247,100,100.021,101.3,103.522,105.953
"391","378","    Market-based PCE household utilities","DUTLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.833,50.711,52.486,53.95,56.128,57.831,59.937,60.864,61.419,63.025,64.497,63.438,63.634,66.742,72.389,70.237,74.923,78.203,85.165,91.99,94.822,102.235,100,101.294,103.219,103.038,106.508
"392","379","    Market-based PCE health care","DHLCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.432,43.584,47.416,51.462,55.439,59.336,62.507,65.047,67.42,69.007,70.389,71.716,73.29,75.354,77.882,79.883,82.918,85.984,88.718,91.41,94.79,97.352,100,102.517,104.399,106.286,107.778
"393","380","    Market-based PCE transportation services","DTRSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.046,58.666,61.245,63.586,65.331,67.188,69.525,70.372,71.926,72.833,74.447,75.759,76.888,79.195,80.084,80.469,82.2,83.421,86.461,90.024,92.097,97.022,100,102.024,104.73,106.75,107.971
"394","381","    Market-based PCE recreation services","DRCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.962,49.818,52.382,55.296,58.377,60.258,62.286,63.613,64.966,67.27,69.707,71.674,74.225,77.239,79.898,82.579,85.359,87.604,89.873,92.98,95.561,98.272,100,100.857,102.048,105.096,107.021
"395","382","    Market-based PCE food services and accommodations","DFSMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.869,54.105,56.555,59.145,61.518,62.829,64.066,65.194,66.736,68.541,70.577,72.482,74.362,76.471,78.685,80.586,82.26,84.998,87.73,90.683,94.206,97.869,100,101.295,103.83,106.777,108.978
"396","383","    Market-based PCE financial services and insurance","DFIMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.076,113.625,117.52,119.91,125.871,126.818,127.548,122.358,124.863,124.218,128.511,118.641,108.777,98.34,92.631,92.481,95.451,97.675,98.641,99.089,101.721,104.099,100,102.94,105.303,110.068,113.588
"397","384","    Market-based PCE other services","DOTMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.172,49.964,51.994,54.156,56.914,59.216,61.389,63.547,65.486,67.372,69.407,71.134,72.851,74.539,76.794,79.491,82.295,85.04,87.981,91.032,93.215,96.89,100,102.335,104.394,106.917,109.319
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.71,102.716,102.959,102.722,104.874,105.072,105.532,107.444,107.886,108.156,108.758,107.907,105.764,102.611,101.466,102.14,101.963,100.312,99.383,99.287,96.514,98.075,100,99.919,98.722,99.08,99.333
"400","386","      Market-based PCE education","DTEDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.598,27.506,29.463,31.504,34.126,37.019,39.767,42.17,44.533,46.892,49.154,51.393,53.958,56.597,59.625,63.468,68.393,74.24,79.707,84.766,89.571,94.766,100,104.691,109.697,114.648,119.084
"401","387","      Market-based PCE professional services","DPRMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.366,38.893,41.05,43.926,46.502,48.846,50.937,52.987,55.069,57.254,59.738,62.617,65.619,68.888,72.132,75.546,79.086,82.68,85.948,89.487,93.226,97.244,100,103.235,106.3,108.883,111.785
"402","388","      Market-based PCE personal care and clothing services","DPERRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.212,52.341,54.883,57.063,59.169,60.73,62.478,64.025,65.451,66.872,68.937,70.054,71.906,74.265,77.273,79.111,81.027,83.35,86.452,89.492,92.661,97.047,100,102.116,104.084,106.329,108.977
"403","389","      Market-based PCE child care","DCHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.554,36.958,39.105,41.728,44.506,46.717,48.942,51.457,53.56,55.612,57.715,60.512,63.622,67.105,70.483,74.081,77.446,80.36,83.889,88.478,92.29,96.456,100,103.244,106.108,108.708,111.371
