"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"260","252","        Financial service charges, fees, and commissions (108)","DOFIRX0",140531,137933,139940,148182,148725,149159,152517,156486,158077,158561,171173,175817,179105,188954,195292,190208,181489,188014,187668,190407,192777,193815,190159,198784,193368,185066,186783,186457,184362,181951,175092,175302,177883,180378,182857,184337,182257,184508,184243,184519,185570,189356,197345,188118,185001,189686,190858,186289,186253,184036,185546,183041,188585,192420,190726,188407,194161,191003,191760,193213,197456,195448,194962,195815,192218,190449,193351,192965,193327,196047,199688,204919,198257,200204,200891,206140,204152,207386,207831,211645,211030,208024,209460,212517,217265,220315,222209,224107,227601,226483,225453,228028,229551,229355,231569,232445,230642,233816,234733,235453,237920,239304,238628,241974,231870,234715,241001,235686,239012,235129,234624,233570,233611,233746,235851,232174,240770,236960,230483,229013,224266,226639,227162,224915,224347,223831,222904,222862,221384,220225,217502,218299,219640,219145,219412,222729,226370,218886,215866,214659,213363,212829,214908,214448,215769,217816,216730,214607,213476,213720,216665,227885,218898,217220,216655,218251,216885,220850,221525,220732,219689,216246,213038,210348,211096,211261,215068,218621,219510,220347,218260,220536,221504,222806,222334,223324,224288,228173,228835,230946,234025,235435
"261","253","          Financial service charges and fees","DFEERX0",50923,50467,50690,51266,52193,53428,54517,55583,56409,56953,57402,57427,57738,58042,58191,57882,58122,58317,59208,59974,61257,63121,64171,64410,63287,63166,63733,65328,65817,65613,64124,63901,64281,65578,66305,66768,67261,67435,67987,68843,69748,70724,71680,72486,73135,73637,74281,75057,74881,74680,74468,74251,74316,74688,75350,75817,76086,76159,76271,76416,76602,76680,76660,76551,76563,76686,76928,77283,77744,78317,78549,78446,78010,78430,79735,81934,83429,84207,84278,84414,84619,84889,85194,85563,85978,86280,86457,86524,86928,87682,88782,89319,89303,88697,88559,88898,89701,90315,90744,91000,91196,91340,91432,91619,91901,92274,92224,91742,90823,89959,89154,88400,88072,88157,88663,88893,88840,88498,88741,89542,90902,91766,92144,92029,92220,92716,93519,93905,93879,93429,92807,92002,90827,89979,89460,89274,88306,86534,83962,82323,81621,81857,82329,83046,84010,84465,84413,83864,83702,83923,84541,84975,85228,85291,85111,84691,84027,83531,83230,83115,82834,82387,81778,81696,82152,83145,83723,83891,83646,83494,83440,82685,82193,81964,81495,81200,81081,81864,82398,82688,82729,82771
"262","254","          Securities commissions","DEQTRX0",30140,28773,29270,33176,32448,31268,32156,33614,33866,33683,41106,43541,44639,49878,53402,50244,43764,48059,46733,47014,48033,47813,44819,51542,48514,42663,43759,42948,41443,40641,37226,38216,39964,40518,41858,42612,40407,41443,40635,40218,40446,42937,48742,39702,35598,38969,38826,33411,31818,30811,33310,32902,37969,40966,38899,36467,40695,37088,36888,37473,41305,39407,39178,39254,35311,33073,35177,33978,33075,33640,36354,40699,34911,35707,34794,36856,33493,34783,34773,37965,38052,36023,36496,37214,38731,39606,39392,39050,40459,37678,34706,35531,36050,35623,37270,38041,36846,39349,38814,37701,39485,40840,41073,44615,34469,37048,43315,38341,42065,38702,38889,38215,37984,37430,38517,33780,42986,39867,34012,32664,28395,32011,34008,33360,33733,33780,33584,34854,34230,33684,31065,32010,32673,31528,30642,33373,37065,31108,30855,31386,31040,31362,33869,32782,32349,33723,32734,31182,30057,29435,30261,40536,31732,31336,30770,31617,29760,33491,33921,33380,32834,29761,26339,23931,24439,22969,25578,28055,29519,30250,28310,28789,28723,29665,29268,29802,30855,32256,31818,32477,35034,35746
"263","255","            Direct commissions","DDCTRX0",19537,18407,18810,21962,21255,20689,21616,23170,23523,23357,29048,30851,31316,34456,37752,35881,30985,35664,35173,34847,36138,35357,32691,39570,35207,31458,32169,31715,29398,30216,27261,27967,31132,30221,30471,32275,30847,32117,30747,30533,30221,33612,37944,29354,26115,28487,28456,24407,22481,21496,23881,23375,27421,29589,26851,25331,28934,25723,26209,25774,29172,27478,26982,26949,23872,21644,23753,22602,21123,22486,23538,27497,22360,22441,21415,22807,20151,21377,21610,23696,23233,21393,20745,22399,22870,23678,23259,22692,22923,21147,19446,19515,19889,19444,20356,20112,19436,21034,20857,20251,20757,20817,20639,22771,15773,18022,23684,19558,21655,20109,20847,20152,20331,20319,20551,18442,23745,23089,20446,19133,16164,19210,19796,20046,19607,19155,19143,19812,19141,18367,16391,17258,17876,16812,16256,16786,20274,16776,16940,17245,16991,17631,18842,17355,17428,18598,18349,17214,16271,16149,16293,22267,16774,16985,16934,17876,16169,19274,19950,19768,18824,15331,12285,10168,10031,9098,10653,12418,12795,13717,13407,12271,11696,11900,12574,14314,15002,16132,15790,16618,18519,19282
"264","256","              Exchange-listed equities","DDCERX0",9381,9325,9815,11534,11890,10500,10264,10791,10483,11354,13298,14440,14604,14852,16061,15131,14387,15993,16294,16556,16882,16929,15633,19245,16967,15936,16475,16401,15187,16378,14740,15327,18241,16933,18055,17109,16815,16742,15988,16472,15568,18120,20170,14898,14439,15379,13924,12034,10773,10287,11067,11529,12994,13312,12251,10897,10965,9865,9908,10552,12088,11727,10884,10003,8492,6783,6939,6739,6667,8355,9218,9868,7543,7183,6914,7532,6197,6104,6160,6669,6535,6205,5774,6017,6251,6328,5768,6220,6706,6188,5484,5179,4857,4481,4683,4699,4615,4891,4984,4673,4620,4892,5284,6652,4224,4379,5735,4857,5459,4512,4651,4151,3821,4104,4762,3865,5385,5313,4672,4430,3708,4034,4151,4413,4400,3704,3292,3384,3311,3218,2909,2877,2478,2480,1956,2361,2740,1971,1579,1380,1232,1403,1637,1593,1650,1578,1501,1384,1397,1419,1433,2138,1455,1388,1321,1353,1390,1422,1436,1407,1352,1285,1248,1157,1338,1241,1505,1633,1441,1432,1360,1483,1456,1709,1307,1179,1130,1186,1175,1296,1291,1363
"265","257","              Other direct commissions","DDCORX0",10045,9005,8950,10388,9442,10116,11189,12189,12831,11873,15507,16195,16485,19293,21364,20454,16371,19408,18637,18070,19023,18214,16867,20092,18052,15319,15478,15090,14003,13613,12316,12411,12618,12974,12132,14949,13744,15188,14588,13812,14488,15176,17430,14314,11470,12901,14419,12282,11631,11143,12761,11776,14378,16234,14569,14399,17923,15815,16252,15188,17043,15716,16054,16890,15324,14797,16736,15794,14401,14070,14268,17563,14760,15198,14443,15212,13903,15227,15406,16984,16657,15145,14938,16351,16585,17321,17487,16438,16159,14902,13920,14316,15043,14990,15698,15429,14829,16155,15871,15585,16151,15930,15349,16101,11538,13626,17933,14697,16199,15584,16185,15998,16525,16221,15780,14582,18362,17782,15778,14708,12458,15174,15641,15632,15204,15451,15852,16430,15832,15151,13482,14380,15399,14334,14278,14422,17527,14785,15321,15813,15701,16175,17154,15719,15738,16969,16795,15780,14830,14689,14818,20082,15275,15548,15561,16466,14736,17790,18448,18294,17409,14004,11014,8998,8688,7853,9146,10778,11339,12266,12028,10775,10228,10183,11251,13114,13848,14921,14591,15296,17199,17890
"266","258","            Indirect commissions","DICTRX0",7069,6970,6745,7479,7637,6909,6981,7042,6921,6826,8293,8755,9331,10220,10616,10572,8908,8975,8952,8420,8486,9315,9109,9767,10054,8136,9089,8572,8461,7405,6875,6587,6965,6571,7747,7030,6250,6276,6392,5978,6302,6976,7851,6495,5887,6603,6895,5665,5456,5729,6174,5739,6612,7174,7481,6691,7060,6779,6603,7092,7454,6995,7197,7726,7619,6644,7010,6860,6899,6918,7203,7707,7410,7529,7435,8749,7526,7261,7191,8067,8719,8838,9706,9063,9444,9443,9077,9907,10268,10286,9323,9542,9803,9327,9777,10469,9274,10233,10322,8806,9773,11213,11091,13045,9957,9393,9823,9051,10778,8898,9189,8432,8578,8739,9270,7576,9594,7253,6085,5967,5759,6154,6491,6378,7047,7178,6794,7511,7602,7633,7464,7811,8103,7801,6838,8911,8899,6901,6829,7148,6620,6666,7540,7465,7444,7451,7143,6949,7187,6147,7179,9589,7933,7572,7281,7119,6850,6752,7190,7160,7422,7811,7060,6647,7435,6652,6977,7765,8148,8432,8128,8396,8737,10216,7644,7935,7919,8181,8150,8483,8424,8424
"267","259","              Over-the-counter equity securities","DICVRX0",326,311,312,388,385,362,400,402,406,400,574,664,632,733,784,772,670,693,749,742,719,921,844,918,944,669,879,773,1162,744,663,570,434,471,534,558,459,508,490,482,588,641,719,600,555,565,627,482,475,515,588,546,657,701,565,492,683,569,540,575,691,565,607,613,504,484,597,505,537,501,493,717,556,501,562,537,445,516,402,406,463,489,452,557,502,563,604,577,579,604,548,520,623,566,534,569,520,588,522,602,567,524,543,554,546,549,707,569,675,675,608,575,605,600,649,730,778,601,547,482,489,598,654,592,715,797,715,807,931,854,824,876,939,786,830,981,942,752,833,731,721,646,627,547,699,677,733,723,854,837,658,1111,807,634,670,716,639,706,672,588,677,668,652,593,741,563,597,747,655,650,642,628,599,642,514,539,620,646,606,674,706,745
"268","260","              Other imputed commissions","DICORX0",9911,9964,9499,9842,10205,9025,8684,8741,8467,8354,9095,8820,10392,10723,10740,10854,8946,8868,8313,7498,7843,7645,7930,8487,8844,7869,7918,7693,6396,6308,5984,5974,6964,6331,7533,6573,5969,5834,6021,5555,5638,6266,7060,5830,5263,6024,6218,5174,4964,5187,5538,5151,5889,6408,6986,6277,6312,6223,6090,6545,6728,6452,6591,7141,7215,6215,6423,6407,6399,6467,6780,6988,6903,7108,6938,8318,7178,6818,6893,7800,8393,8482,9430,8622,9090,9005,8576,9467,9836,9821,8901,9163,9298,8878,9388,10058,8890,9787,9970,8288,9331,10906,10750,12799,9568,8973,9168,8574,10213,8274,8669,7932,8039,8213,8690,6833,8838,6671,5543,5499,5275,5557,5837,5791,6329,6376,6075,6699,6673,6778,6641,6938,7173,7015,6023,7939,7962,6159,6031,6412,5907,6006,6876,6871,6725,6746,6404,6222,6368,5382,6494,8510,7112,6890,6580,6393,6184,6045,6494,6532,6714,7097,6382,6025,6685,6054,6344,6997,7440,7721,7433,7703,8057,9467,7057,7323,7237,7470,7475,7742,7656,7620
"269","261","            Mutual fund sales charges","DMUTRX0",4581,4456,4771,4920,4758,4784,4711,4644,4677,4744,5375,5633,5675,6988,7135,5884,5585,5724,5099,5900,5811,5509,5169,5298,5606,5145,4829,4892,5372,4904,4684,5049,4255,5298,5374,5216,5033,4970,5159,5234,5362,4706,5465,5286,4825,5266,5037,4526,4734,4519,4508,4770,5224,5609,5767,5478,5902,5598,5273,5659,5964,5962,6011,5818,5126,5468,5410,5384,5657,5199,6233,6451,5880,6317,6395,6224,6263,6506,6377,6778,6810,6548,6862,6591,7146,7216,7541,7254,7910,7145,6679,7096,7084,7324,7645,8037,8268,8463,8151,8569,9025,9252,9651,9563,9122,9688,9714,9663,9720,9611,8820,9499,8994,8347,8667,7708,9577,9683,7583,7691,6478,6667,7762,6943,7055,7431,7627,7518,7483,7667,7200,6974,6774,6925,7406,7619,7837,7392,7067,6980,7390,7093,7499,7852,7416,7669,7289,7024,6591,7104,6742,8700,6969,6776,6588,6709,6709,7526,6991,6703,6769,6596,6682,6628,6545,6670,7374,7412,8030,7682,6554,7637,7764,7192,8421,7240,7592,7658,7588,7216,7900,7892
"270","262","          Portfolio management and investment advice services","DPMIRX0",53483,53988,55258,56087,57229,59076,60393,61420,62396,63343,64270,65207,66545,67834,68841,69531,70601,71384,71932,73866,73659,73392,72707,71988,70906,69822,69273,68240,67517,66324,65425,64670,64590,64766,64626,64684,64801,65751,65841,65338,65018,64807,65491,66017,67213,67702,68633,69948,72529,71715,70383,68359,67836,67784,67839,67873,68365,69500,70395,70941,70608,70760,70521,71315,72309,73034,73259,73946,74979,76694,77069,77577,77904,78556,78898,79686,79836,80839,81139,81136,79976,78640,79129,81000,83745,85562,87541,89786,91374,92397,93352,94443,95374,96169,96733,96350,94852,94789,95768,97329,97781,97630,96607,96153,95995,95884,95923,96126,96689,97119,97297,97720,98376,99023,99611,100410,100017,99647,98689,97773,96230,94288,92597,91270,90258,89283,87793,86134,85283,85058,85496,86026,87713,89074,90602,91265,92098,92266,92020,91866,91568,90421,89458,89361,90147,90337,90308,90312,90492,91160,92673,93179,92706,91422,91653,92881,94072,94901,95515,95408,95217,95270,96066,95812,95593,96139,96871,97917,97717,98059,97898,100587,102193,102899,103334,104184,104304,106129,106654,107894,108622,109399
"271","263","          Trust, fiduciary, and custody activities","DTRURX0",7047,6932,7007,7303,7556,7651,7618,7503,7269,6915,6690,6833,7202,7598,7698,7481,7246,7115,7205,7239,7138,6894,6760,6838,7288,7578,7699,7618,7515,7328,7074,6909,6983,7272,7493,7565,7483,7527,7573,7826,7917,7972,7685,7592,7535,7356,7243,7157,7027,6915,6822,6751,6707,6692,6702,6732,6784,6857,6963,7100,6957,6979,7007,7182,7251,7296,7318,7315,7294,7228,7184,7128,7157,7179,7210,7169,7218,7292,7388,7511,7659,7864,8031,8188,8312,8425,8527,8626,8721,8815,8921,9012,9091,9177,9258,9339,9397,9438,9467,9490,9506,9517,9526,9531,9533,9530,9518,9494,9442,9383,9322,9262,9207,9158,9118,9088,9068,9057,9055,9061,8799,8576,8389,8238,8123,8041,7994,7980,8000,8052,8139,8258,8413,8557,8689,8809,8918,9014,9099,9172,9232,9280,9314,9335,9343,9346,9343,9336,9324,9306,9284,9257,9225,9188,9145,9097,9056,9017,8982,8952,8926,8903,8885,8871,8861,8855,8853,8854,8814,8776,8742,8713,8687,8665,8648,8634,8624,8619,8616,8617,8578,8542
"272","264","      Insurance","DINSRX0",260038,260006,260078,260204,261082,261825,262464,263415,264074,264696,265576,267515,271634,273151,274338,274739,275476,275731,275878,276574,277002,278543,278958,278982,278052,277348,276784,277849,277654,278284,278521,278912,278524,277752,277134,276687,273280,271635,270402,269951,270644,271368,272359,272600,272715,272797,273345,273619,272426,271780,271890,272218,273287,274670,275086,275368,276002,276437,277071,277271,277451,277485,277871,278226,279042,280124,281496,283050,284462,285817,287079,288504,290714,292330,294224,296095,297960,299462,300674,301484,302039,302775,303772,304319,304245,302535,300989,299377,297607,296303,295513,294937,294715,294718,294952,295071,297700,299369,301153,301735,301985,302130,302305,302604,302505,303047,303079,302777,302286,301564,300736,299876,298461,296614,294513,292047,288924,285032,280433,276274,272206,269545,266946,265242,263647,263059,263530,264826,266093,266911,268382,270196,271743,274585,276869,278766,279896,281274,281886,282936,283968,285092,285527,286296,285442,286342,287421,288556,290103,291447,293378,295072,296582,297157,298245,299917,300634,300239,299885,300047,299715,299576,299288,299055,298813,299035,297808,297392,299130,299822,299636,300303,300846,300790,299890,300949,301168,301458,302178,302904,304031,304469
"273","265","        Life insurance (110)","DLIFRX0",79868,79593,79376,78906,79281,79532,79646,80032,80111,80317,80487,81744,84454,85099,85608,85537,85597,85303,84692,84739,84431,84975,84864,84616,83819,82961,81957,82158,81409,81400,81138,80970,80010,78579,77642,76860,73264,71890,70735,70430,70916,71502,71736,71585,71288,70891,70501,70059,69196,68037,67444,68021,68878,69854,70524,70986,71617,72450,73647,74880,76000,77076,77997,78874,79723,80585,81438,82307,82899,83089,82966,82532,82560,82745,83069,83326,84018,84847,85297,85466,85789,86406,87484,88490,89301,89435,89150,88684,88068,87549,87301,87241,87205,87259,87376,87561,87919,88694,89377,89545,89156,88660,88421,88485,88688,88855,88942,89233,89361,89820,90283,90651,90695,90523,90272,89744,88828,87131,85021,83326,81719,80713,79633,79076,78245,78126,78752,79892,80797,80881,81067,81332,82016,82908,83638,84390,84497,85167,85488,86285,87068,88089,89252,90474,91456,92441,93670,94684,96112,97264,98705,99911,100618,100571,100697,101239,101361,100402,99559,99610,99092,98762,98218,97884,97645,97692,96569,96502,96901,97376,96920,97232,97532,97103,96059,96880,96685,96388,96716,96885,96961,96353
"274","266","        Net household insurance (111)","DFINRX0",6299,6270,6244,6222,6203,6186,6173,6164,6157,6152,6149,6148,6151,6153,6156,6159,6162,6167,6173,6179,6186,6193,6200,6207,6213,6215,6212,6206,6194,6182,6164,6142,6114,6079,6040,5994,5939,5980,5911,5878,5882,5787,5827,5908,5847,5725,5855,5990,5990,5993,6001,6014,6032,6057,6087,6123,6163,6208,6258,6313,6372,6427,6479,6528,6575,6617,6657,6693,6725,6754,6778,6798,6815,6823,6824,6819,6807,6787,6760,6725,6683,6633,6574,6509,6435,6380,6344,6327,6329,6351,6393,6455,6536,6637,6757,6897,7057,7208,7351,7487,7614,7734,7847,7951,8048,8135,8215,8286,8348,8394,8422,8434,8430,8410,8372,8319,8248,8159,8053,7930,7789,7661,7547,7446,7360,7287,7228,7184,7154,7138,7136,7147,7197,7243,7285,7325,7362,7396,7427,7456,7482,7505,7524,7540,7553,7562,7568,7572,7574,7571,7567,7560,7550,7537,7520,7501,7478,7457,7438,7422,7408,7396,7387,7380,7376,7374,7374,7376,7376,7377,7377,7378,7378,7379,7380,7381,7383,7384,7385,7385,7386,7386
"275","267","          Household insurance premiums and premium supplements","DFIPRX0",14018,14052,14088,14128,14170,14214,14261,14310,14360,14412,14464,14516,14571,14623,14676,14730,14782,14836,14890,14944,14999,15053,15105,15157,15208,15266,15332,15408,15490,15583,15685,15796,15916,16043,16178,16323,16480,16638,16709,16783,16981,16969,17013,17156,17142,16974,17051,17183,17143,17107,17078,17057,17044,17044,17054,17071,17094,17125,17163,17206,17256,17300,17341,17380,17417,17448,17475,17499,17518,17534,17543,17547,17546,17546,17553,17568,17589,17614,17645,17682,17725,17773,17823,17880,17941,18006,18072,18143,18216,18294,18376,18461,18550,18641,18734,18832,18932,19020,19098,19168,19228,19280,19324,19359,19384,19398,19402,19396,19378,19357,19335,19309,19283,19254,19225,19194,19161,19124,19085,19041,18997,18951,18906,18861,18818,18776,18735,18695,18658,18620,18582,18542,18592,18637,18676,18710,18740,18765,18786,18803,18816,18825,18826,18821,18813,18808,18806,18812,18822,18837,18858,18884,18916,18952,18992,19037,19088,19132,19175,19215,19252,19286,19318,19347,19373,19396,19414,19429,19446,19462,19479,19496,19514,19532,19551,19570,19590,19610,19628,19646,19662,19678
