"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"229","221","        Casino gambling","DCASRX0",34524,34137,34340,34502,35496,36703,36049,37775,37301,37894,39284,38492,37801,38345,39864,39178,38940,39802,40669,40861,41741,42173,41718,42419,42451,44576,42981,44369,45255,43917,44165,45530,43344,44253,43932,44037,45503,43787,44132,43948,43867,43280,44580,44335,43797,45030,45598,46033,45595,46859,47924,49328,48982,49576,51171,51577,53996,53615,55754,54405,52804,54262,56074,55403,54484,54737,55925,55735,55413,55850,55744,51928,56469,53979,57142,55060,56561,54184,55340,56052,53471,54094,54724,56349,55881,56772,55159,58370,56915,54822,57478,57641,58814,58897,57621,61215,59662,57160,59975,60435,62045,62864,63584,64002,63783,64567,64761,64956,66513,68749,68748,67875,67825,67235,66933,68761,69497,68874,68660,68929,68158,70845,72140,70098,72435,70956,71545,71081,69362,71461,71685,68829,75378,73266,73683,72906,72719,70839,71774,73587,72974,73783,78288,76244,75057,74681,75804,74449,74977,75087,78761,75335,75740,78431,75414,77199,75065,75886,76589,78214,74757,77361,77442,75676,73823,73364,74123,73724,75059,73695,73924,74146,73752,71459,72772,72351,72282,70011,67701
"230","222","        Lotteries","DLOTRX0",16489,16570,16630,16674,16733,16795,16849,16913,16961,17032,17064,17124,17115,17159,17191,17227,17289,17313,17372,17427,17486,17518,17579,17642,17559,17483,17424,17368,17313,17271,17255,17240,17220,17231,17233,17255,17279,17296,17309,17321,17329,17334,17336,17335,17329,17319,17304,17283,17259,17227,17191,17154,17112,17068,17021,16969,16914,16853,16786,16714,16638,16568,16509,16460,16419,16388,16367,16355,16353,16359,16373,16396,16428,16462,16504,16552,16605,16664,16730,16801,16880,16963,17051,17144,17247,17338,17422,17502,17576,17645,17707,17763,17814,17857,17893,17919,17939,17960,17986,18019,18057,18108,18165,18227,18293,18364,18439,18519,18576,18649,18713,18771,18822,18863,18896,18920,18936,18943,18939,18924,18901,18883,18876,18882,18899,18925,18962,19008,19065,19133,19207,19294,19613,19912,20178,20417,20624,20800,20942,21049,21122,21157,21153,21116,21039,20972,20919,20880,20854,20842,20844,20858,20886,20925,20974,21035,21084,21151,21213,21270,21324,21373,21420,21462,21501,21535,21562,21583,21616,21647,21679,21712,21744,21779,21814,21850,21888,21925,21960
"231","223","        Pari-mutuel net receipts","DPARRX0",4659,4674,4683,4695,4708,4721,4731,4742,4749,4764,4764,4772,4754,4757,4760,4768,4779,4782,4793,4803,4811,4814,4824,4834,4833,4834,4839,4844,4850,4860,4876,4893,4908,4933,4954,4982,5010,5036,5061,5086,5109,5132,5153,5173,5192,5210,5225,5239,5252,5263,5273,5284,5294,5303,5312,5321,5328,5335,5340,5345,5348,5349,5348,5345,5340,5333,5325,5313,5301,5285,5268,5248,5226,5206,5191,5179,5170,5165,5163,5165,5170,5179,5190,5205,5225,5241,5255,5269,5281,5292,5301,5309,5316,5320,5323,5324,5323,5324,5329,5338,5350,5368,5390,5416,5445,5478,5514,5553,5589,5629,5667,5703,5737,5768,5796,5822,5845,5865,5882,5895,5905,5912,5918,5923,5926,5928,5928,5926,5922,5917,5908,5899,5946,5992,6036,6077,6117,6154,6190,6224,6255,6284,6310,6335,6356,6372,6385,6395,6402,6405,6405,6402,6395,6384,6368,6349,6318,6296,6277,6259,6245,6233,6224,6218,6214,6212,6212,6214,6203,6192,6181,6170,6159,6148,6138,6128,6119,6109,6099
"232","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",21385,21572,21812,22193,22357,22978,23012,23076,23121,23330,23519,23410,23586,23880,24076,24257,24388,24615,24608,24760,24850,25038,25212,25415,25244,25206,25483,25653,25658,25559,25895,25796,26212,26553,26703,26766,27182,27413,27500,27720,27793,27891,28225,28434,28401,28595,28634,28969,29126,29304,29630,29745,29799,29580,30024,30207,30355,30747,31002,31073,31029,30904,31166,31180,31286,31326,31229,31386,31372,31148,31330,31241,31090,31002,30912,30713,30798,31108,30995,30783,30596,30456,30261,30286,31090,31295,31351,31274,31223,31107,30781,30865,30908,31096,31226,31149,31098,30946,31037,30994,31154,31346,31501,31574,31535,31630,31811,31902,31774,31847,31912,32219,32318,32397,32415,32359,32417,32430,32646,32636,32800,32852,33020,33270,33424,33428,33392,33470,33554,33717,33709,33707,33370,33377,33381,33608,33762,33931,34159,34357,34526,34739,34918,35170,35395,35584,35604,35450,35401,35356,35459,35200,35173,34863,34859,34691,34560,34292,34191,34184,34027,33869,33681,33278,33104,32837,32903,32839,32716,32422,32204,32080,32006,31844,31719,31781,31866,31965,31782
"233","225","        Veterinary and other services for pets","DVETRX0",12877,12991,13061,13276,13318,13592,13669,13808,13884,13966,14134,14245,14410,14518,14766,14968,14973,15159,15227,15376,15408,15528,15731,15928,16012,16129,16227,16301,16359,16325,16503,16639,16888,16899,17135,17171,17276,17259,17239,17358,17359,17450,17521,17505,17464,17572,17582,17638,17600,17691,17741,17727,17777,17784,17884,18042,18184,18224,18285,18318,18302,17963,18081,18119,18104,18116,18126,18145,18215,18164,18209,18123,18036,17993,18084,17997,18064,18092,18053,17919,17764,17758,17734,17773,18142,18187,18199,18215,18071,18036,17839,17895,17969,18284,18397,18327,18237,18092,18109,18023,18113,18254,18359,18473,18510,18626,18844,18914,18724,18710,18676,18873,18892,18928,18938,18876,18936,18954,19153,19102,19202,19174,19245,19379,19490,19529,19606,19693,19687,19662,19619,19740,19789,20006,20073,20227,20300,20380,20512,20575,20565,20560,20585,20750,20963,21142,21154,20994,20951,20925,21058,20889,20996,20880,20970,20817,20629,20385,20400,20606,20594,20514,20339,20023,19990,19930,20158,20230,20258,20083,19943,19862,19828,19706,19693,19832,19966,20089,19943
"234","226","        Package tours","DHOLRX0",6676,6703,6829,6975,7065,7413,7361,7292,7268,7408,7461,7279,7291,7510,7506,7523,7657,7722,7654,7669,7718,7783,7755,7758,7500,7339,7498,7570,7492,7389,7520,7261,7401,7669,7553,7521,7769,7942,7979,8025,8031,7986,8187,8343,8289,8325,8299,8522,8654,8694,8910,8974,8923,8642,8919,8891,8843,9113,9234,9200,9097,9204,9287,9203,9259,9232,9076,9163,9044,8832,8934,8894,8800,8726,8525,8378,8366,8603,8490,8364,8281,8105,7891,7830,8221,8333,8334,8204,8251,8137,7974,7977,7928,7798,7805,7785,7812,7794,7862,7896,7962,8009,8055,8012,7934,7911,7877,7896,7956,8036,8126,8229,8297,8328,8322,8310,8291,8266,8262,8280,8320,8376,8450,8542,8560,8501,8363,8330,8396,8561,8574,8426,8019,7786,7698,7744,7795,7850,7909,8004,8139,8314,8420,8454,8410,8378,8356,8348,8337,8324,8311,8254,8156,8017,7983,8051,8208,8271,8222,8058,7964,7932,7962,7918,7797,7601,7434,7292,7174,7099,7063,7062,7063,7067,6987,6936,6915,6920,6926
"235","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",2149,2188,2222,2250,2273,2291,2304,2311,2313,2309,2300,2285,2298,2280,2267,2257,2250,2247,2248,2252,2259,2270,2284,2301,2314,2329,2347,2368,2392,2418,2448,2480,2516,2555,2597,2641,2690,2738,2785,2833,2880,2926,2971,3016,3060,3104,3145,3185,3226,3266,3309,3354,3400,3450,3500,3552,3606,3663,3720,3779,3839,3897,3951,4003,4052,4099,4142,4183,4219,4252,4282,4308,4330,4354,4380,4408,4437,4469,4503,4539,4578,4617,4659,4702,4748,4790,4828,4864,4897,4928,4955,4979,5000,5018,5032,5042,5049,5055,5060,5065,5070,5077,5083,5089,5094,5099,5103,5106,5102,5105,5111,5119,5129,5141,5155,5172,5189,5210,5230,5253,5278,5301,5325,5349,5374,5398,5422,5446,5471,5495,5518,5541,5561,5584,5609,5636,5667,5701,5738,5778,5823,5868,5917,5971,6027,6071,6101,6120,6127,6120,6102,6069,6025,5968,5899,5816,5717,5632,5557,5492,5435,5386,5346,5312,5287,5270,5260,5256,5212,5168,5125,5082,5040,4998,4957,4916,4876,4836,4797
"236","228","    Food services and accommodations","DFSARX0",418851,412472,414964,416956,416491,414920,415712,417367,417005,415650,415521,416498,413608,415113,419178,417745,418730,417674,418653,417998,419312,420874,423792,422664,426880,426879,426096,426659,425680,427128,430149,432111,430805,428034,425765,430319,431924,432723,433795,436545,437537,440399,438247,438908,442311,444552,444728,448640,442531,446306,444585,447039,447185,447272,447069,447389,452452,458347,460297,459916,462903,465647,472483,470688,470750,471927,472017,470027,476314,474657,473329,465810,478667,473822,471854,468847,470828,470837,470078,474400,458426,463038,464204,473664,473477,475768,472195,478769,475823,477903,477928,478555,478734,476426,479444,481722,482981,480251,484654,483533,492324,493893,497077,503229,497257,503582,504634,499334,505072,505083,508061,505449,506350,506690,509777,506154,511035,513062,511733,516543,514581,520162,514793,525833,522210,525367,525125,526398,530083,529940,535768,533438,548566,541439,543979,540511,539480,536091,534316,539200,542463,542167,542839,548158,545310,542081,548543,544259,546660,548463,548297,547817,547923,552124,549092,551241,549545,546560,546402,551012,551854,549958,548540,547539,545710,541101,536275,530329,532060,537712,531334,531439,530715,529478,530356,527780,525482,525311,527379
"237","229","      Food services","DFSERX0",367249,361318,363833,366648,366202,364623,365654,367258,365893,364928,363619,365025,362553,364040,365833,365427,366353,364683,365645,364408,365713,366776,369522,368101,371040,370434,370215,369633,368830,370622,373194,373944,373303,370720,367767,371576,373110,374691,376525,378735,379810,382629,380729,381773,384580,386308,387293,390516,383520,387442,385595,388138,389187,389343,387869,388967,392280,398046,399918,400294,403259,404950,410399,408967,407973,408690,409874,407197,411069,411536,409383,403090,416142,412371,410059,408967,410904,410615,411760,414267,405701,408906,408377,417310,416453,416689,413654,418455,416065,417730,417979,416721,419147,415744,418544,420211,421934,419125,424409,423195,430247,431760,433338,437804,434437,439621,441032,435160,440763,440901,442681,440465,441359,441459,443554,440677,444300,445725,445779,449498,446985,452310,446413,456009,453336,455807,454873,456486,458175,459862,463058,460492,475977,469454,471578,468438,467427,463894,462867,467987,470315,470569,470660,476306,473753,470366,476094,473176,474034,475315,476518,474202,474577,476549,474724,477293,474719,471292,471657,474592,475406,474081,472314,470243,469821,465470,465466,458067,461898,467420,462206,461401,461252,459709,457550,456274,454746,454516,456015
"238","230","        Purchased meals and beverages (102)","DPMBRX0",357469,351532,354040,356861,356414,354802,355829,357429,356059,355112,353798,355198,352727,354210,355989,355592,356504,354840,355803,354563,355882,356933,359678,358255,361195,360588,360368,359783,358978,360773,363354,364109,363465,360873,357912,361724,363251,364828,366657,368866,369928,372735,370818,371856,374658,376382,377365,380583,373571,377480,375622,378153,379193,379327,377846,378945,382258,388014,389873,390228,393185,394872,400312,398858,397850,398559,399738,397041,400896,401363,399195,392891,405925,402142,399824,398725,400652,400352,401480,403972,395399,398608,398083,407019,406154,406382,403339,408135,405734,407389,407620,406343,408736,405299,408058,409693,411367,408531,413790,412564,419604,421099,422664,427110,423720,428857,430255,424379,429972,430098,431856,429626,430487,430554,432622,429717,433303,434664,434663,438335,435764,441009,435024,444523,441743,444102,443042,444518,446089,447697,450768,448066,463328,456677,458699,455504,454448,450886,449822,454909,457217,457447,457511,463131,460554,457170,462904,460010,460887,462192,463432,461158,461573,463559,461798,464456,462077,458759,459213,462169,463035,461760,460046,458033,457659,453353,453395,446045,449912,455469,450288,449517,449400,447890,445764,444522,443030,442835,444368
"239","231","          Meals and nonalcoholic beverages","DMABRX0",312873,307881,310287,312603,312260,310922,311449,313395,311880,311390,310266,311786,310034,311410,313097,313182,314179,312737,313581,312475,313405,314796,317164,315944,318839,318956,318898,318258,317729,319505,321446,322014,321629,319246,316863,320296,321582,322323,323777,325853,326203,328210,326537,327525,329845,331252,331987,334533,328769,331681,329423,331540,333034,332964,331946,332870,335567,340173,341817,342153,344463,345494,349397,348323,347457,348641,349543,347321,350668,351102,349316,343489,354885,351605,349466,348514,350177,349345,349924,351282,343722,346470,345468,352359,351957,352108,349656,353918,351564,352773,352721,352304,355008,351610,354143,354896,357294,354764,358937,357697,363567,365144,366413,369829,367812,372411,373731,368759,373202,373346,375429,373961,374535,374686,376692,374079,377047,378105,378668,382174,379778,384146,379231,387404,385161,387245,386247,387309,388677,389825,393004,390333,403919,398013,399757,396636,395830,392723,391722,396413,398859,398347,398247,402710,401023,398016,403095,400929,402104,403248,403694,402916,402714,404358,402469,404538,403003,399707,399388,402213,402843,401264,398713,397674,397944,393815,393817,386971,390081,395097,390462,390142,390132,388635,387143,386172,385132,384564,386115
"240","232","            Meals at schools","DMSLRX0",14876,14935,14949,14880,14895,14929,14978,15042,15116,15225,15322,15406,15492,15554,15611,15605,15655,15738,15841,15941,16046,16145,16229,16317,16395,16468,16536,16601,16660,16714,16764,16810,16850,16883,16909,16927,16940,16955,16976,17005,17039,17080,17126,17180,17238,17302,17370,17443,17522,17594,17664,17734,17802,17870,17934,17996,18055,18111,18161,18208,18252,18292,18332,18374,18412,18452,18491,18530,18568,18604,18638,18671,18701,18726,18749,18769,18786,18802,18813,18822,18829,18831,18828,18822,18817,18809,18803,18802,18806,18814,18825,18840,18860,18882,18907,18933,18963,18985,19005,19022,19037,19057,19075,19089,19099,19106,19108,19106,19072,19064,19058,19056,19056,19056,19058,19063,19068,19076,19082,19089,19097,19108,19127,19155,19191,19232,19282,19339,19403,19473,19546,19629,19568,19520,19481,19455,19442,19441,19453,19476,19512,19559,19616,19687,19769,19843,19912,19978,20040,20099,20155,20207,20254,20297,20333,20363,20363,20385,20407,20427,20448,20469,20491,20512,20533,20554,20572,20588,20608,20626,20644,20664,20683,20703,20725,20748,20772,20795,20816
"241","233","              Elementary and secondary school lunches","DESLRX0",5637,5657,5668,5676,5692,5708,5721,5740,5761,5787,5815,5839,5861,5881,5902,5914,5932,5957,5980,6006,6034,6054,6077,6105,6139,6169,6198,6225,6250,6273,6293,6312,6328,6342,6352,6360,6365,6370,6376,6384,6394,6405,6417,6431,6446,6462,6479,6496,6515,6532,6549,6567,6586,6605,6623,6642,6661,6680,6697,6714,6731,6747,6763,6779,6794,6809,6825,6839,6854,6868,6882,6894,6906,6915,6922,6927,6930,6930,6929,6925,6920,6911,6900,6886,6872,6857,6842,6829,6818,6809,6801,6794,6789,6785,6782,6779,6778,6775,6773,6771,6770,6772,6774,6777,6780,6783,6786,6788,6781,6783,6785,6789,6793,6797,6802,6807,6812,6818,6824,6829,6835,6838,6842,6846,6850,6854,6857,6860,6863,6865,6865,6865,6855,6846,6837,6829,6823,6818,6814,6812,6810,6809,6809,6810,6812,6812,6811,6810,6809,6807,6806,6803,6801,6797,6793,6787,6772,6766,6761,6756,6753,6752,6751,6752,6754,6757,6760,6764,6763,6761,6759,6757,6755,6754,6753,6753,6752,6752,6751
"242","234","              Higher education school lunches","DHSLRX0",9238,9278,9281,9203,9204,9221,9257,9301,9355,9437,9507,9567,9631,9674,9709,9690,9723,9781,9861,9935,10012,10091,10152,10211,10257,10299,10338,10376,10410,10441,10470,10498,10521,10541,10556,10567,10575,10585,10600,10621,10645,10675,10709,10749,10793,10840,10892,10947,11007,11062,11115,11167,11217,11265,11311,11353,11394,11431,11464,11493,11520,11545,11569,11595,11618,11642,11667,11690,11714,11736,11757,11777,11795,11811,11827,11843,11857,11871,11884,11897,11909,11919,11928,11935,11945,11952,11961,11973,11987,12005,12024,12046,12071,12097,12125,12154,12185,12210,12232,12251,12267,12285,12300,12312,12319,12323,12322,12317,12291,12281,12273,12267,12263,12259,12257,12256,12256,12258,12259,12260,12263,12270,12285,12308,12340,12378,12425,12479,12540,12608,12681,12763,12713,12674,12644,12626,12619,12623,12639,12664,12702,12749,12807,12877,12957,13031,13101,13168,13231,13292,13350,13403,13454,13500,13540,13576,13591,13619,13646,13671,13695,13717,13740,13760,13780,13797,13812,13824,13845,13865,13885,13906,13927,13949,13972,13995,14019,14043,14065
"243","235","            Other purchased meals","DOPMRX0",298049,292988,295384,297775,297415,296040,296517,298401,296808,296204,294978,296414,294570,295884,297517,297607,298555,297025,297764,296552,297375,298667,300952,299640,302458,302501,302373,301665,301074,302797,304690,305212,304785,302364,299950,303370,304645,305371,306807,308856,309171,311139,309416,310350,312613,313957,314624,317099,311246,314087,311754,313803,315229,315090,314005,314867,317507,322061,323654,323944,326211,327202,331068,329950,329044,330188,331051,328789,332098,332495,330675,324817,336180,332876,330715,329744,331389,330542,331109,332458,324896,327642,326644,333535,333138,333297,330854,335112,332757,333957,333894,333462,336145,332726,335232,335960,338328,335773,339928,338670,344526,346083,347335,350737,348709,353303,354621,349650,354128,354281,356370,354904,355479,355629,357633,355016,357978,359029,359585,363085,360680,365038,360104,368250,365970,368012,366964,367971,369274,370353,373458,370704,384351,378493,380276,377181,376389,373282,372269,376937,379349,378790,378631,383025,381256,378174,383185,380951,382063,383149,383538,382708,382459,384059,382135,384174,382639,379322,378982,381786,382394,380795,378223,377162,377410,373261,373246,366382,369473,374471,369817,369477,369449,367931,366416,365423,364359,363768,365298
"244","236","              Meals at limited service eating places","DMLSRX0",158225,156565,157275,157312,156903,155438,154543,157504,157385,156686,155814,157660,156866,156750,156546,156077,156873,156409,156242,153842,152530,153566,153835,153269,151761,153191,152702,153481,152940,154934,153721,153518,152699,151828,151361,151410,154637,154176,155943,157802,158421,158025,158154,159724,160323,161020,161200,160621,158283,160621,158470,158246,159828,159180,158859,158650,160475,163174,163871,163893,165302,164808,165933,166496,166182,168332,167012,166622,168118,167982,167443,163945,170408,169901,169106,167654,167503,166928,167817,167427,164698,167340,166111,169062,168267,169175,168007,170203,169284,170015,170576,170436,172619,169287,170430,168854,173553,171038,173329,173599,176363,177622,177414,177795,178805,182482,183098,181074,181774,182505,184881,184920,183930,183979,185016,184102,185283,184243,185957,188633,187149,189182,186610,190688,190405,191506,190868,190852,190345,189775,193909,191708,200638,197132,198155,195581,195416,193738,192739,195430,196695,195876,194864,195025,195600,193729,197457,195731,198217,199049,198913,200106,198411,198526,196934,197178,196932,194932,193315,195111,193717,193573,191812,190991,191364,190969,190586,185692,186612,190590,188310,188638,188171,187425,186112,185540,183918,182404,184638
"245","237","              Meals at other eating places","DMOERX0",138048,134664,136355,138667,138711,138811,140147,139080,137538,137675,137321,136915,135908,137338,139175,139767,139922,138845,139767,140965,143074,143361,145368,144598,148963,147629,147997,146484,146438,146157,149228,149937,150359,148800,146876,150265,148272,149405,149052,149261,148931,151242,149369,148747,150386,151021,151507,154526,151089,151503,151245,153522,153408,153888,153173,154232,155002,156808,157679,157918,158739,160179,162822,161197,160585,159615,161770,159922,161762,162305,161044,158660,163520,160764,159399,159871,161670,161349,160982,162642,157794,157864,158073,161962,162392,161642,160387,162425,160953,161405,160727,160559,161082,160967,162299,164573,162238,162213,164001,162466,165519,165860,167292,170248,167281,168168,168884,165999,169701,169129,168886,167406,168948,169043,170045,168338,170108,172179,171045,171876,170949,173250,170918,174913,172955,173876,173459,174449,176236,177885,176843,176276,180931,178552,179308,178778,178134,176716,176702,178688,179892,180076,180939,185154,182810,181626,182860,182373,180986,181252,181610,179818,181185,182654,182310,184107,182860,181514,182724,183694,185736,184187,183258,183128,183041,179284,179642,177691,179878,180834,178451,177804,178277,177468,177360,176981,177575,178476,177742
