"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"247","239","Q1FPN1 D         Proprietary and government nursing homes","Q1FPN10",45145,46755,47829,48604,48716,48618,48836,48885,49467,49591,49713,50163,50239,50610,51030,51303,50790,51090,51703,52270,53478,54294,55103,55803,56026,56180,56545,56579,57021,57461,57721,57921,57601,57348,56704,56352,55376,54802,54793,54640,54588,55036,54626,54388,54355,54150,53908,54148,54544,54454,54682,55299,55602,55897,55871,55541,55419,55648,56034,55970,56190,56563,57120,58135,58727,58978,58382,58214,59406,60170,60824,61394,61774
"248","240","Q1HIN1 C     Health insurance (56)","Q1HIN10",69421,69916,70339,70653,70681,71265,72061,73019,74688,75814,76763,77403,77757,78207,78148,78031,78458,77496,76603,75809,75229,74109,73180,72323,71749,70781,70104,69598,69090,69080,69617,70646,72893,74209,75379,76352,76188,77023,78224,79702,82059,83526,84706,85610,85951,86844,87904,89036,90322,92331,94406,96249,98005,98427,99107,99783,100086,101082,102347,103909,104329,105022,106262,107753,108564,108470,108303,108424,108893,110509,111674,112673,114058
"249","241","Q1MIN1 C       Medical care and hospitalization","Q1MIN10",52266,52568,52976,53402,53611,54119,54714,55396,56488,57231,57843,58246,58494,58946,58969,59000,59580,58908,58369,57927,57749,57061,56535,56047,55881,55278,54840,54552,54093,54138,54790,55922,58297,59646,60801,61711,61441,62191,63270,64598,66744,68050,69081,69845,69474,69998,70710,71529,72335,73979,75711,77254,78678,78853,79342,79895,80258,81211,82271,83460,83453,83841,84969,86569,87694,87883,87891,88071,88645,90376,91663,92783,94272
"250","242","Q1IIN1 C       Income loss","Q1IIN10",734,733,722,704,676,669,674,690,723,764,815,872,964,1007,1029,1029,974,953,938,934,959,967,978,993,995,1017,1054,1098,1167,1228,1282,1334,1383,1431,1474,1513,1548,1577,1606,1634,1661,1688,1711,1736,1756,1783,1812,1840,1868,1898,1928,1957,1985,2014,2043,2073,2102,2131,2161,2189,2217,2249,2285,2326,2369,2404,2430,2447,2469,2496,2525,2555,2584
"251","243","Q1PWC1 C       Workers' compensation","Q1PWC10",17119,17365,17470,17462,17414,17543,17764,18019,18559,18811,18965,18990,18772,18625,18466,18281,18206,17930,17552,17140,16581,16072,15604,15183,14751,14350,14068,13805,13682,13568,13415,13281,13150,13094,13084,13118,13182,13242,13340,13465,13654,13788,13914,14028,14738,15089,15419,15716,16213,16553,16857,17117,17408,17672,17852,17939,17806,17757,17917,18287,18796,19114,19153,18900,18421,18031,17791,17693,17511,17250,16999,16755,16507
"252","244","Q1REC1 B   Recreation","Q1REC10",167483,170445,171585,172875,170343,170512,171539,174056,180228,182474,184784,188378,191437,193765,197977,198369,200434,203377,206779,208592,212989,218110,221007,224645,225302,227564,230713,230957,234329,235966,235370,236942,241546,242718,246396,249140,251812,255960,260636,262868,264233,267640,270105,271082,274733,274127,274534,276187,278459,280133,281147,285056,285603,289208,292234,296237,301476,304446,306691,307408,309674,310409,311963,314211,316140,316751,321942,330269,331962,332732,335573,335540,334647
"253","245","Q1SSA1 C     Admissions to specified spectator amusements (96)","Q1SSA10",20928,21911,21850,22012,21858,21149,21336,22242,22305,22458,21439,22929,23627,24187,26074,24304,24774,25408,25958,24808,24905,26115,26257,27363,26944,27558,28993,27569,28588,28906,28424,28943,29487,28998,29970,29628,29385,30086,30818,30480,29922,30670,30409,30599,31232,30910,29968,31341,31934,32103,31746,32803,31861,32068,32075,32264,31965,32676,32453,31831,32041,31158,31599,32132,31670,31755,31543,31287,31469,31559,32003,31382,31604
"254","246","Q1MOV1 C       Motion picture theaters","Q1MOV10",6625,7380,7508,7973,8180,6761,6498,7072,6970,7217,5675,6742,6320,6642,7977,6008,6616,6151,7464,7113,6117,7491,6891,7428,7272,7762,6465,7431,8047,7761,7368,7322,8420,7851,8386,7973,7837,8386,9362,8166,8167,8760,8603,8816,8842,8250,8774,8881,9362,9137,8374,9090,8398,8842,8912,9006,8431,8869,8439,8224,8386,7473,7928,7929,7539,7682,7476,7184,7310,7341,7723,7008,7167
"255","247","Q1LEG1 C       Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)","Q1LEG10",7521,7767,7521,7097,6716,7341,7671,7858,7985,7839,8234,8460,9209,9247,9624,9647,9419,9757,9969,9823,9978,10119,9825,10171,10083,10097,10258,10131,10257,10622,10416,11026,10394,10260,10531,10533,10426,10550,10224,10946,10302,10446,10324,10276,10613,10796,10186,10367,10535,10795,11070,11314,10944,10592,10424,10428,10575,10731,10863,10967,11035,11067,11061,11013,10930,10852,10791,10745,10707,10669,10636,10604,10568
"256","248","Q1SPE1 C       Spectator sports","Q1SPE10",6793,6780,6836,6956,6975,7056,7176,7323,7359,7412,7534,7735,8105,8306,8485,8654,8743,9500,8536,7886,8814,8517,9544,9767,9593,9704,12258,10009,10289,10526,10640,10597,10676,10887,11055,11123,11120,11152,11235,11370,11457,11464,11481,11506,11776,11860,11019,12086,12039,12170,12293,12400,12510,12625,12730,12820,12946,13064,13136,12631,12616,12604,12605,13166,13167,13189,13238,13313,13405,13499,13599,13702,13800
"257","249","Q1RXA1 C     Other (94+100+101+102+103)","Q1RXA10",146636,148651,149840,150968,148601,149436,150282,151926,157999,160085,163320,165501,167884,169680,172135,174131,175746,178077,180938,183802,188072,192028,194770,197346,198395,200060,201820,203419,205805,207132,206996,208064,212122,213752,216490,219539,222429,225888,229838,232398,234310,236970,239698,240481,243497,243216,244577,244843,246517,248023,249403,252233,253753,257155,260185,264008,269581,271821,274314,275689,277749,279428,280525,282219,284657,285180,290637,299311,300824,301502,303883,304537,303386
"258","250","Q1RTV1 C       Radio and television repair","Q1RTV10",4064,4084,4029,3922,3741,3653,3566,3506,3419,3599,3516,3408,3543,3592,3615,3620,3552,3554,3582,3637,3697,3798,3864,3915,3849,3849,3838,3828,3904,3930,3943,3947,3972,4016,4068,4130,4073,4109,4155,4225,4204,4191,4165,4130,4039,4022,4001,3984,4021,4019,4020,4010,3955,3943,3995,4112,4287,4430,4518,4547,4536,4569,4651,4798,4993,5146,5252,5300,5305,5293,5282,5270,5259
"259","251","Q1CLU1 C       Clubs and fraternal organizations","Q1CLU10",17251,17608,18173,18529,18844,19534,19816,20124,20616,20676,20816,21150,21434,21033,20834,20444,20532,20415,20439,20547,20277,20057,19913,19642,19401,19380,18970,18612,18083,17847,17694,17647,17901,17993,18198,18404,18212,18369,18838,18884,19001,18934,19000,19168,19106,19210,19357,19383,19231,19909,19948,21004,21549,21805,21207,20996,20856,20975,20843,21356,21629,21983,22144,21730,21439,21345,21482,21230,21307,21342,21202,21197,21834
"260","252","Q1COM1 C       Commercial participant amusements","Q1COM10",32645,33134,33228,33916,32619,33345,33913,34480,36638,36977,38697,39747,40303,42149,44320,46231,47643,48811,50144,51216,53363,54819,56465,58111,58367,59196,61025,62121,63524,64591,64707,64982,66632,66689,67429,68389,69198,70718,72349,73306,73753,75448,77318,76730,78296,77482,76875,76220,78108,78769,80212,81264,81446,83748,85411,86818,90419,90303,91657,91682,92848,93623,93209,94274,96769,95337,97359,101440,100336,99189,100385,99460,96617
"261","253","Q1SIG1 D         Sightseeing","Q1SIG10",2879,2937,2992,3047,3108,3216,3317,3405,3554,3656,3681,3664,3836,3942,4042,4131,4183,4272,4372,4484,4690,4826,4936,5011,4998,5037,5075,5112,5163,5218,5288,5372,5447,5513,5571,5630,5892,5929,5911,5867,5644,5572,5477,5365,5205,5137,5064,4989,4893,4825,4774,4741,4733,4742,4768,4811,4853,4893,4933,4971,5008,5062,5136,5228,5334,5424,5494,5542,5567,5588,5612,5636,5658
"262","254","Q1FLY1 D         Private flying","Q1FLY10",371,370,373,376,384,394,395,388,362,348,342,334,332,333,333,333,330,333,342,355,391,402,409,408,389,384,380,380,404,412,417,420,416,416,416,415,453,467,477,484,481,481,482,484,487,490,493,496,478,473,470,470,478,482,478,465,452,441,430,419,407,399,394,392,393,395,398,402,406,410,415,420,424
"263","255","Q1BIL1 D         Bowling and billiards","Q1BIL10",3087,3063,2997,2964,2860,2824,2808,2811,2917,2941,2897,2835,2710,2650,2591,2532,2488,2515,2527,2529,2518,2524,2533,2541,2558,2560,2555,2544,2532,2531,2523,2511,2479,2472,2463,2477,2518,2520,2507,2511,2531,2493,2452,2407,2473,2493,2522,2557,2595,2626,2653,2679,2692,2714,2752,2807,2855,2885,2902,2904,2888,2848,2783,2695,2591,2505,2445,2406,2385,2367,2350,2333,2316
"264","256","Q1CAS1 D         Casino gambling","Q1CAS10",14323,14565,14592,15297,14380,15085,15543,15894,17158,17014,18432,19377,19769,21428,23400,25132,26430,27277,28220,28839,30214,31300,32597,33930,34030,34591,36160,37052,37929,38885,38983,39316,40489,40343,41016,41985,42487,43917,45546,46421,46888,48607,50563,50124,51269,50563,50712,51087,52250,53096,54698,55863,56119,58426,59981,61170,64463,64022,65166,65068,66218,66909,66307,67102,69264,67485,69224,73089,71764,70410,71411,70267,67203
"265","257","Q1OPA1 D         Other commercial participant amusements","Q1OPA10",12274,12488,12561,12497,12163,12084,12099,12230,12895,13283,13589,13764,13880,13991,14117,14239,14331,14527,14789,15118,15661,15868,16079,16295,16470,16701,16910,17080,17544,17583,17533,17394,17831,17979,17992,17899,17864,17894,17912,18025,18211,18294,18343,18350,18862,18799,18088,17109,17908,17774,17656,17564,17483,17471,17536,17681,17946,18196,18369,18458,18474,18553,18724,18985,19317,19627,19902,20134,20321,20498,20685,20877,21062
"266","258","Q1PAR1 C       Pari-mutuel net receipts","Q1PAR10",4626,4636,4637,4641,4504,4401,4293,4214,4159,4134,4076,4003,3957,3949,3953,3972,4014,4039,4070,4099,4123,4160,4190,4213,4210,4230,4250,4270,4329,4337,4315,4262,4519,4586,4660,4746,4889,4971,5035,5071,5023,4992,4974,4954,4912,4929,4956,4992,5079,5102,5100,5073,4962,4882,4867,4915,5018,5123,5216,5294,5356,5415,5473,5527,5576,5617,5649,5673,5687,5699,5713,5728,5740
"267","259","Q1REO1 C       Other","Q1REO10",88135,89273,89859,90034,88983,88579,88769,89682,93256,94787,96305,97289,98740,99030,99471,99911,100042,101291,102730,104326,106627,109216,110347,111461,112580,113417,113736,114586,115954,116410,116319,117212,119086,120456,122120,123855,126047,127714,129456,130910,132329,133405,134240,135499,137144,137573,139383,140249,140067,140215,140126,140907,141881,142837,144731,147168,149003,150984,152069,152816,153398,153876,155089,155915,155912,157763,160905,165620,168154,169972,171271,172873,174008
"268","260","Q1PET1 D         Pets and pets services excluding veterinarians","Q1PET10",3263,3223,3264,3308,3482,3523,3564,3545,3585,3508,3505,3451,3705,3737,3820,3911,3984,4083,4097,4124,4106,4161,4243,4321,4431,4479,4502,4562,4585,4592,4583,4557,4461,4465,4441,4387,4298,4332,4356,4366,4546,4503,4458,4411,4337,4298,4266,4242,4234,4210,4184,4156,4109,4086,4096,4139,4205,4256,4282,4281,4254,4230,4212,4199,4192,4191,4199,4215,4236,4257,4280,4304,4326
"269","261","Q1VET1 D         Veterinarians","Q1VET10",6187,6256,6342,6491,6430,6502,6506,6539,6688,6634,6702,6830,6997,7135,7259,7247,7296,7575,7779,8008,8143,8359,8538,8674,8877,9135,9273,9455,9661,9827,10086,10435,10685,10834,10942,11123,11418,11474,11578,11700,11779,11913,11969,12005,11954,12150,12236,12193,12504,12492,12471,12650,12636,12629,12850,13089,13051,13173,13187,13238,13285,13343,13403,13366,13606,13845,13975,13972,14163,14192,14254,14294,14316
"270","262","Q1CTV1 D         Cable television","Q1CTV10",27696,28251,28342,28149,27510,27270,27074,27104,28264,28559,28726,28525,29413,29236,29191,29239,28626,28597,28911,29491,30695,31425,32024,32839,33561,34028,34156,34760,34972,35275,35101,35366,35295,35625,36257,37016,38087,38778,39519,39682,39900,40187,40456,41154,42338,41562,41939,42929,42241,42076,41957,41959,42259,42439,43114,44154,45138,46270,46901,47462,47919,48325,49129,49641,49232,50344,52098,53193,53090,54389,54983,55866,56563
"271","263","Q1FDV1 D         Film developing","Q1FDV10",6751,6676,6594,6532,6492,6461,6472,6529,6367,6301,6310,6397,6426,6463,6501,6529,6605,6587,6522,6419,6439,6484,6523,6557,6624,6634,6627,6611,6614,6607,6600,6595,6624,6658,6695,6731,6797,6814,6815,6798,6738,6711,6681,6652,6570,6594,6631,6677,6754,6782,6785,6757,6698,6602,6471,6309,6176,6019,5806,5543,5244,4954,4684,4430,4193,3991,3824,3687,3572,3464,3360,3260,3162
"272","264","Q1PIC1 D         Photo studios","Q1PIC10",5839,5925,5958,5950,5879,5844,5898,6018,6141,6218,6315,6426,6495,6558,6618,6662,6676,6717,6759,6800,7071,7115,7124,7094,6985,6911,6823,6724,6392,6281,6226,6230,6409,6473,6524,6554,6487,6512,6556,6620,6796,6819,6829,6821,6820,6743,6658,6565,6412,6344,6310,6310,6351,6393,6433,6468,6488,6528,6600,6703,6823,6897,6908,6853,6747,6670,6642,6661,6717,6780,6846,6914,6979
"273","265","Q1CMP1 D         Sporting and recreational camps","Q1CMP10",1376,1404,1430,1443,1365,1324,1334,1385,1517,1574,1610,1609,1559,1542,1537,1540,1571,1586,1599,1613,1607,1594,1585,1578,1582,1574,1562,1545,1487,1515,1587,1702,1686,1682,1665,1647,1644,1653,1663,1688,1742,1767,1783,1797,1835,1834,1830,1822,1786,1768,1755,1744,1742,1738,1730,1718,1695,1678,1672,1678,1691,1697,1694,1681,1660,1640,1624,1611,1601,1590,1580,1571,1561
"274","266","Q1HRE1 D         High school recreation","Q1HRE10",228,223,219,218,220,227,223,228,230,229,235,240,253,260,268,274,279,284,289,293,297,300,302,305,307,310,313,317,324,327,330,332,342,346,347,346,346,345,344,344,343,344,345,346,348,350,353,355,360,363,366,369,376,384,390,395,400,406,411,416,421,428,439,454,471,486,498,507,512,517,522,527,532
"275","267","Q1LOT1 D         Lotteries","Q1LOT10",11249,11245,11172,11073,10978,10972,11063,11228,11514,11658,11882,12110,12445,12612,12808,13053,13346,13634,13963,14311,14572,14722,14875,15021,15093,15199,15333,15466,15351,15268,15192,15143,15179,15210,15238,15264,15214,15161,15076,14974,14732,14661,14588,14519,14573,14690,14839,15011,15351,15559,15742,15891,16016,16170,16345,16536,16615,16647,16689,16737,16784,16853,16946,17060,17188,17318,17454,17590,17722,17850,17987,18127,18261
"276","268","Q1VID1 D         Video cassette rental","Q1VID10",5024,5242,5411,5495,5426,5349,5409,5573,5729,5808,5956,6135,6326,6482,6673,6894,7196,7409,7578,7693,7897,7932,7920,7860,7641,7586,7550,7531,7508,7593,7737,7937,8297,8460,8636,8820,9096,9231,9370,9507,9806,9750,9688,9630,9587,9759,10599,9887,9692,9621,9674,9873,10383,10868,11252,11514,11710,11813,11784,11620,11361,11197,11157,11233,11401,11516,11547,11492,11363,11220,11083,10950,10814
"277","269","Q1NEC1 D         Commercial amusements n.e.c.","Q1NEC10",20812,21114,21352,21539,21304,21213,21269,21495,23236,24290,24999,25392,24987,24805,24532,24232,23979,24265,24656,25026,25312,26672,26826,26928,27320,27468,27526,27604,29083,29171,28911,28958,30102,30693,31368,31967,32670,33423,34187,35234,35943,36751,37446,38164,38763,39579,40054,40544,40709,40982,40870,41201,41371,41644,42171,42935,43597,44197,44682,44986,45355,45593,46063,46503,46720,47130,48272,52057,54759,55148,55761,56375,56734
"278","270","Q1ISP1 D           Internet service providers","Q1ISP10",50,61,74,95,120,141,162,181,212,238,262,285,293,327,387,472,593,716,883,1102,1297,1587,1875,2163,2448,2685,2889,3149,3630,3648,3456,3646,3947,4140,4560,5051,5785,6372,7035,7895,8460,9183,9807,10474,11132,11862,12201,12520,12444,12682,12625,13128,13914,14684,15411,16087,16325,16568,16905,17280,17941,18423,19076,19613,19822,20197,21345,25684,28922,29121,29605,30082,30224
"279","271","Q1NIS1 D           Commercial amusements n.e.c. except internet service providers","Q1NIS10",21481,21772,21993,22146,21857,21725,21747,21949,23702,24750,25446,25816,25386,25147,24781,24356,23939,24080,24280,24408,24484,25555,25394,25186,25280,25174,25008,24800,25788,25857,25804,25638,26476,26869,27081,27136,27024,27141,27202,27365,27494,27566,27633,27689,27637,27737,27875,28047,28287,28328,28273,28118,27538,27083,26923,27049,27480,27845,28016,27979,27755,27565,27453,27413,27434,27503,27624,27793,27993,28196,28412,28633,28845
"280","272","Q1OSR1 B   Other","Q1OSR10",616952,622930,626789,620839,625815,632853,632058,634366,644847,647941,656426,663624,669716,674985,684227,694689,699144,693790,695777,696032,698936,705321,704252,709389,724429,726198,738826,733179,747974,755702,772313,782623,796822,815334,834385,841168,855508,870936,882174,901859,934050,934873,953167,961671,954633,964206,957812,964622,962702,965511,970468,967564,966543,970440,980221,984061,1000521,1007937,1013452,1024775,1024746,1024623,1038387,1047014,1056095,1068553,1071570,1083461,1094131,1099258,1105804,1106759,1119738
"281","273","Q1PER1 C     Personal care","Q1PER10",61484,62301,61931,60776,58396,57254,56732,56845,60194,62246,63511,63696,63202,63208,63328,63567,63826,64594,65750,67231,68409,69056,69671,70240,70474,70892,71496,72352,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86845,86855,86922,87024,88016,88547,89117,89702,89891,90379,91449,93099,95064,96640,97655,98062,97936,98079,98653,99646,100955,102118,103033,103646,103958,104202,104495,104806,105080
"282","274","Q1CRC1 C       Cleaning, storage, and repair of clothing and shoes (17)","Q1CRC10",14272,14361,14248,13991,13553,13278,13127,13135,13294,13438,13488,13418,13211,13139,13073,13026,12975,13012,13130,13305,13523,13583,13611,13612,13444,13488,13623,13854,14264,14444,14568,14629,14770,14902,15040,15175,15322,15403,15494,15588,15868,15801,15704,15575,15353,15221,15120,15038,15030,14888,14701,14473,14110,13849,13738,13773,13807,13799,13782,13754,13716,13717,13767,13860,13974,14033,14022,13941,13798,13642,13494,13350,13202
"283","275","Q1SCL1 D         Shoe repair","Q1SCL10",800,812,811,799,778,778,766,761,763,763,761,755,740,727,708,685,648,624,605,593,591,587,581,571,555,546,538,530,525,516,504,488,458,448,443,444,453,457,457,453,441,432,424,417,407,403,400,398,402,401,399,396,390,385,384,387,393,398,399,396,390,388,390,395,405,412,418,420,421,421,421,422,422
"284","276","Q1LAU1 D         Cleaning, laundering, and garment repair","Q1LAU10",13469,13546,13434,13188,12771,12496,12358,12370,12527,12672,12725,12661,12469,12410,12363,12340,12327,12388,12524,12713,12932,12996,13031,13042,12889,12942,13086,13324,13739,13928,14065,14141,14313,14455,14597,14732,14869,14946,15038,15136,15428,15369,15280,15159,14946,14819,14721,14640,14628,14488,14302,14078,13721,13464,13354,13386,13415,13401,13383,13358,13326,13330,13377,13465,13570,13620,13604,13521,13376,13220,13072,12927,12779
"285","277","Q1DRY1 D           Drycleaning","Q1DRY10",5289,5153,5061,5052,5085,5154,5324,5558,6102,6425,6633,6682,6477,6429,6404,6411,6491,6562,6667,6795,6835,6874,6906,6934,6906,6969,7063,7186,7509,7646,7725,7745,7854,7927,7996,8061,8120,8147,8180,8216,8338,8298,8247,8181,8062,7982,7919,7865,7851,7760,7642,7504,7286,7132,7070,7097,7168,7224,7262,7281,7283,7296,7327,7373,7422,7444,7431,7385,7308,7226,7148,7071,6993
