"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"272","264","      Insurance","DINSRX0",260041,261037,263318,265929,273041,275315,276484,278828,277395,277929,278652,277191,271772,270654,272558,273254,272032,273391,275485,276926,277602,279131,283002,287133,292423,297839,301399,303622,302589,297762,295055,294914,299408,301950,302471,302968,301528,298317,291828,280580,269566,263983,264816,268496,274399,279978,282930,285638,287438,290663,292359,289907,283702,277213,273309,271962,274831,277483,279272,281445,283619,285872,289290
"273","265","        Life insurance (110)","DLIFRX0",79612,79240,79930,80849,85054,85479,84621,84818,82913,81655,80706,77694,71963,70949,71536,70483,68226,68918,71042,73659,77024,79728,82214,82862,82792,84064,85517,87460,89296,88100,87249,87399,88663,89120,88531,89010,89821,90623,89614,85160,80689,78482,79814,81093,82854,84685,86280,89272,89518,89459,90800,91123,91177,90142,88965,88002,87815,87420,86694,86655,86457,86358,87372
"274","266","        Net household insurance (111)","DFINRX0",6271,6204,6165,6150,6153,6163,6180,6200,6213,6194,6140,6037,5943,5849,5861,5856,5995,6034,6124,6260,6426,6574,6691,6777,6821,6804,6722,6572,6386,6336,6461,6764,7205,7612,7949,8212,8388,8425,8313,8047,7666,7364,7189,7140,7241,7361,7455,7523,7749,7969,8068,8044,7918,7813,7760,7756,7791,7827,7857,7880,7905,7933,7964
"275","267","          Household insurance premiums and premium supplements","DFIPRX0",14052,14170,14310,14464,14623,14783,14945,15105,15269,15493,15799,16182,16609,16911,17104,17069,17109,17048,17073,17165,17299,17415,17497,17541,17548,17590,17684,17825,18007,18218,18462,18736,19016,19226,19356,19398,19356,19282,19193,19083,18951,18819,18696,18581,18635,18738,18802,18824,19071,19375,19596,19729,19776,19794,19802,19795,19768,19752,19757,19779,19785,19782,19784
"276","268","          Less: Household insurance normal losses","DFIBRX0",7913,8069,8228,8384,8532,8673,8811,8944,9086,9320,9671,10149,10668,11063,11243,11213,11115,11015,10950,10906,10874,10842,10806,10765,10728,10787,10962,11254,11621,11882,12002,11973,11811,11614,11407,11186,10968,10857,10880,11036,11286,11454,11508,11441,11394,11377,11347,11301,11321,11406,11528,11684,11858,11981,12042,12039,11977,11925,11900,11899,11880,11848,11820
"277","269","        Net health insurance (112)","DHINRX0",120536,121843,123421,125158,128186,130032,131940,133814,133971,135627,137195,138778,139736,140578,142369,144551,145651,146083,145417,143294,139379,136915,136996,139200,143428,146951,149043,149943,148051,144661,142005,139865,140534,140619,140537,140133,138197,134853,130329,124811,119771,117752,118374,121663,126230,130298,132066,132314,133753,136884,137581,135599,130521,125958,123678,123327,126109,128873,131141,133173,135391,137580,139824
"278","270","          Medical care and hospitalization","DMINRX0",102503,103789,105246,106767,109574,111069,112574,113990,113552,114750,115904,117134,118089,119364,121151,122838,124871,126729,127003,125356,121449,118673,118155,119458,122588,125172,126554,126992,124790,121014,117884,115183,115311,115023,114784,114442,112763,109819,105819,100966,96729,95528,96931,100949,105981,110493,112842,113802,114228,115966,115956,113958,109426,105228,102955,102260,104397,106602,108470,110262,112317,114337,116406
"279","271","          Income loss","DIINRX0",1843,1891,1940,1990,2039,2089,2139,2190,2238,2280,2313,2337,2352,2370,2393,2422,2454,2481,2503,2516,2520,2523,2526,2528,2529,2535,2548,2568,2593,2618,2643,2667,2689,2705,2715,2718,2714,2710,2710,2711,2711,2705,2691,2668,2638,2611,2591,2576,2568,2563,2562,2562,2565,2572,2585,2604,2625,2643,2657,2667,2674,2681,2688
"280","272","          Workers' compensation","DPWCRX0",16618,16651,16767,16957,17209,17499,17827,18191,18575,18941,19281,19589,19618,19303,19355,19800,19072,17906,17097,16631,16499,16682,17178,17989,19025,19906,20549,20947,21142,21376,21709,22136,22609,22926,23055,22986,22719,22307,21770,21099,20310,19524,18770,18045,17566,17086,16460,15685,16762,18252,19029,19088,18577,18256,18293,18686,19348,19914,20309,20527,20651,20781,20918
"281","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",53587,53721,53815,53840,53798,53841,54014,54302,54645,54900,55043,55059,54814,54099,53711,53454,53371,53541,53970,54595,55377,56304,57371,58570,59761,60473,60609,60139,59257,58996,59601,61064,63139,64713,65582,65715,65170,64404,63535,62541,61435,60383,59442,58604,58062,57598,57086,56522,56410,56305,55903,55185,54222,53482,53085,53022,53217,53427,53612,53758,53878,54007,54152
"282","274","    Other services","DOTSRX0",711391,714898,717753,734617,749760,767328,780685,784591,791594,807024,809012,810001,808683,808131,802880,815210,826434,826675,834694,837200,842996,849009,855027,856227,856523,856520,861324,867754,875203,884546,885628,899401,903934,907445,905298,902034,906661,899411,902727,900175,888254,874761,875184,878408,880259,884088,885726,886955,896340,899755,904534,904041,916342,914154,918133,923766,920329,926963,931850,936631,937288,934464,936705
"283","275","      Communication","DCOMRX0",122566,127991,132989,136454,141265,148039,152132,153980,154507,157141,158130,157374,157905,159909,159460,159833,161492,163299,164771,164978,167389,171153,174014,175206,176463,178651,179843,180652,184449,188493,192240,200171,204931,209078,211974,216604,220291,221997,223278,220652,217774,216331,217102,220212,223482,225719,228332,230582,237826,242389,247103,245484,249331,251363,253790,260635,265199,267283,270291,271541,274953,268180,270071
"284","276","        Telecommunication services (71)","DTCSRX0",108190,112554,116242,117767,120713,125793,128850,130168,131575,134187,135183,133929,133551,134162,133568,132494,132607,133846,134457,133417,134715,137842,140263,140733,142247,144655,145744,146485,150403,153061,151115,151440,152276,152716,153139,155268,156457,156843,156799,154305,151043,149243,148511,149549,152018,152563,154105,154286,159688,161372,162698,160474,161500,161045,162126,165945,166500,168908,171302,172751,176211,173815,175475
"285","277","          Land-line telephone services, local charges","DLOCRX0",66332,68790,68700,68867,69500,71107,69655,70164,70612,69838,67952,67178,66118,65957,63918,61516,59844,57798,55249,54068,53073,52706,52322,52177,52366,51856,51179,50158,51667,52287,50943,49618,48536,47828,46733,46570,46763,46401,45801,43705,42022,40406,39768,39592,39481,39361,38711,38194,36997,36172,36103,33933,33873,33560,33114,33883,34806,34102,34003,33791,33751,32080,32254
"286","278","          Land-line telephone services, long-distance charges","DLDTRX0",34640,35442,36662,35531,35171,35772,36379,34757,32950,33306,32820,29665,28299,27152,27343,26781,26363,27430,28677,28732,28944,29432,29537,27897,27453,27260,26953,26456,26015,25645,23165,22798,22645,22540,22114,21993,21903,21556,21093,19936,18961,17902,17167,16515,15726,15205,14737,14571,15098,15403,15523,14797,14160,13558,12862,12537,12464,11953,11746,11586,11573,11000,11059
"287","279","          Cellular telephone services","DCELRX0",15951,17251,19027,21257,23639,26267,29150,31584,34412,36980,39798,42583,44485,46374,47184,48620,50444,52188,53666,53637,55521,58332,60828,62808,64443,67309,69187,71214,73956,76246,77763,79604,81542,82723,84557,86902,87961,89010,89992,90704,90075,90929,91566,93445,96877,98109,100869,101782,108097,110422,111745,112689,114555,115123,117575,121082,120669,124668,127587,129586,133369,133588,135087
"288","280","        Postal and delivery services (68)","DPSSRX0",14219,14163,14006,14039,14190,14073,13877,13908,13419,13266,13052,12640,12649,12743,11821,11429,11652,11829,12040,12329,12254,12006,12087,12300,12118,12212,12420,12510,13045,13122,12972,12872,12725,12881,12990,13081,13677,13417,13151,12914,12452,12107,11818,11655,11388,11418,11108,10959,10140,9994,9805,9449,9308,9091,9004,8971,8826,8747,8607,8490,8602,8713,8551
"289","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",11220,11179,11019,11017,11112,10972,10787,10850,10443,10361,10219,9885,9952,10087,9229,8864,9071,9243,9457,9760,9725,9524,9639,9882,9739,9858,10079,10173,10720,10767,10612,10477,10364,10533,10712,10836,11577,11393,11194,10904,10457,10121,9885,9722,9677,9729,9397,9219,8482,8347,8132,7719,7627,7410,7278,7263,7136,7059,6863,6750,6925,7029,6847
"290","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",3016,3000,3015,3058,3122,3158,3156,3113,3036,2954,2875,2798,2725,2670,2637,2626,2632,2629,2614,2583,2539,2494,2454,2417,2378,2349,2332,2328,2314,2343,2349,2383,2348,2334,2266,2235,2104,2033,1971,2013,1995,1985,1933,1934,1720,1700,1716,1740,1652,1638,1655,1692,1648,1641,1676,1660,1641,1637,1681,1675,1625,1633,1647
"291","283","        Internet access (72)","DINTRX0",6014,6972,8180,9789,11292,12831,13842,14280,13882,14054,14201,14789,15491,16560,17215,18567,19654,20029,20586,21340,22303,23074,23453,23903,23883,23729,23695,23688,23314,24449,29046,35714,39697,43333,45757,48193,50097,51677,53288,53411,54276,54977,56771,59017,60094,61739,63129,65343,68096,71128,74706,75677,78653,81347,82789,85878,90022,89833,90649,90620,90512,86032,86499
"292","284","      Education services","DTEDRX0",212244,213080,213995,215914,218168,220183,222549,224282,225629,226494,225392,224020,221463,220093,220705,218968,219037,219531,218854,217883,216575,214551,212992,213213,213973,213824,214188,214823,215511,216138,216004,217820,218460,219316,219753,220321,220086,220346,221228,220190,219513,218736,219581,221606,223581,224590,225390,226240,226300,225578,224489,224332,223861,223179,223216,222934,222641,224574,226062,226723,227569,228493,229587
"293","285","        Higher education (97)","DHEDRX0",133367,134189,134826,136620,138100,139668,141304,142408,143688,144684,144959,143698,142014,141317,141967,141373,142135,143019,142899,142841,142077,140806,139698,140121,141038,141120,141991,142095,142632,143344,143003,143953,144132,144448,144476,144920,144921,144900,145550,145265,145390,145581,147115,148546,149419,149911,150761,151689,151525,150473,149676,149259,148791,148861,149230,149822,150288,151149,151477,151681,151603,151543,151636
"294","286","          Proprietary and public higher education","DGEDRX0",76877,77642,78548,79554,80588,81508,82299,82932,83388,83790,84181,84541,84873,85218,85642,86121,86810,87273,87412,87101,86387,85860,85646,85735,86043,86416,86834,87262,87669,88016,88321,88557,88705,88818,88953,89077,89162,89246,89370,89506,89702,90336,91525,93270,94098,94468,95059,95867,95406,94447,93757,93324,93116,93163,93502,94116,94899,95578,96113,96477,96736,97012,97316
"295","287","          Nonprofit private higher education services to households","DPEDRX0",56489,56546,56277,57066,57512,58159,59005,59476,60300,60894,60777,59156,57140,56100,56324,55252,55325,55746,55487,55740,55690,54946,54052,54386,54995,54704,55157,54833,54963,55328,54682,55396,55427,55630,55523,55843,55758,55654,56180,55760,55688,55245,55589,55276,55321,55443,55702,55822,56119,56027,55919,55935,55674,55697,55728,55707,55389,55571,55364,55204,54867,54532,54320
"296","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",40242,40218,39973,39959,39962,39858,39629,40040,40213,40211,39852,39764,39422,39237,39469,39018,38725,38412,37981,37649,37473,37346,37127,36756,36605,36378,36144,36074,36051,35945,35795,36266,36177,36115,36288,36132,35909,35830,35719,35608,35306,35020,34599,34334,34158,33890,33872,34003,34150,34394,34393,34488,34391,34121,33713,33506,33228,33139,33414,33389,33754,34039,34140
"297","289","          Elementary and secondary schools","DESCRX0",31467,31392,31252,31243,31113,30984,30869,31109,31189,31096,30721,30590,30339,30202,30285,30032,29611,29200,28779,28357,28159,27999,27708,27380,27278,27090,26798,26714,26720,26566,26262,26378,26177,25950,25996,25828,25658,25646,25686,25483,25181,24945,24584,24289,24236,24179,24120,23932,23805,23669,23579,23658,23632,23446,23087,22897,22746,22771,22983,23040,23264,23483,23571
"298","290","          Day care and nursery schools","DNSCRX0",8959,9002,8904,8898,9014,9032,8925,9086,9173,9253,9256,9292,9202,9155,9294,9103,9211,9292,9273,9348,9366,9395,9459,9414,9365,9324,9377,9390,9361,9406,9554,9901,10008,10168,10293,10304,10251,10185,10036,10127,10125,10075,10015,10046,9922,9710,9752,10073,10350,10734,10825,10840,10769,10685,10638,10623,10495,10378,10440,10355,10498,10562,10574
"299","291","        Commercial and vocational schools (99)","DVEDRX0",38136,38194,38720,38903,39674,40251,41225,41438,41368,41280,40355,40297,39762,39289,39035,38387,38047,38019,37920,37375,37011,36384,36147,36328,36344,36348,36107,36686,36860,36891,37231,37617,38155,38743,38974,39253,39244,39600,39943,39307,38813,38137,37870,38724,40007,40794,40754,40539,40618,40715,40429,40603,40702,40209,40269,39575,39069,40232,41141,41629,42217,42954,43888
"300","292","      Professional and other services (121)","DPRSRX0",161728,161880,161678,161787,162184,162072,163379,163272,164827,165779,167114,166457,165578,165347,166189,168109,170952,172880,172781,172852,172537,170707,172213,172706,173903,172427,170540,170379,170556,172665,173548,174522,176178,175576,174451,173510,173399,173431,171809,169655,165249,162204,160478,158240,158405,158416,158414,157706,157808,158171,157999,157840,158067,157525,157233,155938,153987,154575,154786,157374,156547,155486,156377
"301","293","        Legal services","DGALRX0",94773,95224,94944,94921,94094,94576,95181,94968,96181,95864,97348,97149,96598,96704,97404,98642,100607,100513,99102,97568,98112,96549,97466,98112,97973,96953,95623,95032,95291,96747,97068,97768,98855,97270,95942,94788,94611,95422,95274,94458,91698,90263,90060,88309,88325,88069,88415,88115,88021,88529,88641,88548,88810,88250,87404,85812,83851,84174,84426,86388,85644,84595,84833
"302","294","        Accounting and other business services","DPRORX0",22972,23313,23679,24027,24356,24670,24959,25218,25428,25612,25812,26006,26189,26398,26583,26741,27090,27540,28079,28726,29390,29847,30049,29971,29625,29357,29263,29291,29437,29707,30098,30611,31207,31698,32029,32196,32186,31817,31085,30041,28718,27587,26802,26343,26250,26267,26297,26296,26245,26152,26049,25938,25843,25825,25926,26162,26475,26744,26945,27101,27168,27207,27275
"303","295","          Tax preparation and other related services","DTAPRX0",16331,16607,16874,17120,17350,17611,17920,18273,18653,19014,19353,19662,19937,20168,20361,20512,20615,20809,21158,21638,22174,22473,22466,22139,21547,21047,20721,20564,20565,20688,20933,21297,21755,22214,22668,23107,23477,23553,23293,22687,21799,21007,20399,19974,19801,19722,19669,19642,19592,19510,19413,19295,19168,19119,19177,19339,19573,19776,19927,20024,20047,20054,20066
"304","296","          Employment agency services","DGENRX0",933,932,942,942,938,936,923,901,862,809,769,730,692,697,694,689,709,692,663,662,672,705,767,854,932,1006,1091,1147,1184,1236,1301,1384,1484,1559,1574,1537,1473,1352,1203,1083,950,834,784,780,797,835,886,908,939,954,951,938,934,914,893,893,892,893,894,925,945,950,978
"305","297","          Other personal business services","DTHERX0",5641,5714,5803,5907,6014,6075,6082,6030,5928,5834,5760,5705,5669,5649,5649,5666,5880,6148,6372,6543,6666,6788,6918,7055,7193,7325,7451,7568,7673,7764,7842,7905,7940,7895,7761,7535,7227,6905,6588,6272,5969,5746,5619,5589,5650,5710,5743,5749,5717,5691,5689,5708,5746,5797,5860,5934,6012,6077,6126,6156,6181,6209,6240
"306","298","        Labor organization dues","DUNSRX0",14025,13993,13815,13631,13620,13488,13161,13007,12677,12567,12458,12188,12064,11975,11859,11853,12008,12165,12278,12307,12104,12027,12253,12118,11903,12022,11798,11929,12107,12076,12044,11980,12082,12202,12201,12252,12430,12642,12835,12902,12683,12602,12474,12261,12148,12065,11947,11876,11717,11681,11646,11683,11718,11656,11603,11517,11467,11384,11352,11551,11614,11400,11266
"307","299","        Professional association dues","DAXSRX0",6061,6204,6267,6380,6406,6428,6491,6616,6742,6757,6862,6915,6965,7077,7177,7176,7214,7256,7329,7363,7282,7215,7243,7217,7350,7446,7440,7676,7663,7799,7952,7964,8047,8086,8058,8071,7856,7696,7566,7448,7607,7742,7724,7518,7692,7591,7638,7691,7557,7770,7616,7602,7944,7778,8117,8318,8122,8311,7968,7980,7738,7828,8095
"308","300","        Funeral and burial services","DFUNRX0",23517,22783,22632,22512,23394,22603,23333,23222,23613,24843,24511,24097,23662,23088,23074,23621,23950,25360,25962,26892,25641,25064,25183,25274,27118,26690,26470,26499,26081,26371,26423,26234,26011,26346,26247,26224,26328,25856,25040,24798,24539,24009,23421,23811,23991,24430,24118,23724,24273,24034,24043,24067,23743,24015,24185,24127,24078,23960,24092,24348,24384,24457,24915
"309","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",101254,102350,103747,105392,107111,108309,108862,108719,107998,107494,107420,107757,108406,109015,109632,110136,110889,111753,112965,114362,115607,116865,117890,118698,119299,119563,119664,119497,119867,120533,121097,121526,120999,120516,120147,119869,119449,118576,117311,115650,111929,109548,108692,109380,110415,112293,113099,114389,115816,115947,116515,116447,116214,118183,119292,119571,118672,116823,115785,115862,116195,116730,117709
