"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"354","347","      Social advocacy establishments, gross output","DSAORG3",15.545,15.75,15.866,15.979,16.265,16.384,16.726,17.121,17.525,18.268,19.408,20.09,21.111,22.137,23.346,26.6,28.995,30.714,32.663,34.818,38.227,43.176,47.343,49.413,50.601,52.231,53.477,54.943,56.796,59.686,62.449,64.796,67.206,69.141,70.587,71.919,73.946,75.807,77.412,79.381,81.223,84.62,86.849,89.774,92.54,95.287,100,102.725,107.164,109.743,111.725,114.427,118.047
"355","348","      Civic and social organizations, gross output","DCIORG3",16.407,16.626,16.752,16.872,17.17,17.297,17.655,18.077,18.495,19.286,20.482,21.207,22.276,23.363,24.651,28.097,30.602,32.418,34.48,36.756,40.387,45.597,50.01,52.18,53.423,55.148,56.463,58.005,59.966,63.028,65.939,68.418,70.96,72.998,74.521,75.927,78.067,80.029,81.733,83.82,85.744,89.348,91.092,92.505,94.413,96.477,100,102.551,105.597,107.849,109.272,110.62,114.696
"356","349","      Professional advocacy, gross output","DSNGRG3",13.908,14.141,14.256,14.45,14.675,15.017,15.393,15.773,16.271,16.904,17.832,18.841,19.885,20.775,21.896,24.869,27.06,28.672,30.528,32.632,36.005,40.902,45.156,47.876,49.472,50.979,52.151,53.747,55.7,58.515,61.091,62.894,64.916,66.674,68.254,69.657,71.795,74.314,76.308,78.789,81.141,84.057,88.073,90.309,92.631,95.898,100,103.748,106.883,108.175,109.127,111.809,114.096
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRG3",6.494,6.995,7.157,7.309,7.513,7.767,7.997,8.268,8.697,9.21,9.822,10.551,11.029,11.577,12.317,13.686,15.103,16.411,17.671,19.074,21.001,23.685,26.723,29.951,32.814,35.353,37.464,39.565,42.07,45.461,49.7,54.116,58.674,63.094,66.605,69.109,71.65,73.825,75.369,76.843,78.741,81.424,84.313,87.495,91.91,96.172,100,104.144,107.976,111.484,114.809,118.068,120.659
"358","351","      Health services to households","DHLRRG3",5.598,6.297,6.464,6.602,6.816,7.102,7.314,7.553,8.033,8.588,9.188,9.923,10.32,10.825,11.456,12.585,13.967,15.29,16.543,17.999,19.889,22.498,25.577,29.01,32.107,34.748,36.916,39.034,41.613,45.264,50.082,55.181,60.347,65.356,69.186,71.714,74.255,76.219,77.324,78.28,79.775,82.1,84.798,87.796,92.328,96.536,100,104.005,107.628,110.903,114.177,117.339,119.458
"359","352","        Outpatient services to households","DOUSRG3",10.117,10.372,10.62,10.94,11.196,11.462,11.846,12.585,13.434,14.205,15.187,16.334,17.411,17.957,18.582,20.282,22.797,25.368,27.719,29.892,32.132,35.694,39.18,42.041,44.758,46.976,50.152,53.01,54.992,58.268,61.566,65.002,68.369,71.338,73.844,76.872,78.465,79.752,82.865,84.909,86.304,88.549,91.275,93.425,95.438,97.902,100,102.046,104.668,107.852,109.95,112.001,113.1
"360","353","        Nonprofit hospitals' services to households","DNPHRG3",5.198,5.905,6.062,6.188,6.391,6.672,6.869,7.073,7.519,8.043,8.609,9.298,9.652,10.138,10.746,11.798,13.096,14.349,15.536,16.91,18.729,21.254,24.274,27.719,30.84,33.512,35.653,37.776,40.415,44.179,49.248,54.619,60.152,65.631,69.78,72.312,74.872,76.681,77.318,77.886,79.235,81.331,83.744,86.813,91.864,96.354,100,104.389,108.023,111.217,114.601,117.998,120.197
"361","354","        Nonprofit nursing homes' services to households","DNPNRG3",8.552,8.963,9.177,9.348,9.743,10.14,10.424,10.761,11.441,12.288,13.08,14.159,14.782,15.466,16.312,18.117,19.883,21.297,22.659,24.699,27.072,29.793,32.739,35.234,37.28,39.143,40.674,41.921,43.796,46.042,48.806,52.07,54.842,56.913,58.921,60.927,64.202,68.128,71.055,74.076,76.87,81.175,86.278,89.597,92.518,96.396,100,102.998,107.843,112.038,115.835,118.147,120.727
"362","355","      Recreation services to households","DRCRRG3",12.575,13.383,14.048,14.644,15.192,15.896,16.229,16.77,17.509,18.451,19.32,20.488,21.54,22.139,23.013,24.471,26.302,27.644,29.007,30.981,33.179,35.5,37.827,40.432,42.893,45.231,47.589,49.935,52.572,55.176,58.488,61.704,65.168,67.161,69.425,72.42,73.37,76.13,78.872,80.83,84.407,88.15,90.893,92.85,96.441,98.153,100,103.613,106.354,108.475,109.132,108.676,108.329
"363","356","      Education services to households","DEDRRG3",4.805,4.927,5.042,5.172,5.299,5.414,5.597,5.848,6.085,6.358,6.765,7.275,7.678,8.085,8.823,10.097,11.029,11.869,12.625,13.217,14.34,15.907,17.814,20.03,21.936,24.039,26.087,28.129,30.359,32.823,35.402,38.213,41.629,45.408,49.064,52.174,55.356,58.353,61.335,64.453,67.635,71.118,75.054,80.073,86.184,93.333,100,106.31,112.496,119.123,125.765,131.639,137.683
"364","357","      Social services to households","DSSRRG3",15.563,15.768,15.884,15.997,16.284,16.403,16.745,17.141,17.545,18.289,19.431,20.113,21.135,22.163,23.374,26.631,29.028,30.75,32.701,34.858,38.272,43.226,47.398,49.47,50.66,52.292,53.539,55.007,56.896,59.894,62.737,65.288,67.899,69.983,71.628,73.208,75.365,77.37,79.131,81.339,83.456,87.094,89.149,91.719,94.179,96.406,100,103.136,106.179,108.989,110.364,112.2,115.091
"365","358","      Religious organizations' services to households","DRELRG3",14.587,14.733,14.869,14.998,15.2,15.328,15.659,16.044,16.449,17.092,18.149,18.867,19.854,20.703,22.055,25.55,27.844,29.283,31.526,33.993,37.015,42.06,45.212,47.56,49.539,51.768,52.731,54.365,56.736,59.868,61.841,62.438,64.062,65.221,66.394,68.268,70.585,72.894,76.334,78.357,80.6,85.437,88.407,90.399,92.609,95.812,100,103.808,107.988,109.456,109.236,112.649,115.091
"366","359","      Foundations and grantmaking and giving services to households","DGIVRG3",13.598,13.874,13.876,14.126,14.38,14.25,14.64,14.99,15.449,15.886,17.048,17.721,18.576,19.416,21.186,23.631,26.153,27.754,29.005,30.071,34.114,38.451,42.387,44.645,46.787,47.979,48.865,50.639,52.077,55.129,57.324,59.83,60.341,63.054,65.129,66.69,68.28,70.842,73.148,75.73,78.922,82.76,86.734,89.394,92.456,95.638,100,103.777,108.454,110.904,111.209,114.079,115.888
"367","360","      Services of social advocacy establishments to households","DSASRG3",15.544,15.749,15.865,15.978,16.264,16.383,16.725,17.12,17.524,18.267,19.407,20.089,21.11,22.136,23.345,26.599,28.993,30.713,32.661,34.816,38.225,43.173,47.341,49.41,50.599,52.228,53.474,54.94,56.793,59.683,62.446,64.793,67.203,69.137,70.587,71.919,73.945,75.792,77.409,79.384,81.208,84.594,86.813,89.741,92.553,95.281,100,102.706,107.136,109.716,111.706,114.414,118.026
"368","361","      Civic and social organizations' services to households","DCISRG3",16.407,16.627,16.752,16.873,17.17,17.298,17.656,18.077,18.495,19.282,20.476,21.204,22.27,23.363,24.644,28.072,30.592,32.408,34.483,36.773,40.409,45.623,50.027,52.183,53.432,55.157,56.473,58.014,59.969,63.024,65.937,68.414,70.957,73.001,74.528,75.935,78.074,80.035,81.735,83.819,85.736,89.334,91.09,92.504,94.424,96.484,100,102.564,105.605,107.854,109.287,110.635,114.708
"369","362","      Professional advocacy services to households","DSNRRG3",12.073,12.233,12.335,12.503,12.699,13.056,13.437,13.766,14.212,14.783,15.63,16.633,17.627,18.614,19.726,22.309,24.261,25.745,27.471,29.371,32.349,36.845,40.688,43.137,45.38,47.266,48.632,50.5,52.675,55.109,57.483,59.583,61.655,63.543,65.198,66.667,68.62,71.13,73.313,76.026,78.917,81.916,86.353,89.593,92.477,95.871,100,103.692,107.266,109.628,111.558,114.897,117.747
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRG3",33.341,33.61,33.734,33.838,34.123,34.534,34.87,35.729,36.312,37.595,39.142,40.711,41.884,43.071,45.789,51.145,55.243,57.131,60.107,63.754,68.562,74.584,79.695,82.335,83.653,85.174,86.335,87.105,89.408,91.859,94.83,98.23,100.57,101.527,101.904,102.501,102.761,103.199,102.833,101.875,101.035,101.258,101.311,100.461,99.527,99.89,100,100.323,100.714,102.624,102.67,101.719,102.931
"372","364","  PCE food and energy","DPFERG3",16.4,16.603,16.681,16.787,16.916,17.13,17.478,18.082,18.214,18.684,19.422,20.325,20.862,21.723,24.208,28.983,31.38,32.463,34.657,37.495,43.089,50.179,55.014,56.263,56.861,58.17,58.795,56.737,58.103,59.366,62.633,66.497,67.932,68.379,69.213,70.045,71.211,73.806,74.979,73.24,75.061,80.991,83.203,82.17,86.93,92.481,100,105.85,111.486,122.407,112.365,117.31,128.177
"373","365","  PCE energy goods and services \1\","DNRGRG3",12.236,12.518,12.565,12.606,12.615,12.543,12.801,13.004,13.295,13.492,13.852,14.181,14.684,15.064,16.363,21.335,23.438,25.01,27.123,28.651,35.727,46.677,52.954,53.879,54.382,55.068,55.649,48.761,49.3,49.677,52.612,57.061,57.313,57.58,58.104,58.331,58.79,61.542,62.188,56.929,59.261,70.146,71.819,67.61,76.21,85.049,100,111.432,119.387,136.645,110.34,121.746,141.684
"374","366","  PCE excluding food","DPXFRG3",18.13,18.463,18.68,18.918,19.143,19.402,19.66,20.094,20.696,21.537,22.515,23.531,24.617,25.401,26.46,28.996,31.462,33.391,35.593,37.941,41.248,45.832,50.059,53.042,55.568,57.729,59.783,61.246,63.461,66.061,68.862,71.985,74.626,77,78.754,80.409,82.192,83.91,85.478,86.267,87.656,89.85,91.483,92.718,94.609,97.031,100,102.805,105.488,108.699,108.831,110.899,113.493
"375","367","  PCE excluding energy","DPXERG3",18.832,19.132,19.343,19.583,19.828,20.15,20.432,20.965,21.497,22.372,23.415,24.548,25.603,26.493,27.865,30.396,32.899,34.672,36.869,39.493,42.515,46.362,50.302,53.268,55.73,57.961,59.964,62.123,64.439,67.137,69.99,73.023,75.807,78.149,79.922,81.646,83.516,85.222,86.854,88.098,89.42,91.019,92.732,94.323,95.781,97.849,100,102.22,104.709,107.406,109.058,110.486,112.309
"376","368","  PCE excluding food and energy \2\","DPCCRG3",18.699,19.033,19.272,19.534,19.788,20.091,20.345,20.805,21.442,22.362,23.412,24.51,25.664,26.493,27.505,29.687,32.174,34.13,36.32,38.749,41.569,45.377,49.342,52.526,55.247,57.541,59.724,61.974,64.331,67.12,69.889,72.872,75.709,78.256,80.106,81.875,83.761,85.386,87.022,88.284,89.597,91.154,92.783,94.39,95.823,97.815,100,102.265,104.631,107.02,108.691,110.208,111.805
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.519,67.041,70.144,73.565,76.396,78.573,80.448,82.01,83.69,85.318,86.593,87.122,88.355,90.471,92.19,93.209,95.028,97.272,100,102.739,105.34,108.909,109.201,110.857,113.681
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.16,85.706,87.599,88.703,91.267,93.582,96.541,99.791,103.361,104.655,104.14,103.343,103.323,103.884,104.246,102.367,100.23,98.563,100,100.169,99.327,98.842,98.755,103.354,106.817
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.665,143.067,144.499,146.63,147.475,147.347,145.907,146.108,144.032,139.73,134.285,128.892,122.785,118.817,114.613,110.116,105.599,102.752,100,97.43,94.79,92.996,90.422,86.33,83.893
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.978,66.917,70.446,73.884,76.212,76.802,77.876,79.189,80.907,83.378,84.963,86.04,87.453,89.505,92.134,93.552,95.302,98.255,100,101.691,105.648,112.071,113.508,113.859,118.398
"384","373","  Market-based PCE clothing and footwear","DCLMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.482,111.972,113.61,117.314,119.546,120.434,119.789,117.771,115.015,113.628,113.662,111.59,110.111,108.798,106.64,103.83,101.248,100.906,100,99.592,98.616,97.87,98.713,98.026,99.715
"385","374","  Market-based PCE gasoline and other energy goods","DGOERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.944,41.25,44.906,51.424,50.563,50.178,49.685,49.808,50.475,53.913,53.911,47.001,50.888,65.775,63.487,59.385,69.378,81.545,100,112.928,123.9,146.278,106.517,125.907,159.226
"386","375","  Market-based PCE other nondurable goods","DNDXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.684,66.517,70.256,73.729,77.663,80.551,81.943,82.511,83.91,85.523,86.505,88.151,91.614,93.716,95.907,97.449,97.477,98.548,100,102.145,103.448,105.944,110.68,112.728,114.48
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.045,57.737,60.795,64.051,67.172,69.837,72.296,74.262,76.404,78.381,80.459,82.072,83.746,85.931,88.729,91.081,94.01,96.837,100,103.569,107.035,110.749,112.98,114.69,116.732
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.698,59.214,61.651,64.534,66.547,68.34,70.129,72.028,74.244,76.491,78.703,81.216,83.468,86.056,89.453,93.04,95.381,97.605,100,103.491,107.18,110.137,112.101,112.124,113.553
"391","378","    Market-based PCE household utilities","DUTLRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.51,59.54,61.625,63.343,65.901,67.9,70.373,71.461,72.112,73.999,75.726,74.483,74.713,78.363,84.993,82.465,87.963,91.821,100,107.977,111.708,120.258,117.871,119.567,121.952
"392","379","    Market-based PCE health care","DHLCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.559,49.111,53.429,57.989,62.469,66.861,70.434,73.297,75.97,77.758,79.315,80.811,82.585,84.91,87.759,90.056,93.473,96.927,100,103.053,106.866,109.749,112.725,115.561,117.489
"393","380","    Market-based PCE transportation services","DTRSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.836,67.866,70.85,73.558,75.577,77.725,80.428,81.409,83.206,84.255,86.122,87.639,88.947,91.616,92.634,93.063,95.06,96.456,100,104.217,106.643,112.467,115.707,118.111,121.393
"394","381","    Market-based PCE recreation services","DRCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.355,55.42,58.272,61.513,64.941,67.033,69.289,70.766,72.271,74.834,77.545,79.733,82.574,85.928,88.888,91.862,94.962,97.474,100,103.443,106.266,109.25,111.175,112.129,113.407
"395","382","    Market-based PCE food services and accommodations","DFSMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.112,61.66,64.453,67.404,70.108,71.602,73.012,74.298,76.054,78.111,80.431,82.6,84.742,87.142,89.662,91.834,93.753,96.882,100,103.364,107.423,111.631,114.195,115.714,118.682
"396","383","    Market-based PCE financial services and insurance","DFIMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.974,114.552,118.478,120.888,126.897,127.852,128.588,123.356,125.881,125.23,129.559,119.608,109.664,99.142,93.386,93.394,96.805,98.992,100,100.379,103.155,106.289,102.228,105.252,107.773
"397","384","    Market-based PCE other services","DOTMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.784,56.822,59.131,61.59,64.725,67.343,69.815,72.269,74.475,76.623,78.937,80.898,82.848,84.778,87.363,90.492,93.631,96.609,100,103.6,106.192,110.41,113.942,116.659,119.062
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.21,102.215,102.457,102.222,104.363,104.56,105.018,106.921,107.361,107.628,108.229,107.394,105.315,102.329,101.387,102.241,102.274,100.762,100,100.025,97.641,99.298,101.168,101.115,99.93
"400","386","      Market-based PCE education","DTEDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.126,34.519,36.976,39.537,42.827,46.458,49.907,52.923,55.887,58.848,61.687,64.498,67.717,71.029,74.828,79.652,85.827,93.153,100,106.339,112.353,118.826,125.371,131.239,137.51
"401","387","      Market-based PCE professional services","DPRMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.663,45.447,47.968,51.328,54.338,57.078,59.521,61.916,64.349,66.903,69.804,73.169,76.677,80.497,84.287,88.531,92.379,95.979,100,104.765,109.213,113.995,117.183,121.026,124.663
"402","388","      Market-based PCE personal care and clothing services","DPERRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.989,60.449,63.385,65.906,68.339,70.141,72.16,73.947,75.599,77.247,79.634,80.912,83.045,85.8,89.307,91.394,93.603,96.323,100,103.587,107.292,112.528,116.105,118.687,121.124
"403","389","      Market-based PCE child care","DCHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.188,44.053,46.612,49.738,53.05,55.685,58.337,61.335,63.842,66.287,68.794,72.128,75.835,79.987,84.013,88.303,92.314,95.787,100,105.476,109.956,114.842,119.048,122.917,126.283
"404","390","      Market-based PCE household maintenance","DHMMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.248,58.08,59.493,60.989,64.38,66.769,68.768,70.055,72.392,74.526,76.443,78.604,81.039,84.595,88.3,91.301,93.734,96.045,100,103.713,106.461,109.819,110.439,110.663,111.571
"405","391","Market-based PCE food and energy","DPMFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.089,59.352,62.618,66.48,67.919,68.369,69.202,70.039,71.206,73.801,74.973,73.238,75.061,80.992,83.203,82.172,86.931,92.479,100,105.853,111.489,122.413,112.372,117.314,128.18
"406","392","Market-based PCE excluding food","DMXFRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.423,67.019,70.066,73.483,76.377,78.75,80.721,82.312,83.987,85.519,86.76,87.231,88.446,90.568,92.198,93.178,95.004,97.183,100,102.834,105.313,108.624,108.814,110.587,113.257
"407","393","Market-based PCE excluding energy","DPMERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.529,68.237,71.335,74.641,77.69,80.028,82.015,83.689,85.467,86.99,88.314,89.317,90.46,91.898,93.619,95.016,96.345,98.119,100,102.163,104.422,107.141,109.074,110.123,111.911
"408","394","Market-based PCE excluding food and energy","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.511,68.325,71.359,74.642,77.787,80.361,82.465,84.184,85.969,87.374,88.665,89.66,90.772,92.143,93.767,95.163,96.449,98.106,100,102.209,104.304,106.666,108.647,109.763,111.288
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
