"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"403","388","      Market-based PCE personal care and clothing services","DPERRX0",101254,102350,103747,105392,107111,108309,108862,108719,107998,107494,107420,107757,108406,109015,109632,110136,110889,111753,112965,114362,115607,116865,117890,118698,119299,119563,119664,119497,119867,120533,121097,121526,120999,120516,120147,119869,119449,118576,117311,115650,111929,109548,108692,109380,110415,112293,113099,114389,114623,114339,115066,115577,116184,117930,118283,117050,114521,111812,111347
"404","389","      Market-based PCE child care","DCHCRX0",26930,27024,26911,27026,27207,27277,27232,27741,28046,28167,28510,28350,28368,28412,28400,28464,28381,28409,28638,28930,28724,28866,29046,28539,28617,28543,28241,28501,28481,28544,28941,29621,30128,30458,30781,30959,30729,30770,30314,29890,30024,29985,30000,30721,30599,29807,29441,29590,29371,29833,29814,29885,29990,29921,29912,29882,29520,28857,28237
"405","390","      Market-based PCE household maintenance","DHMMRX0",60101,59511,59560,60067,62030,62141,61842,61089,60377,59633,58596,57365,57032,57207,57235,57220,57829,58090,58645,59461,60548,61451,61987,62349,62168,62024,61961,62021,62166,62192,62402,62698,63409,63849,64246,64804,64867,64347,63276,62227,60268,58561,57356,56889,56633,56316,56399,57311,58085,58703,59299,59335,59013,58676,58600,59037,59071,59146,59259
"406","391","Market-based PCE food and energy","DPMFRX0",1147661,1164204,1174098,1176259,1157661,1183725,1187929,1206259,1198800,1186786,1189132,1188120,1185917,1197577,1203096,1217205,1218531,1216661,1226102,1232024,1240813,1242141,1241608,1255400,1272002,1271125,1277864,1287392,1272983,1289693,1299219,1307178,1314845,1307323,1306803,1296025,1296167,1292417,1259877,1259532,1266790,1267289,1268073,1274634,1285472,1280476,1290481,1303328,1296715,1288832,1291248,1280198,1272164,1297321,1301094,1285072,1312155,1308240,1301266
"407","392","Market-based PCE excluding food","DMXFRX0",6113712,6208932,6283023,6370209,6466385,6527274,6588775,6650901,6685978,6691253,6725282,6842996,6868748,6911257,6966885,6987120,7011964,7112270,7218311,7281893,7350461,7395396,7467134,7545079,7601073,7689646,7750960,7759924,7841595,7879420,7931890,8009808,8060469,8093151,8132802,8141725,8118716,8133726,8061726,7952579,7933404,7902251,7958454,7949645,7989146,8059128,8118008,8209522,8254584,8289058,8330912,8394367,8454497,8501441,8545567,8589481,8648379,8693589,8716639
"408","393","Market-based PCE excluding energy","DPMERX0",6289932,6382605,6458540,6562565,6661273,6718576,6778169,6836840,6874084,6899271,6927008,7046874,7069656,7104361,7159877,7179130,7212936,7311961,7429095,7484303,7557876,7602519,7685313,7765174,7827368,7922093,7989571,8006328,8109501,8144979,8191602,8283128,8329413,8362303,8404215,8430925,8399851,8426003,8368592,8219332,8188824,8168688,8233370,8232597,8274798,8339292,8394725,8496463,8553919,8603277,8639094,8714026,8795373,8824462,8871665,8937601,8975701,9021169,9063883
"409","394","Market-based PCE excluding food and energy","DPCXRX0",5636842,5722551,5792376,5885761,5989712,6037007,6095029,6146756,6185731,6206096,6235591,6353376,6378262,6411433,6463930,6477366,6505731,6605134,6711428,6767615,6834181,6878064,6955097,7027184,7078243,7169893,7230884,7238957,7338592,7366840,7411615,7492319,7536961,7573584,7614725,7638197,7610936,7633661,7586706,7456547,7427817,7401866,7461843,7453699,7489116,7559070,7611208,7701399,7756348,7802798,7840608,7916497,7992231,8016691,8060619,8124803,8158775,8206610,8243501
"410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
