"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"362","355","      Recreation services to households","DRCRRA3",20.865,20.443,20.163,20.295,20.503,20.863,21.127,22.543,23.111,22.511,21.373,20.026,18.218,17.864,18.376,18.598,18.207,18.468,19.05,20.914,24.367,28.855,34.451,38.726,40.999,44.347,51.917,58.013,60.31,62.733,64.394,66.982,67.744,70.992,74.877,75.902,79.383,78.993,79.944,80.899,83.404,84.045,85.886,84.3,85.556,90.857,100,101.322,99.398,95.208,89.807,90.747
"363","356","      Education services to households","DEDRRA3",55.003,58.189,62.376,66.301,69.881,74.598,81.443,86.299,89.499,94.744,98.298,101.054,103.591,107.481,107.369,102.9,102.438,102.113,101.42,105.619,105.833,105.942,104.098,101.835,101.096,99.748,98.739,97.337,98.03,98.564,100.968,102.554,100.727,97.973,96.384,96.137,96.376,99.549,100.919,102.375,103.366,105.652,108.141,103.266,101.637,100.066,100,100.107,100.631,101.152,101.458,103.007
"364","357","      Social services to households","DSSRRA3",3.35,3.483,3.567,3.399,3.65,4.67,5.353,6.331,7.293,7.812,8.402,8.994,10.13,11.731,12.102,11.384,11.796,13.232,14.567,16.117,17.338,17.98,18.536,19.295,20.533,22.052,24.361,26.361,28.667,29.905,32.013,34.077,35.901,38.52,41.407,44.243,47.706,50.744,55.548,61.622,67.407,75.286,85.354,92.577,95.33,98.472,100,100.276,102.469,102.692,103.539,106.555
"365","358","      Religious organizations' services to households","DRELRA3",46.733,45.554,47.06,47.59,49.094,52.042,53.968,53.202,56.88,56.631,56.548,58.223,60.413,61.065,62.334,59.144,59.042,60.484,60.546,62.635,62.21,59.596,63.678,65.318,67.666,72.237,78.005,83.005,84.164,85.562,87.227,91.342,93.468,94.98,97.036,102.768,103.754,110.509,110.483,110.982,109.374,105.994,103.667,100.684,100.146,101.393,100,99.848,102.843,100.46,98.309,99.437
"366","359","      Foundations and grantmaking and giving services to households","DGIVRA3",13.047,17.254,21.957,25.2,29.9,27.543,46.049,49.057,47.107,42.704,52.658,60.51,89.904,78.022,71.341,90.843,89.453,95.791,108.051,96.034,116.983,120.845,122.568,136.852,149.81,157.168,168.84,180.453,196.411,214.627,246.857,242.756,262.762,262.016,265.192,243.76,235.401,220.026,249.489,225.755,197.946,168.814,127.156,96.665,94.984,101.215,100,113.11,124.557,113.352,103.05,109.245
"367","360","      Services of social advocacy establishments to households","DSASRA3",5.349,5.561,5.694,5.427,5.828,7.456,8.546,10.108,11.645,12.472,13.415,14.359,16.174,18.73,19.322,18.175,18.834,21.126,23.257,25.733,27.682,28.707,29.594,30.806,32.771,35.169,38.825,41.982,45.602,47.853,50.449,54.296,57.949,62.201,66.794,71.22,76.577,79.283,77.029,82.269,87.901,87.789,86.166,86.013,96.756,96.516,100,112.22,120.488,125.514,123.547,128.57
"368","361","      Civic and social organizations' services to households","DCISRA3",16.827,17.025,17.705,18.003,18.712,20.133,20.889,22.727,24.003,23.914,22.387,21.244,19.875,19.642,19.557,17.542,16.817,16.74,17.016,18.603,21.821,24.856,28.937,34.392,37.346,41.131,49.978,56.274,61.106,63.488,67.193,70.58,74.514,78.267,82.433,85.185,88.467,89.785,88.558,94.217,95.408,96.663,96.326,97.397,103.683,106.188,100,98.533,98.051,94.26,91.889,92.599
"369","362","      Professional advocacy services to households","DSNRRA3",34.298,35.811,36.765,37.695,38.658,40.2,41.561,44.108,46.434,47.777,48.68,49.067,48.115,49.531,52.276,52.56,53.992,56.5,58.844,62.461,65.123,66.433,68.358,73.833,74.554,78.58,87.138,93.326,96.734,99.802,102.544,105.827,107.8,109.757,111.06,111.569,113.121,112.609,114.199,112.381,109.428,106.232,102.519,99.127,100.372,100.273,100,102.015,103.214,103.819,103.471,100.759
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRA3",17.341,17.559,17.938,18.653,19.245,20.499,21.765,23.368,23.978,25.243,26.035,26.614,27.286,28.955,30.402,29.953,30.166,31.816,33.048,34.536,35.713,35.495,35.843,36.011,38.054,40.53,42.319,44.716,46.075,47.928,49.43,50.145,50.081,51.258,53.513,56.56,58.839,61.631,64.455,68.661,74.592,79.37,81.747,85.187,89.674,94.592,100,105.202,109.221,108.54,105.479,111.101
"372","364","  PCE food and energy","DPFERA3",45.302,45.895,46.526,47.339,48.15,50.059,52.53,54.816,56.283,58.808,60.775,62.682,63.787,65.645,65.722,63.809,65.299,68.452,69.806,70.25,70.491,69.608,69.057,70.006,71.752,73.129,75.086,76.647,77.064,79.453,80.612,81.14,81.35,81.694,83.194,85.101,85.796,87.083,87.763,89.361,92.254,93.714,94.282,95.138,96.759,97.9,100,100.454,101.369,99.087,98.581,100.671
"373","365","  PCE energy goods and services \1\","DNRGRA3",38.021,39.119,39.637,41.445,43.091,45.398,47.562,50.167,51.993,54.392,57.002,59.276,61.164,64.316,67.311,64.043,66.25,69.35,71.387,73.31,72.197,68.732,67.732,68.107,69.774,71.017,72.623,74.172,76.147,79.125,80.575,79.141,79.887,81.382,84.333,85.548,86.704,88.755,89.311,91.947,93.858,94.262,93.961,95.921,98.296,99.442,100,97.44,97.57,93.996,94.491,96.132
"374","366","  PCE excluding food","DPXFRA3",17.325,17.885,18.281,19.364,20.299,21.617,23.042,24.432,25.199,26.718,27.769,28.396,29.618,31.663,33.617,33.41,34.195,36.14,37.828,39.8,40.809,40.576,41.31,41.852,44.439,46.995,49.582,51.718,53.549,55.794,57.473,58.643,58.75,61.002,63.343,65.828,67.753,70.282,73.067,77.174,81.506,85.841,88.276,90.809,93.49,96.726,100,102.849,105.278,104.739,102.708,104.762
"375","367","  PCE excluding energy","DPXERA3",18.846,19.361,19.772,20.755,21.612,22.909,24.384,25.771,26.532,28.084,29.116,29.766,30.913,32.834,34.468,34.286,35.032,37.008,38.604,40.359,41.451,41.482,42.236,42.86,45.442,47.992,50.609,52.733,54.374,56.57,58.205,59.532,59.593,61.68,63.867,66.392,68.237,70.659,73.384,77.315,81.664,85.991,88.448,90.827,93.404,96.581,100,103.186,105.701,105.335,103.187,105.299
"376","368","  PCE excluding food and energy \2\","DPCCRA3",16.277,16.808,17.196,18.237,19.132,20.394,21.772,23.096,23.811,25.275,26.251,26.807,27.985,29.957,31.842,31.767,32.482,34.36,36.022,37.987,39.103,39.066,39.924,40.484,43.15,45.806,48.467,50.643,52.468,54.678,56.369,57.669,57.744,60.032,62.344,64.887,66.846,69.396,72.282,76.45,80.878,85.391,87.961,90.52,93.214,96.562,100,103.212,105.806,105.504,103.286,105.369
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.768,58.082,59.676,60.694,60.452,62.418,64.336,66.781,68.733,71.158,73.936,77.711,81.973,85.92,88.213,90.696,93.351,96.496,100,102.62,105.043,104.363,102.75,105.126
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.108,59.616,59.251,58.193,50.82,55.386,58.396,61.913,60.445,63.416,68.039,75.865,83.401,86.06,90.445,96.809,99.354,100.692,100,96.244,98.112,83.982,78.416,80.451
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.233,26.666,27.73,27.842,27.632,28.781,31.32,34.197,36.894,40.309,43.989,49.882,57.695,65.026,68.693,75.016,81.951,91.039,100,109.096,116.319,115.714,110.27,120.727
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.307,79.359,80.373,82.059,81.957,81.639,82.317,84.611,85.054,85.915,86.675,87.712,91.104,93.165,94.261,94.476,95.661,96.801,100,102.86,104.456,103.341,101.99,104.446
"384","373","  Market-based PCE clothing and footwear","DCLMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.251,50.7,53.386,53.023,53.054,55.851,58.229,61.496,64.025,67.135,69.338,73.573,78.415,82.205,82.976,85.508,89.95,94.266,100,104.654,108.315,107.673,102.645,108.603
"385","374","  Market-based PCE gasoline and other energy goods","DGOERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.477,79.682,80.956,79.503,78.858,82.008,84.063,85.408,87.001,88.377,90.161,93.401,96.26,94.506,95.188,96.763,99.39,100.686,100,97.722,96.911,92.368,92.533,92.582
"386","375","  Market-based PCE other nondurable goods","DNDXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.993,52.348,54.057,55.556,55.314,56.733,58.753,61.701,64.246,67.067,70.491,74.261,78.92,82.902,85.58,88.373,92.737,96.603,100,103.847,106.81,107.122,104.877,108.644
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.691,62.321,64.152,65.752,66.238,68.374,69.993,71.98,74.068,76.214,78.778,81.919,85.037,88.858,90.971,92.675,94.385,96.869,100,102.136,104.122,104.608,103.867,105.046
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.486,63.406,65.072,66.722,68.251,70.068,71.607,74.56,76.777,78.284,80.465,83.076,85.955,88.5,91.528,91.96,92.98,95.183,100,102.917,103.506,104.684,105.901,106.442
"391","378","    Market-based PCE household utilities","DUTLRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.149,77.533,79.403,78.361,80.006,79.336,83.213,84.886,86.155,88.969,88.821,90.663,92.097,94.606,93.68,95.722,97.591,98.092,100,98.536,99.97,98.707,99.219,102.003
"392","379","    Market-based PCE health care","DHLCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.378,63.791,64.52,66.692,67.97,70.022,70.377,70.928,72.397,73.894,76.188,78.663,79.892,82.638,86.758,91.868,93.845,96.833,100,101.839,104.213,106.691,108.729,110.235
"393","380","    Market-based PCE transportation services","DTRSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.607,58.818,60.141,60.078,57.224,60.119,63.523,69.544,74.787,80.916,87.02,90.642,95.648,100.102,99.18,96.471,96.826,99.231,100,99.823,100.677,95.118,86.759,87.488
"394","381","    Market-based PCE recreation services","DRCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.027,61.001,65.209,67.782,67.09,70.83,73.663,75.101,79.783,82.513,84.293,87.791,90.813,92.943,92.545,91.961,93.723,97.772,100,102.873,107.84,108.173,104.452,107.265
"395","382","    Market-based PCE food services and accommodations","DFSMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.36,68.266,70.171,72.732,72.795,74.69,76.413,77.631,77.799,78.32,80.093,82.219,84.274,88.178,88.027,89.412,92.757,96.556,100,103.165,104.554,103.615,99.86,103.232
"396","383","    Market-based PCE financial services and insurance","DFIMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.72,23.259,25.4,25.554,27.324,29.919,33.976,35.632,39.062,43.978,47.215,56.811,72.948,92.74,90.986,94.276,96.917,96.485,100,105.347,110.249,107.039,104.511,97.713
"397","384","    Market-based PCE other services","DOTMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.812,60.126,63.363,65.005,63.446,66.478,67.611,69.572,71.625,74.413,78.244,82.791,87.325,92.85,95.17,95.399,97.029,98.778,100,101.947,105.523,105.9,102.486,102.835
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.134,32.736,34.749,36.24,37.412,41.022,43.101,45.946,48.457,52.87,58.31,63.836,72.051,82.967,88.513,90.821,92.966,97.105,100,105.84,115.022,118.305,115.72,119.807
"400","386","      Market-based PCE education","DTEDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.397,84.676,88.35,90.069,89.314,89.466,88.26,88.608,89.812,92.394,94.962,97.745,100.015,103.517,105.429,103.055,102.274,100.137,100,100.687,102.247,103.382,103.806,105.552
"401","387","      Market-based PCE professional services","DPRMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.456,79.715,82.306,84.017,82.017,84.058,84.162,83.644,82.359,84.018,85.417,88.915,91.617,92.599,95.267,95.527,99.129,99.335,100,99.68,101.152,99.541,93.444,90.753
"402","388","      Market-based PCE personal care and clothing services","DPERRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.997,61.06,63.838,66.439,61.131,66.012,67.005,69.251,72.985,75.087,78.754,83.19,87.013,91.172,90.568,92.314,94.091,98.02,100,101.156,101.07,98.729,93.472,92.283
"403","389","      Market-based PCE child care","DCHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.066,88.555,103.704,96.311,86.223,90.136,92.364,92.661,94.006,90.842,91.822,91.373,94.546,95.917,99.086,99.588,100.257,101.041,100,101.374,107.458,106.851,105.104,103.023
"404","390","      Market-based PCE household maintenance","DHMMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.862,68.127,72.924,75.074,69.165,71.589,74.589,80.557,86.098,86.686,92.025,100.316,99.656,102.301,96.902,92.99,94.651,99.443,100,100.468,103.791,103.488,94.165,90.299
"405","391","Market-based PCE food and energy","DPMFRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.994,79.388,80.562,81.101,81.311,81.657,83.164,85.07,85.77,87.061,87.749,89.345,92.241,93.707,94.281,95.133,96.76,97.902,100,100.447,101.369,99.085,98.578,100.673
"406","392","Market-based PCE excluding food","DMXFRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.841,56.181,57.828,58.786,58.531,60.702,62.729,65.186,67.269,69.831,72.787,76.805,81.145,85.26,87.661,90.351,93.14,96.468,100,102.598,105.096,104.456,102.818,105.187
"407","393","Market-based PCE excluding energy","DPMERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.746,57.028,58.628,59.772,59.479,61.469,63.336,65.838,67.826,70.267,73.151,76.973,81.332,85.447,87.875,90.384,93.051,96.309,100,102.989,105.585,105.145,103.366,105.796
"408","394","Market-based PCE excluding food and energy","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.621,54.927,56.584,57.677,57.366,59.574,61.55,64.07,66.199,68.785,71.865,75.947,80.396,84.705,87.259,89.987,92.798,96.26,100,103.001,105.696,105.323,103.501,105.928
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","2. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
