"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"278","242","    Premium supplements for property and casualty insurance (182+183+186-187)","W569RC1","483.0","563.0","704.0","774.0","845.0","920.0","1,090.0","1,323.0","1,707.0","1,978.0","2,271.0","2,644.0","3,039.0","3,455.0","4,140.0","4,924.0","6,137.0","7,391.0","8,500.0","9,206.0","9,706.0","10,337.0","10,615.0","10,851.0","11,807.0","11,801.0","11,431.0","12,013.0","11,861.0","11,666.0","11,064.0","11,755.0","10,608.0","9,457.0","9,478.0","8,149.0","10,028.0","7,420.0","6,270.0","3,713.0","1,565.0","999.0","2,208.0","1,517.0","1,193.0","1,526.0"
"279","243","    Defined benefit and defined contribution pension plans (188+191)","Y684RC1","9,214.0","9,618.0","11,019.0","12,046.0","10,716.0","9,422.0","7,848.0","4,398.0","1,969.0","2,446.0","1,276.0","-1,549.0","-2,706.0","-3,644.0","-4,049.0","-11,405.0","-11,447.0","-11,199.0","-12,368.0","-9,318.0","-2,194.0","586.0","3,653.0","14,035.0","14,041.0","15,696.0","18,070.0","17,602.0","22,204.0","30,910.0","36,030.0","45,012.0","53,565.0","54,946.0","50,594.0","63,782.0","60,813.0","59,606.0","40,684.0","30,951.0","22,518.0","35,253.0","15,932.0","15,059.0","3,175.0","-4,077.0"
"280","244","    Farm products consumed on farms (200)","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","399.0","386.0","313.0","292.0","289.0","277.0","246.0","254.0","214.0","219.0","174.0","194.0","166.0","146.0","125.0","118.0","106.0","103.0","111.0","155.0","159.0","175.0","152.0","162.0","145.0","155.0","160.0","146.0","318.0","313.0"
"281","245","    Employment-related imputations (203)","A2099C1","15,220.0","17,620.0","19,317.0","21,904.0","24,140.0","27,855.0","33,472.0","40,677.0","47,662.0","55,669.0","63,186.0","72,683.0","84,245.0","95,901.0","105,035.0","113,876.0","124,241.0","132,104.0","140,863.0","157,785.0","175,087.0","194,541.0","210,836.0","235,731.0","255,083.0","266,850.0","264,060.0","267,337.0","271,445.0","292,453.0","319,004.0","354,748.0","385,735.0","411,577.0","448,265.0","482,707.0","519,694.0","534,471.0","557,365.0","575,621.0","588,665.0","597,192.0","622,681.0","637,057.0","662,212.0","678,822.0"
"282","246","    Margins on owner-built housing (212)","B1173C1","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","2,107.0","499.0","7.0","639.0","625.0","1,060.0","1,135.0","1,323.0"
"283","247","    Consumption of general government fixed capital (213)","A265RC1","33,230.0","36,056.0","38,443.0","40,290.0","43,084.0","48,748.0","53,680.0","57,177.0","61,206.0","66,294.0","72,827.0","82,256.0","93,147.0","103,065.0","110,262.0","118,656.0","127,317.0","136,826.0","147,032.0","158,468.0","169,307.0","179,979.0","189,940.0","195,785.0","202,513.0","208,861.0","216,586.0","220,350.0","224,569.0","228,944.0","236,929.0","247,702.0","254,866.0","261,194.0","270,276.0","284,900.0","305,618.0","326,577.0","351,424.0","375,548.0","390,254.0","403,754.0","422,126.0","436,118.0","444,153.0","452,610.0"
"284","248","  Excluding imputations (237-238)","A2026C1","891,820.0","935,559.0","1,014,426.0","1,115,684.0","1,248,715.0","1,348,348.0","1,464,559.0","1,635,937.0","1,821,661.0","2,056,141.0","2,297,553.0","2,488,902.0","2,792,274.0","2,883,718.0","3,121,919.0","3,492,108.0","3,735,435.0","3,934,707.0","4,172,369.0","4,490,781.0","4,831,875.0","5,095,605.0","5,236,011.0","5,522,071.0","5,789,425.0","6,153,380.0","6,462,021.0","6,854,470.0","7,305,338.0","7,703,785.0","8,175,262.0","8,675,021.0","8,916,899.0","9,194,923.0","9,638,351.0","10,267,840.0","10,939,108.0","11,597,778.0","12,143,285.0","12,293,376.0","11,964,863.0","12,453,868.0","12,956,660.0","13,545,124.0","13,973,948.0","14,557,992.0"
"285","249","Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,451.0","1,654,571.0","1,859,721.0","2,078,195.0","2,317,464.0","2,596,506.0","2,779,472.0","2,970,275.0","3,281,770.0","3,516,329.0","3,725,688.0","3,955,860.0","4,276,349.0","4,619,874.0","4,906,423.0","5,073,390.0","5,413,049.0","5,648,990.0","5,937,283.0","6,280,973.0","6,667,027.0","7,080,668.0","7,593,685.0","7,988,413.0","8,637,061.0","8,991,584.0","9,153,855.0","9,491,109.0","10,052,896.0","10,614,037.0","11,393,944.0","12,000,178.0","12,502,228.0","12,094,789.0","12,477,120.0","13,254,522.0","13,915,118.0","14,068,385.0","14,694,185.0"
"286","250","  Imputations","A2106C1","74,068.0","84,351.0","93,626.0","101,316.0","103,184.0","113,273.0","132,240.0","134,484.0","145,194.0","164,022.0","174,403.0","185,073.0","198,643.0","217,876.0","259,026.0","304,789.0","331,873.0","339,127.0","359,645.0","397,981.0","433,026.0","464,614.0","489,692.0","559,435.0","604,062.0","648,759.0","657,246.0","664,824.0","683,204.0","711,881.0","747,995.0","787,078.0","840,939.0","897,541.0","978,449.0","1,052,487.0","1,078,038.0","1,049,269.0","1,048,391.0","1,147,372.0","1,236,949.0","1,300,100.0","1,381,110.0","1,392,927.0","1,429,907.0","1,465,180.0"
"287","251","    Owner-occupied housing (164-159)","A2028C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","6,927.0","7,034.0","5,628.0","5,500.0","5,547.0","1,894.0","972.0","-1,451.0","-4,457.0","-9,639.0","-10,021.0","-3,745.0","-3,520.0","-276.0","5,587.0","19,517.0","42,292.0","61,665.0","68,272.0","82,447.0","84,645.0","100,953.0","114,726.0","120,435.0","134,245.0","146,045.0","164,767.0","178,806.0","154,014.0","122,257.0","88,457.0","143,646.0","214,770.0","266,559.0","326,054.0","354,480.0","392,630.0","432,048.0"
"288","252","    Depositor financial services furnished without payment and premium supplements (171+182)","W570RC1","7,622.0","9,546.0","10,753.0","11,873.0","12,568.0","15,321.0","22,650.0","21,185.0","23,186.0","26,904.0","26,536.0","25,486.0","23,960.0","31,101.0","55,786.0","53,261.0","75,466.0","80,155.0","83,124.0","85,537.0","85,380.0","82,671.0","85,486.0","98,517.0","108,900.0","116,930.0","118,452.0","122,598.0","129,883.0","138,786.0","146,008.0","157,316.0","151,568.0","154,326.0","158,611.0","172,055.0","184,314.0","184,030.0","193,039.0","199,097.0","188,778.0","198,817.0","208,676.0","205,720.0","222,490.0","244,066.0"
"289","253","    Defined benefit and defined contribution pension plans (189+196+197-198+199)","Y685RC1","36,471.0","42,520.0","48,039.0","52,116.0","51,352.0","54,778.0","62,089.0","60,011.0","66,011.0","72,529.0","77,117.0","80,558.0","84,413.0","88,589.0","96,099.0","137,861.0","135,471.0","135,013.0","144,594.0","157,804.0","175,858.0","187,742.0","188,744.0","206,601.0","198,943.0","203,420.0","206,788.0","192,409.0","197,049.0","179,733.0","167,998.0","154,986.0","170,072.0","186,404.0","208,284.0","220,321.0","221,327.0","211,182.0","213,763.0","235,346.0","252,704.0","245,865.0","232,280.0","203,893.0","159,849.0","117,047.0"
"290","254","    Farm products consumed on farms (200)","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","399.0","386.0","313.0","292.0","289.0","277.0","246.0","254.0","214.0","219.0","174.0","194.0","166.0","146.0","125.0","118.0","106.0","103.0","111.0","155.0","159.0","175.0","152.0","162.0","145.0","155.0","160.0","146.0","318.0","313.0"
"291","255","    Food furnished to employees, including military and domestic service (204)","DFOORC1","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,470.0","10,226.0","10,876.0","12,135.0","13,922.0","14,727.0","15,012.0","15,599.0","15,305.0","16,778.0","17,134.0","17,394.0","17,893.0"
"292","256","    Standard clothing issued to military personnel (205)","DMICRC1","174.0","161.0","118.0","70.0","87.0","97.0","114.0","119.0","121.0","117.0","145.0","158.0","140.0","156.0","178.0","164.0","140.0","153.0","155.0","161.0","171.0","151.0","175.0","267.0","286.0","286.0","287.0","287.0","315.0","308.0","291.0","322.0","343.0","379.0","471.0","333.0","352.0","393.0","428.0","425.0","451.0","403.0","365.0","352.0","379.0","331.0"
"293","257","    Employees' lodging (206)","A2641C1","248.0","251.0","258.0","255.0","257.0","268.0","270.0","277.0","293.0","312.0","326.0","342.0","353.0","341.0","342.0","344.0","337.0","330.0","530.0","562.0","563.0","531.0","568.0","521.0","462.0","468.0","600.0","664.0","605.0","597.0","632.0","749.0","713.0","580.0","567.0","540.0","567.0","492.0","431.0","804.0","764.0","693.0","699.0","552.0","712.0","731.0"
"294","258","    Employer contributions for health and life insurance (207)","B4922C1","12,334.0","14,538.0","16,125.0","18,670.0","20,843.0","23,858.0","28,566.0","35,156.0","42,106.0","49,769.0","56,473.0","65,151.0","76,001.0","87,329.0","96,367.0","105,243.0","115,632.0","123,564.0","132,209.0","148,487.0","165,232.0","184,095.0","199,802.0","223,672.0","242,855.0","255,089.0","252,313.0","255,444.0","259,434.0","280,232.0","306,409.0","341,562.0","372,044.0","397,313.0","432,432.0","465,844.0","501,026.0","513,333.0","535,287.0","552,381.0","563,731.0","571,664.0","595,473.0","609,591.0","635,000.0","651,428.0"
"295","259","    Margins on owner-built housing (212)","B1173C1","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","2,107.0","499.0","7.0","639.0","625.0","1,060.0","1,135.0","1,323.0"
"296","260","  Excluding imputations (249-250)","A2107C1","726,190.0","780,247.0","838,511.0","922,258.0","1,035,341.0","1,136,068.0","1,234,644.0","1,363,967.0","1,509,377.0","1,695,699.0","1,903,792.0","2,132,391.0","2,397,863.0","2,561,596.0","2,711,249.0","2,976,981.0","3,184,456.0","3,386,561.0","3,596,215.0","3,878,368.0","4,186,848.0","4,441,809.0","4,583,698.0","4,853,614.0","5,044,928.0","5,288,524.0","5,623,727.0","6,002,203.0","6,397,464.0","6,881,804.0","7,240,418.0","7,849,983.0","8,150,645.0","8,256,314.0","8,512,660.0","9,000,409.0","9,535,999.0","10,344,675.0","10,951,787.0","11,354,856.0","10,857,840.0","11,177,020.0","11,873,412.0","12,522,191.0","12,638,477.0","13,229,005.0"
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","1. Prior to 1999, current taxes, contributions for government social insurance, and transfer receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","from the rest of the world (line 125) are not separately displayed, and line 135 includes current taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","and transfer payments to the rest of the world net of current taxes, contributions for government social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","insurance, and transfer receipts from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","2. Residential dwellings owned and used by nonprofit institutions serving households are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","owner-occupied housing categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","3. Classified as a service in exports, and as an income payment to the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","4. Classified as a service in exports, and as an income receipt from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","5. For general government employees, recorded as compensation of employees (wages and salaries) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","as a sale; does not affect government consumption expenditures. Similar payments for employees of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","enterprises are not included in government consumption expenditures; they are deducted in the calculation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","of the surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","6. Health insurance premiums paid by employers are included in the calculation of the 'net health insurance'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","category of personal consumption expenditures (PCE); life insurance premiums paid by employers are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","in the calculation of the 'life insurance' category of PCE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","7. Consists of the programs for which a social insurance fund is imputed, and for which contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","are set equal to benefits paid. These payments are funded directly out of the current budget. The specific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","programs consist of workers' compensation, unemployment insurance, and medical services for the dependents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","of active duty military personnel at nonmilitary facilities. Source data are not available for the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","treatment for similar state and local government programs. Similar payments for employees of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","enterprises are not included in government consumption expenditures; they are deducted in the calculation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","of the surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","8. Consists of owner-occupant purchases of new single-family dwellings, including manufactured homes,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","expenditures on improvements, and payments of commissions on new and existing residential dwellings,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","less sales of dwellings to government. The series is calculated from the investment data prepared as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","part of BEA's capital stock estimates. It differs from the investment data shown in table 5.4.5 because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","the series shown in that table reflect total purchases by private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","9. Excludes investment by nonprofit institutions serving households in residential properties, which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","is included in owner-occupant investment (see footnote 2) and in sales of existing structures to governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","The series is calculated from the investment data prepared as part of BEA's capital stock estimates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","It differs from the investment data shown in table 5.4.5 because the series shown in that table reflect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","total purchases by private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","10. The consumption of fixed capital (CFC) of government enterprises is not included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","expenditures; it is deducted in the calculation of the current surplus of government enterprises and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","is recorded as part of total government CFC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","11. Includes gross investment of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Note. 'Imputations' are transactions recorded in the national income and product accounts (NIPAs) that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","are not transactions of the market economy. 'Reclassifications' arise when imputations necessitate a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","recording of market transactions that differs from what might be expected. For example, the NIPAs treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","owner-occupants as if they are rental businesses, and the taxes associated with owner-occupied housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","are reclassified from personal current taxes to taxes on production and imports. In this table, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","imputations and reclassifications shown in the 'specific imputations and associated reclassifications'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","section are primarily those that affect gross domestic product (GDP). Imputed interest received by persons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","from life insurance carriers (table 7.11, line 68), which records the property incomes earned on life",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","insurance and pension reserves as income received by persons and not by the insurance carriers, does",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","not affect GDP and is not considered an imputation for the purposes of this table.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
