"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"268","260","              Other imputed commissions","DICORX0",NA,NA,NA,NA,NA,NA,NA,NA,9246,10232,10633,9451,9150,8292,8779,7532,7687,7608,6776,6874,8336,7502,6190,6297,6445,5338,4952,5348,4664,4569,4751,4557,4015,4368,4861,4715,5060,5417,5215,5600,5872,6327,6637,7748,7945,8933,8700,9462,10191,10633,12672,10366,10535,9255,9211,6638,6225,6888,7247,7624,7650,8607,7053,7236,7119,6437,7765,6748,6508,7298,6772,6657
"269","261","            Mutual fund sales charges","DMUTRX0",3845,4491,4793,4866,5541,5853,5578,5970,6090,6447,7490,7875,7836,8536,8647,8575,8639,9048,8780,9856,12387,10757,10518,9996,9748,9490,8752,9941,9486,9574,9746,9278,8683,9983,11100,10807,11777,10778,10788,11665,11664,11039,11119,10918,11919,12127,11466,12505,13655,14766,15511,15703,15355,14483,13942,13422,11335,11619,12269,11844,11555,12334,11422,12096,12299,11193,11878,10802,11738,10802,10483,11505
"270","262","          Portfolio management and investment advice services","DPMIRX0",24304,24361,25585,26055,27025,28892,30203,31612,33110,34749,35862,37502,40414,43259,45831,47989,49431,52366,55955,58571,61730,64250,66662,66246,63790,61384,59137,58952,59597,59114,60199,62396,64677,61571,61490,63446,63670,65017,66593,69143,70456,71790,71851,70758,76309,81116,83681,86214,84910,86681,86163,86095,86775,87791,89287,88090,84256,80611,77159,76361,80304,83140,83363,81452,82113,82314,84420,82938,83261,82832,83598,86147
"271","263","          Trust, fiduciary, and custody activities","DTRURX0",7222,7315,7581,7366,7252,6765,7244,6570,6843,6873,7166,6959,6882,7177,7067,7614,7485,8004,7935,7218,7918,7673,7582,7212,7959,7894,7289,7631,7568,7922,7755,7693,7759,7782,7804,7808,7401,7441,7501,7589,7986,8148,8170,8030,7583,7354,7434,7794,8381,8750,8797,8514,7964,7552,7375,7432,7256,7039,7007,7161,7459,7723,7917,8039,8095,8133,8165,8189,8225,8264,8297,8321
"272","264","      Insurance","DINSRX0",254884,254125,250417,247874,244154,239830,236377,234387,237200,237252,237990,241383,243213,245171,244696,244783,244678,245549,247828,250606,257809,260235,261334,263314,261567,261854,262672,261727,257681,258504,260977,261159,262974,266215,267962,266813,263357,261775,263014,265710,269303,273472,276368,278437,277961,273952,270235,268350,268457,268889,267051,265627,262751,259133,253132,246754,238700,231879,229806,232787,239362,243580,244412,243554,240616,239633,240243,240441,239869,236917,234493,232723
"273","265","        Life insurance (110)","DLIFRX0",89701,90499,88111,86778,83825,80824,78308,76932,80497,80359,79856,81154,79168,78770,76432,75034,74698,74348,74995,75858,79803,80202,79397,79582,77794,76615,75724,72898,67504,66518,67063,66060,63827,64532,66291,68399,71010,73139,75104,75357,75007,76021,76932,78548,80053,79094,78139,78205,79445,79683,78553,78544,78790,79084,77421,75757,73038,69533,68315,69673,73166,75344,76066,76507,76153,76504,77865,78169,77894,77048,76354,76123
"274","266","        Net household insurance (111)","DFINRX0",6290,6222,6199,6215,6430,6403,6306,6153,5811,5611,5629,5853,6209,6508,6682,6722,6649,6578,6537,6521,6524,6535,6553,6574,6589,6568,6511,6401,6236,6053,5867,5686,5524,5457,5498,5635,5833,6011,6140,6220,6246,6225,6157,6039,5893,5866,5982,6233,6578,6866,7067,7180,7322,7380,7281,7020,6687,6445,6314,6293,6364,6435,6490,6527,6547,6562,6578,6593,6582,6559,6539,6518
"275","267","          Household insurance premiums and premium supplements","DFIPRX0",9733,9808,9879,9945,10016,10069,10113,10151,10164,10198,10268,10369,10488,10603,10712,10809,10894,10985,11094,11213,11336,11460,11585,11710,11837,12011,12248,12544,12885,13186,13436,13630,13775,13962,14230,14562,14911,15237,15503,15705,15851,16038,16289,16599,16942,17284,17612,17920,18196,18400,18535,18592,18582,18517,18399,18222,18142,18112,18065,17997,17910,17855,17851,17895,17973,18046,18109,18160,18158,18139,18123,18108
"276","268","          Less: Household insurance normal losses","DFIBRX0",4480,4556,4613,4653,4621,4668,4739,4830,4984,5097,5143,5117,5044,4997,5001,5055,5150,5252,5355,5457,5553,5645,5735,5821,5913,6066,6294,6605,6992,7364,7704,8008,8269,8503,8725,8923,9082,9235,9372,9491,9605,9811,10132,10562,11054,11429,11645,11698,11610,11509,11427,11359,11184,11046,11036,11150,11452,11701,11803,11755,11581,11441,11372,11376,11435,11495,11543,11580,11591,11596,11604,11612
"277","269","        Net health insurance (112)","DHINRX0",105893,104198,102802,101526,100652,99228,98230,97495,96712,96697,97527,99039,102198,103999,105457,106669,106753,107906,109476,111382,114566,116552,118340,119827,119619,120972,122598,124612,126750,129034,131250,132800,137383,139957,139518,135558,128810,124619,123645,126055,130195,133587,135771,136393,134541,131532,128706,126569,125107,125052,124227,122894,120123,116890,113469,110002,105951,103616,103589,105910,109607,112178,112766,111953,109831,108857,108387,108330,108205,106401,104959,103735
"278","270","          Medical care and hospitalization","DMINRX0",80713,79773,79181,78764,78879,78268,77742,77285,76522,76354,77172,78805,82179,84225,85992,87345,87437,88556,90005,91710,94675,96334,97733,98767,97995,98894,100115,101786,103614,105553,107353,108411,112673,115067,114527,110608,104058,99837,98557,100391,103790,106598,108390,108814,106962,104011,101282,99273,97985,98336,98137,97640,95815,93370,90516,87410,83751,81994,82672,85801,90367,93701,94913,94589,92839,92125,91813,91816,92031,90758,89833,89121
"279","271","          Income loss","DIINRX0",1089,1098,1111,1127,1130,1155,1197,1247,1319,1392,1460,1521,1575,1625,1672,1715,1753,1789,1823,1855,1884,1912,1941,1968,1995,2023,2053,2086,2120,2153,2187,2220,2247,2269,2290,2305,2312,2321,2328,2333,2336,2345,2361,2383,2409,2436,2463,2490,2514,2531,2542,2544,2539,2536,2535,2536,2538,2532,2518,2497,2468,2443,2425,2412,2404,2399,2398,2399,2387,2367,2348,2330
"280","272","          Workers' compensation","DPWCRX0",23681,22785,21859,20917,19930,19128,18647,18343,18226,18272,18255,18179,18115,17964,17746,17646,17607,17643,17765,17966,18231,18539,18888,19276,19687,20074,20428,20744,21031,21352,21736,22182,22517,22691,22752,22652,22415,22446,22762,23334,24067,24642,25020,25199,25175,25084,24947,24774,24558,24154,23553,22766,21858,21087,20517,20142,19746,19190,18517,17723,16840,16052,15406,14900,14524,14251,14081,14009,13640,13095,12552,12008
"281","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",52364,52448,52516,52553,52520,52627,52746,52959,53254,53590,53960,54341,54691,55013,55323,55595,55798,55936,56034,56060,56015,56061,56242,56543,56904,57168,57313,57321,57208,57075,56985,56919,56853,56886,57113,57467,57795,58070,58176,58098,57848,57642,57518,57450,57435,57450,57444,57411,57416,57385,57292,57115,56673,56005,55201,54239,53284,52440,51689,51025,50421,49858,49351,48892,48477,48174,48007,47972,47799,47529,47271,47015
"282","274","    Other services","DOTSRX0",522501,525146,522807,526648,535691,537272,551811,543038,558174,566819,578800,592452,606999,615339,631070,633280,643593,652496,660351,670526,684981,699269,713907,718500,721314,737744,737620,733830,737267,739561,735095,736248,750801,752471,757567,754643,763542,765906,771154,773145,777325,774396,775814,780843,787761,796865,799347,805712,815119,820226,812974,811480,813946,805933,799878,800224,795237,785919,785030,786517,786978,790232,794499,800131,807038,805039,803228,809158,811464,811264,812086,812786
"283","275","      Communication","DCOMRX0",86440,88034,90370,92574,94444,96818,98254,100449,103171,105292,109132,112492,114276,115722,119319,121531,124946,130746,136018,139731,144784,151954,156399,158821,160060,163321,164822,164663,165714,168204,167870,168101,169600,171241,172384,172485,174971,178439,180984,181846,182644,184235,185056,185658,189352,193196,195989,202130,205886,211665,213636,217204,220667,219641,217559,214741,215548,213821,211153,212535,217000,220238,221288,226195,231090,233152,233341,234564,233092,231676,233055,234612
"284","276","        Telecommunication services (71)","DTCSRX0",74728,76034,78068,79843,81279,83359,84548,86451,88738,90757,94541,97374,98651,99755,102658,103823,106179,110733,114540,116239,119299,124561,127840,129670,131725,134853,136317,135710,135862,136930,136469,135293,135778,137269,137952,137278,138963,141838,143856,143820,144375,145830,146424,146981,150940,154199,153227,154950,154196,155463,155500,157683,160176,159628,157692,154616,153963,151763,148671,148783,151739,153179,153801,156957,161784,163373,163804,165665,165542,165326,167181,168699
"285","277","          Land-line telephone services, local charges","DLOCRX0",48294,49223,49869,50153,50994,52925,52896,53791,54200,55138,56393,56895,57650,59042,59863,60603,61203,63842,64092,64541,65386,67281,66415,67552,68794,68839,67758,67752,67436,67843,66122,63817,62677,61090,58905,58124,57503,57160,56410,55552,54709,53462,52350,51164,52824,53931,53375,53194,50996,50749,49332,49292,50418,49369,47599,45228,45687,43545,40909,40085,40378,41203,40355,41633,41469,41281,40795,40189,39328,38580,38238,38251
"286","278","          Land-line telephone services, long-distance charges","DLDTRX0",24813,24666,25002,25614,25682,25557,25809,26339,27693,28417,29990,30928,30388,29678,30381,29721,29932,30625,31680,30702,30391,30911,31435,30034,28472,28779,28360,25634,24453,23462,23627,23141,22823,23782,24894,24963,25162,25610,25731,24340,23996,23844,23567,23100,22660,22385,20356,20254,19731,19891,19496,19531,19853,19249,18299,17072,16602,15936,15151,14453,13753,13338,12920,13050,13199,13340,13317,13186,12903,12658,12545,12550
"287","279","          Cellular telephone services","DCELRX0",5343,5855,6547,7026,7512,8112,8701,9088,9197,9463,10003,10858,11910,12698,13718,14881,16140,17456,19253,21510,23920,26579,29496,31959,34821,37419,40270,43089,44975,46876,47723,49188,51047,52864,54350,54359,56440,59165,61758,63960,65678,68514,70498,72725,75471,77916,79572,81621,83697,85093,87074,89342,90353,91584,92574,93375,92700,93553,94185,96096,99818,100923,103154,104888,110223,112033,113157,116188,117541,118602,121297,122988
"288","280","        Postal and delivery services (68)","DPSSRX0",11610,11603,11591,11768,11968,12007,12050,12053,12052,12092,12197,12417,12393,12252,12138,12358,12082,12034,11901,11929,12057,11958,11791,11817,11402,11272,11090,10740,10747,10827,10046,9714,9504,9348,9288,9344,9193,8916,8880,8937,8722,8650,8611,8447,8533,8424,8302,8282,8359,8457,8473,8351,8288,7935,7728,7689,7477,7305,7145,7067,6768,6741,6606,6628,6220,6207,6167,6095,5974,5855,5809,5788
"289","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",9248,9246,9245,9400,9566,9597,9643,9658,9680,9729,9815,9986,9909,9735,9606,9819,9579,9544,9407,9406,9487,9368,9209,9263,8916,8846,8724,8439,8496,8612,7881,7569,7349,7188,7129,7197,7076,6831,6820,6898,6708,6650,6616,6452,6520,6393,6252,6215,6287,6406,6459,6398,6497,6204,6055,5972,5771,5602,5485,5400,5293,5287,5143,5166,4858,4878,4824,4701,4600,4462,4361,4324
"290","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",2295,2289,2274,2291,2321,2329,2320,2304,2272,2257,2274,2323,2395,2449,2476,2471,2442,2429,2441,2477,2528,2557,2556,2521,2458,2393,2329,2266,2207,2162,2136,2126,2148,2161,2160,2144,2116,2086,2060,2038,2014,2000,1994,1996,2013,2032,2049,2064,2068,2050,2015,1957,1815,1752,1697,1732,1716,1708,1666,1671,1494,1475,1477,1477,1379,1353,1361,1396,1374,1381,1421,1431
"291","283","        Internet access (72)","DINTRX0",1288,1576,1862,2148,2432,2667,2869,3128,3541,3557,3429,3745,4265,4706,5432,6298,7519,8717,10227,12238,14118,16042,17305,17854,17355,17570,17754,18490,19370,20707,21529,23221,24413,24699,25201,25907,26841,27697,28257,29090,29543,29753,30022,30235,29879,30573,34449,39174,44475,49919,52323,54132,55337,55307,55572,56160,58371,59340,60278,61999,64208,66429,67142,69159,69684,70236,69984,69229,67746,66457,65867,65892
"292","284","      Education services","DTEDRX0",152028,152680,153125,154122,155260,156593,158364,159332,160237,160955,162212,163638,165105,166026,166660,168213,169121,169788,170516,172046,173841,175447,177333,178713,179787,180476,179598,178505,176467,175376,175863,174478,174444,174779,174209,173430,172331,170753,169528,169696,170297,170115,170279,170680,171024,171321,171116,172592,173117,173893,174409,175260,175210,175778,176858,176571,176397,175873,176325,177187,178796,180179,181270,181983,183081,183404,183409,183864,184189,184529,185324,185721
"293","285","        Higher education (97)","DHEDRX0",93142,93260,92958,93130,93958,94974,95936,97801,98409,98419,99032,99962,101100,101917,102690,103607,104429,105072,105571,106976,108135,109362,110643,111508,112511,113291,113506,112518,111200,110654,111162,110697,111002,111332,110979,110772,110007,108928,107947,108121,108647,108516,108981,108844,109002,109365,108968,109613,109695,110020,110194,110895,110994,111200,111872,111913,112486,112984,114088,114630,115456,116327,117132,117654,118201,118613,118906,119369,119704,120332,120706,120893
"294","286","          Proprietary and public higher education","DGEDRX0",54781,54884,54870,54699,54747,55121,55376,55522,55978,56459,56982,57521,58040,58562,59110,59659,60190,60789,61498,62286,63095,63816,64435,64931,65288,65602,65909,66191,66451,66720,67052,67427,67762,67874,67807,67463,66779,66320,66083,66059,66181,66331,66492,66637,66724,66866,67065,67307,67560,67798,68049,68287,68547,68837,69170,69520,70164,70954,71768,72594,73377,74022,74530,74888,75090,75258,75430,75593,75746,75911,76094,76281
"295","287","          Nonprofit private higher education services to households","DPEDRX0",38362,38377,38089,38432,39212,39854,40561,42280,42432,41961,42051,42441,43061,43356,43580,43949,44239,44284,44073,44691,45040,45547,46209,46578,47224,47689,47597,46327,44749,43934,44110,43270,43240,43459,43172,43308,43229,42608,41864,42062,42467,42184,42489,42206,42279,42499,41902,42306,42135,42222,42145,42608,42448,42362,42702,42393,42322,42030,42320,42036,42079,42304,42601,42766,43110,43355,43476,43776,43957,44421,44612,44612
"296","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",34299,34256,34145,34252,34211,34190,34232,34130,33900,33670,33415,33110,32798,32602,32641,32736,32798,32778,32579,32567,32570,32485,32299,32633,32774,32772,32480,32408,32130,31979,32168,31800,31827,31922,31843,31763,31752,31793,31776,31660,31755,31752,31696,31757,31830,31818,31765,32278,32320,32333,32520,32406,32268,32351,32461,32639,32259,31768,31247,30924,30904,30809,30860,30898,30962,31229,31434,31727,31839,31911,32082,32236
"297","289","          Elementary and secondary schools","DESCRX0",27190,27064,27061,27240,27222,27188,27312,27069,26713,26368,26042,25769,25594,25436,25365,25368,25325,25265,25152,25145,25040,24936,24844,25037,25102,25027,24725,24619,24417,24307,24373,24170,24120,24163,24115,23981,23963,23989,23927,23859,24005,24048,23958,24013,24117,24082,23927,24172,24137,24034,24130,24013,23922,24051,24274,24371,23978,23532,23084,22776,22826,22880,22881,22655,22480,22393,22466,22692,22814,22938,23127,23251
"298","290","          Day care and nursery schools","DNSCRX0",7245,7314,7220,7162,7141,7151,7083,7200,7300,7391,7445,7408,7278,7240,7338,7422,7517,7553,7471,7466,7563,7578,7489,7624,7696,7763,7766,7796,7721,7681,7798,7638,7711,7762,7730,7782,7789,7804,7848,7800,7750,7704,7738,7744,7713,7735,7839,8107,8184,8302,8395,8398,8351,8304,8187,8269,8285,8243,8172,8160,8087,7932,7984,8261,8513,8883,9021,9087,9074,9018,8994,9023
"299","291","        Commercial and vocational schools (99)","DVEDRX0",24479,25042,25886,26602,26952,27290,28056,27263,27780,28719,29624,30437,31093,31401,31217,31764,31792,31839,32278,32431,33074,33554,34366,34544,34485,34412,33641,33593,33147,32753,32541,32001,31636,31544,31406,30912,30581,30031,29801,29913,29893,29847,29602,30080,30192,30137,30384,30706,31112,31557,31715,31978,31964,32251,32553,32029,31634,31064,30895,31550,32375,32991,33220,33368,33871,33492,32971,32656,32523,32129,32392,32453
"300","292","      Professional and other services (121)","DPRSRX0",127802,127480,127807,127887,129318,129728,130139,130688,129933,131821,132579,133871,135905,135689,136309,136454,139251,139382,139208,139302,139644,139547,140672,140580,141918,142738,143888,143324,142552,142375,142384,143888,147073,148501,148005,147928,147806,146403,148217,149498,150786,149594,147484,146455,146400,148121,148696,149444,151222,150791,149809,149043,149287,149538,148249,146563,142908,140364,139016,136925,137206,136999,136681,135563,134510,134442,134064,134924,136544,138179,138934,138924
"301","293","        Legal services","DGALRX0",74067,74206,74340,74788,76039,76336,76865,77399,77535,78125,78693,79245,80163,80212,80119,80626,81796,82185,81944,81924,81210,81626,82148,81964,83011,82738,84019,83847,83357,83483,83420,84354,87421,87819,86859,86010,87025,86084,87485,88797,88867,87956,86504,85546,86020,87734,88282,89161,90701,89604,88403,87313,87203,87769,87388,86643,84264,82964,82787,81176,81514,81256,81157,80157,78869,78655,78386,79248,80975,82640,83414,83670
"302","294","        Accounting and other business services","DPRORX0",16064,15870,15843,15774,16046,16274,16494,16648,16689,16803,17071,17467,18001,18484,18899,19264,19580,19871,20183,20480,20760,21028,21274,21495,21673,21831,22001,22166,22322,22500,22658,22792,22970,23156,23397,23706,24008,24337,24657,24956,25180,25309,25352,25260,25059,25005,25139,25461,25939,26406,26812,27156,27399,27320,26902,26185,25146,24219,23569,23184,23008,22931,22931,22978,23090,23201,23296,23373,23462,23532,23595,23676
