"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"239","231","          Meals and nonalcoholic beverages","DMABRX0",312873,307881,310287,312603,312260,310922,311449,313395,311880,311390,310266,311786,310034,311410,313097,313182,314179,312737,313581,312475,313405,314796,317164,315944,318839,318956,318898,318258,317729,319505,321446,322014,321629,319246,316863,320296,321582,322323,323777,325853,326203,328210,326537,327525,329845,331252,331987,334533,328769,331681,329423,331540,333034,332964,331946,332870,335567,340173,341817,342153,344463,345494,349397,348323,347457,348641,349543,347321,350668,351102,349316,343489,354885,351605,349466,348514,350177,349345,349924,351282,343722,346470,345468,352359,351957,352108,349656,353918,351564,352773,352721,352304,355008,351610,354143,354896,357294,354764,358937,357697,363567,365144,366413,369829,367812,372411,373731,368759,373202,373346,375429,373961,374535,374686,376692,374079,377047,378105,378668,382174,379778,384146,379231,387404,385161,387245,386247,387309,388677,389825,393004,390333,403919,398013,399757,396636,395830,392723,391722,396413,398859,398347,398247,402710,397905,395789,402100,400743,404394,406173,407198,407017,408959,410626,407700,414024,408380,402418,402536,404962,405427,405062,403197,400394,400463,397438,396133,392076,392846,393500,389522,388914,388458,386944,385848,385796,385252,384586,388250,387477,386832,395496,397232,395233,394935,395370,395446,399554,400350
"240","232","            Meals at schools","DMSLRX0",14876,14935,14949,14880,14895,14929,14978,15042,15116,15225,15322,15406,15492,15554,15611,15605,15655,15738,15841,15941,16046,16145,16229,16317,16395,16468,16536,16601,16660,16714,16764,16810,16850,16883,16909,16927,16940,16955,16976,17005,17039,17080,17126,17180,17238,17302,17370,17443,17522,17594,17664,17734,17802,17870,17934,17996,18055,18111,18161,18208,18252,18292,18332,18374,18412,18452,18491,18530,18568,18604,18638,18671,18701,18726,18749,18769,18786,18802,18813,18822,18829,18831,18828,18822,18817,18809,18803,18802,18806,18814,18825,18840,18860,18882,18907,18933,18963,18985,19005,19022,19037,19057,19075,19089,19099,19106,19108,19106,19072,19064,19058,19056,19056,19056,19058,19063,19068,19076,19082,19089,19097,19108,19127,19155,19191,19232,19282,19339,19403,19473,19546,19629,19568,19520,19481,19455,19442,19441,19453,19476,19512,19559,19616,19687,19759,19828,19895,19963,20029,20095,20162,20226,20291,20352,20413,20472,20527,20576,20617,20652,20682,20706,20725,20737,20744,20742,20732,20715,20691,20668,20648,20632,20619,20610,20606,20606,20611,20617,20626,20637,20656,20674,20691,20710,20729,20749,20770,20792,20815
"241","233","              Elementary and secondary school lunches","DESLRX0",5637,5657,5668,5676,5692,5708,5721,5740,5761,5787,5815,5839,5861,5881,5902,5914,5932,5957,5980,6006,6034,6054,6077,6105,6139,6169,6198,6225,6250,6273,6293,6312,6328,6342,6352,6360,6365,6370,6376,6384,6394,6405,6417,6431,6446,6462,6479,6496,6515,6532,6549,6567,6586,6605,6623,6642,6661,6680,6697,6714,6731,6747,6763,6779,6794,6809,6825,6839,6854,6868,6882,6894,6906,6915,6922,6927,6930,6930,6929,6925,6920,6911,6900,6886,6872,6857,6842,6829,6818,6809,6801,6794,6789,6785,6782,6779,6778,6775,6773,6771,6770,6772,6774,6777,6780,6783,6786,6788,6781,6783,6785,6789,6793,6797,6802,6807,6812,6818,6824,6829,6835,6838,6842,6846,6850,6854,6857,6860,6863,6865,6865,6865,6855,6846,6837,6829,6823,6818,6814,6812,6810,6809,6809,6810,6789,6768,6748,6731,6715,6701,6689,6679,6670,6662,6656,6652,6648,6643,6637,6630,6622,6614,6604,6594,6583,6571,6557,6542,6526,6510,6497,6485,6475,6467,6462,6458,6456,6456,6457,6460,6451,6441,6431,6422,6413,6404,6395,6387,6379
"242","234","              Higher education school lunches","DHSLRX0",9238,9278,9281,9203,9204,9221,9257,9301,9355,9437,9507,9567,9631,9674,9709,9690,9723,9781,9861,9935,10012,10091,10152,10211,10257,10299,10338,10376,10410,10441,10470,10498,10521,10541,10556,10567,10575,10585,10600,10621,10645,10675,10709,10749,10793,10840,10892,10947,11007,11062,11115,11167,11217,11265,11311,11353,11394,11431,11464,11493,11520,11545,11569,11595,11618,11642,11667,11690,11714,11736,11757,11777,11795,11811,11827,11843,11857,11871,11884,11897,11909,11919,11928,11935,11945,11952,11961,11973,11987,12005,12024,12046,12071,12097,12125,12154,12185,12210,12232,12251,12267,12285,12300,12312,12319,12323,12322,12317,12291,12281,12273,12267,12263,12259,12257,12256,12256,12258,12259,12260,12263,12270,12285,12308,12340,12378,12425,12479,12540,12608,12681,12763,12713,12674,12644,12626,12619,12623,12639,12664,12702,12749,12807,12877,12971,13060,13147,13232,13314,13394,13472,13548,13621,13690,13757,13820,13879,13932,13980,14022,14060,14092,14120,14143,14160,14171,14175,14173,14165,14157,14151,14146,14143,14143,14145,14148,14154,14161,14168,14177,14205,14232,14260,14288,14316,14345,14375,14405,14437
"243","235","            Other purchased meals","DOPMRX0",298049,292988,295384,297775,297415,296040,296517,298401,296808,296204,294978,296414,294570,295884,297517,297607,298555,297025,297764,296552,297375,298667,300952,299640,302458,302501,302373,301665,301074,302797,304690,305212,304785,302364,299950,303370,304645,305371,306807,308856,309171,311139,309416,310350,312613,313957,314624,317099,311246,314087,311754,313803,315229,315090,314005,314867,317507,322061,323654,323944,326211,327202,331068,329950,329044,330188,331051,328789,332098,332495,330675,324817,336180,332876,330715,329744,331389,330542,331109,332458,324896,327642,326644,333535,333138,333297,330854,335112,332757,333957,333894,333462,336145,332726,335232,335960,338328,335773,339928,338670,344526,346083,347335,350737,348709,353303,354621,349650,354128,354281,356370,354904,355479,355629,357633,355016,357978,359029,359585,363085,360680,365038,360104,368250,365970,368012,366964,367971,369274,370353,373458,370704,384351,378493,380276,377181,376389,373282,372269,376937,379349,378790,378631,383025,378146,375960,382205,380781,384367,386079,387037,386791,388669,390274,387287,393550,387852,381844,381920,384311,384746,384356,382473,379657,379720,376696,375401,371360,372155,372832,368874,368282,367839,366333,365242,365190,364640,363968,367624,366840,366176,374828,376547,374528,374212,374626,374682,378769,379543
"244","236","              Meals at limited service eating places","DMLSRX0",158225,156565,157275,157312,156903,155438,154543,157504,157385,156686,155814,157660,156866,156750,156546,156077,156873,156409,156242,153842,152530,153566,153835,153269,151761,153191,152702,153481,152940,154934,153721,153518,152699,151828,151361,151410,154637,154176,155943,157802,158421,158025,158154,159724,160323,161020,161200,160621,158283,160621,158470,158246,159828,159180,158859,158650,160475,163174,163871,163893,165302,164808,165933,166496,166182,168332,167012,166622,168118,167982,167443,163945,170408,169901,169106,167654,167503,166928,167817,167427,164698,167340,166111,169062,168267,169175,168007,170203,169284,170015,170576,170436,172619,169287,170430,168854,173553,171038,173329,173599,176363,177622,177414,177795,178805,182482,183098,181074,181774,182505,184881,184920,183930,183979,185016,184102,185283,184243,185957,188633,187149,189182,186610,190688,190405,191506,190868,190852,190345,189775,193909,191708,200638,197132,198155,195581,195416,193738,192739,195430,196695,195876,194864,195025,193135,191552,196383,193918,198200,200016,200164,201129,202286,202009,200681,203218,201576,198175,198050,199357,199475,199293,198805,197421,197876,198001,196729,193691,193680,194765,192548,193213,192872,191847,190545,191398,189576,188790,191866,191551,192963,197237,197624,194465,195106,196445,196466,199140,199583
"245","237","              Meals at other eating places","DMOERX0",138048,134664,136355,138667,138711,138811,140147,139080,137538,137675,137321,136915,135908,137338,139175,139767,139922,138845,139767,140965,143074,143361,145368,144598,148963,147629,147997,146484,146438,146157,149228,149937,150359,148800,146876,150265,148272,149405,149052,149261,148931,151242,149369,148747,150386,151021,151507,154526,151089,151503,151245,153522,153408,153888,153173,154232,155002,156808,157679,157918,158739,160179,162822,161197,160585,159615,161770,159922,161762,162305,161044,158660,163520,160764,159399,159871,161670,161349,160982,162642,157794,157864,158073,161962,162392,161642,160387,162425,160953,161405,160727,160559,161082,160967,162299,164573,162238,162213,164001,162466,165519,165860,167292,170248,167281,168168,168884,165999,169701,169129,168886,167406,168948,169043,170045,168338,170108,172179,171045,171876,170949,173250,170918,174913,172955,173876,173459,174449,176236,177885,176843,176276,180931,178552,179308,178778,178134,176716,176702,178688,179892,180076,180939,185154,182187,181635,182983,184047,183322,183247,183928,182872,183540,185453,183791,187532,183560,180976,181126,182169,182512,182254,180757,179385,179063,175904,175918,174897,175739,175348,173589,172319,172249,171743,172032,171148,172458,172544,173086,172608,170501,174754,176183,177397,176412,175463,175511,176871,177197
"246","238","              Meals at drinking places","DMDPRX0",1785,1772,1764,1803,1807,1793,1826,1823,1893,1850,1849,1849,1807,1804,1800,1765,1763,1775,1757,1740,1760,1730,1735,1759,1710,1662,1653,1682,1679,1692,1720,1733,1702,1712,1692,1667,1717,1769,1794,1781,1811,1852,1882,1878,1899,1911,1912,1928,1857,1959,2022,2003,1971,1993,1949,1953,2002,2056,2079,2106,2145,2183,2274,2225,2247,2228,2236,2222,2193,2177,2162,2183,2228,2200,2203,2201,2186,2234,2287,2353,2381,2427,2442,2487,2453,2458,2440,2463,2501,2520,2578,2454,2437,2455,2485,2500,2532,2505,2582,2597,2633,2595,2615,2668,2614,2654,2639,2580,2647,2644,2607,2583,2600,2607,2572,2577,2586,2603,2582,2576,2581,2604,2574,2648,2609,2629,2636,2669,2695,2697,2705,2722,2783,2811,2816,2823,2842,2829,2828,2821,2764,2838,2824,2835,2816,2765,2836,2810,2842,2817,2945,2792,2845,2813,2816,2801,2716,2693,2745,2784,2759,2808,2910,2848,2772,2759,2729,2763,2736,2705,2724,2718,2688,2716,2652,2613,2608,2644,2657,2665,2665,2795,2705,2664,2678,2686,2673,2718,2723
"247","239","          Alcohol in purchased meals","DAPMRX0",44589,43631,43718,44234,44127,43849,44371,43993,44157,43680,43489,43351,42608,42710,42794,42290,42195,41971,42090,41958,42358,41995,42374,42170,42199,41442,41274,41336,41052,41061,41716,41906,41641,41437,40851,41226,41469,42331,42711,42837,43575,44396,44151,44197,44684,45005,45258,45940,44678,45694,46118,46534,46058,46268,45796,45972,46593,47757,47972,47989,48645,49314,50880,50494,50352,49858,50139,49661,50170,50203,49818,49352,50988,50486,50312,50165,50431,50976,51533,52683,51673,52134,52621,54679,54210,54288,53692,54225,54181,54630,54916,54046,53726,53693,53919,54807,54075,53770,54859,54874,56047,55962,56258,57294,55912,56450,56528,55622,56775,56756,56429,55664,55952,55868,55930,55637,56255,56559,55994,56161,55986,56863,55793,57119,56582,56857,56795,57209,57412,57872,57765,57734,59411,58665,58943,58866,58617,58163,58098,58497,58365,59096,59260,60410,59169,58777,59569,59206,59085,59174,59788,58930,59295,59380,59224,60257,58324,57624,58062,58038,57976,58285,58906,57876,57102,56953,56724,56855,56889,56657,56240,55825,55635,55592,55145,54833,54660,54809,55058,54878,54496,56379,56198,56348,56218,56021,55929,56419,56357
"248","240","        Food furnished to employees (including military) (103)","DFOORX0",9764,9765,9774,9770,9772,9802,9807,9812,9815,9797,9801,9807,9805,9811,9825,9816,9830,9824,9824,9824,9813,9825,9828,9828,9830,9831,9832,9833,9835,9834,9827,9824,9826,9832,9837,9838,9846,9851,9856,9860,9873,9887,9902,9909,9915,9921,9923,9931,9941,9957,9966,9980,9989,10011,10016,10016,10019,10031,10045,10065,10075,10080,10092,10111,10124,10132,10139,10157,10174,10174,10188,10200,10218,10230,10236,10244,10253,10264,10281,10296,10305,10300,10296,10291,10300,10307,10317,10320,10332,10341,10360,10379,10412,10447,10487,10518,10568,10594,10619,10631,10644,10662,10675,10695,10718,10765,10779,10782,10793,10805,10827,10840,10873,10906,10933,10961,10998,11062,11116,11164,11221,11301,11389,11486,11593,11705,11831,11968,12086,12166,12290,12426,12649,12776,12878,12933,12979,13006,13044,13077,13097,13121,13147,13174,13194,13203,13197,13194,13195,13208,13207,13194,13171,13137,13111,13067,13023,12988,12951,12925,12893,12882,12870,12854,12849,12843,12831,12822,12822,12824,12824,12828,12845,12865,12882,12888,12884,12876,12871,12864,12847,12829,12809,12788,12764,12743,12720,12689,12675
"249","241","          Food supplied to civilians","DCFDRX0",9050,9052,9063,9061,9065,9097,9104,9112,9118,9103,9110,9120,9123,9132,9150,9145,9163,9160,9164,9168,9160,9177,9184,9186,9190,9193,9197,9201,9204,9206,9202,9201,9206,9214,9222,9225,9233,9239,9246,9253,9268,9283,9297,9303,9312,9317,9322,9330,9340,9355,9364,9377,9386,9398,9402,9404,9403,9415,9427,9444,9448,9450,9457,9469,9478,9482,9487,9499,9512,9508,9512,9521,9543,9555,9559,9566,9572,9581,9593,9600,9600,9585,9568,9554,9555,9552,9552,9543,9546,9544,9550,9560,9581,9609,9637,9656,9675,9684,9695,9694,9699,9709,9718,9735,9753,9781,9805,9828,9847,9862,9882,9902,9928,9945,9957,9962,9973,9990,10013,10033,10051,10072,10091,10116,10136,10157,10173,10193,10202,10206,10210,10223,10248,10272,10301,10327,10343,10348,10361,10382,10405,10423,10447,10477,10505,10526,10544,10562,10580,10597,10609,10618,10630,10646,10667,10683,10691,10696,10701,10708,10708,10703,10696,10690,10681,10668,10650,10630,10609,10592,10574,10559,10555,10557,10559,10554,10548,10541,10534,10526,10523,10524,10532,10539,10545,10553,10559,10567,10574
"250","242","          Food supplied to military","DMFDRX0",714,713,711,709,707,705,703,700,697,694,691,687,682,679,675,671,667,664,660,656,653,648,645,642,640,638,635,632,631,628,625,623,620,618,615,613,613,612,611,607,605,605,605,606,603,604,601,601,601,602,602,603,604,614,614,612,616,616,617,622,627,630,634,642,645,650,652,658,662,666,676,679,675,675,677,677,681,683,687,696,705,715,728,737,745,755,766,777,786,798,810,819,831,838,851,862,893,910,924,937,945,953,957,961,965,985,973,954,946,943,945,939,946,961,976,999,1025,1071,1104,1131,1170,1229,1298,1370,1458,1548,1658,1775,1883,1960,2080,2204,2401,2505,2577,2607,2637,2660,2684,2696,2692,2698,2701,2698,2689,2678,2654,2632,2616,2612,2598,2576,2541,2492,2444,2385,2332,2292,2250,2216,2185,2179,2173,2163,2168,2175,2182,2192,2212,2232,2250,2269,2290,2308,2323,2334,2336,2336,2337,2338,2324,2305,2277,2249,2219,2190,2161,2122,2100
"251","243","      Accommodations (104)","DACCRX0",51386,50971,50920,50021,50004,50025,49767,49811,50869,50471,51713,51257,50839,50848,53218,52148,52203,52846,52861,53466,53469,53979,54142,54452,55755,56383,55800,56977,56799,56441,56890,58125,57445,57261,57968,58713,58780,57979,57195,57740,57654,57695,57445,57052,57649,58160,57356,58045,58941,58788,58920,58826,57919,57850,59126,58350,60095,60228,60307,59553,59581,60630,62011,61651,62691,63145,62076,62743,65126,63042,63849,62635,62466,61406,61741,59842,59888,60185,58306,60107,52662,54057,55772,56274,56955,59034,58490,60277,59712,60126,59890,61824,59519,60650,60862,61485,61009,61106,60162,60270,62037,62090,63734,65446,62791,63941,63572,64170,64291,64157,65376,64975,64980,65222,66217,65470,66730,67331,65953,67044,67598,67854,68369,69819,68873,69557,70244,69900,71932,70078,72716,72948,72599,71989,72402,72072,72050,72187,71445,71216,72147,71602,72176,71865,72341,72650,74433,72348,73448,73228,71739,73712,73248,74975,75457,74350,75629,76022,74894,77649,76809,75832,75572,76889,75158,74645,72018,73434,71531,71112,69539,70942,70036,70500,73119,71425,71409,71080,70073,73382,72307,73315,74245,74827,73920,73978,76124,74967,75891
"252","244","        Hotels and motels","DHOTRX0",39665,39254,39200,38328,38300,38308,38045,38089,39073,38680,39842,39374,38910,38873,41112,40076,40110,40711,40716,41313,41310,41781,41950,42264,43509,44110,43548,44676,44504,44160,44590,45775,45123,44949,45632,46353,46425,45662,44915,45441,45359,45397,45154,44771,45337,45819,45039,45689,46537,46381,46497,46395,45511,45432,46647,45887,47552,47667,47732,46997,47013,48010,49323,48958,49938,50350,49297,49909,52165,50129,50868,49662,49460,48401,48687,46820,46832,47091,45253,46967,39719,41046,42696,43167,43818,45831,45282,47006,46427,46800,46534,48393,46085,47150,47307,47869,47345,47388,46400,46455,48161,48161,49740,51389,48706,49803,49396,49951,50053,49884,51061,50624,50587,50787,51735,50949,52160,52713,51298,52341,52848,53062,53536,54936,53951,54591,55231,54843,56845,54938,57545,57738,57346,56693,57069,56703,56646,56749,55972,55712,56618,56045,56597,56263,56703,56978,58734,56604,57668,57409,55880,57809,57302,58990,59430,58275,59515,59864,58679,61401,60492,59440,59106,60363,58529,57924,55158,56512,54461,53936,52219,53594,52577,52993,55671,53839,53771,53382,52291,55753,54554,55559,56481,57027,56005,55998,58184,56908,57813
"253","245","        Housing at schools","DSCHRX0",11820,11834,11841,11852,11866,11882,11902,11900,11936,11952,11987,12024,12101,12157,12203,12214,12236,12253,12266,12244,12251,12273,12258,12237,12242,12244,12247,12249,12250,12251,12251,12252,12251,12248,12243,12235,12226,12218,12211,12208,12207,12209,12213,12220,12229,12239,12251,12263,12278,12291,12303,12317,12331,12347,12362,12378,12393,12408,12421,12433,12446,12459,12477,12499,12524,12552,12586,12622,12663,12706,12751,12800,12852,12899,12943,12985,13023,13058,13090,13120,13146,13168,13186,13200,13213,13227,13243,13266,13293,13325,13362,13403,13449,13500,13554,13611,13673,13730,13784,13837,13889,13944,13999,14050,14099,14146,14189,14230,14247,14283,14320,14359,14401,14442,14484,14528,14572,14618,14662,14706,14751,14792,14835,14878,14923,14966,15009,15052,15094,15136,15175,15214,15257,15297,15334,15371,15405,15439,15471,15501,15530,15555,15577,15599,15633,15667,15701,15738,15775,15815,15857,15900,15945,15989,16035,16081,16128,16176,16227,16281,16340,16402,16469,16539,16613,16689,16768,16850,16934,17011,17083,17148,17208,17264,17314,17359,17398,17431,17456,17475,17526,17578,17629,17681,17733,17786,17841,17896,17952
"254","246","    Financial services and insurance","DIFSRX0",480468,481802,483877,485600,488303,489033,491582,490568,494904,492278,495004,499644,500151,502878,508616,506019,510147,509728,505187,504625,509839,509315,512494,514119,516987,517583,516886,514728,520827,519266,527622,533428,532919,537660,530336,534469,534892,541434,544662,549367,548898,560829,557371,563150,573088,572157,577423,580339,584118,580653,583816,595402,598175,600262,605139,611300,614871,617551,633973,642213,650608,663904,672672,667869,659066,665628,664419,666794,668291,669053,664155,672112,664760,655337,657301,659424,658710,658446,653191,655768,660696,665595,669138,670417,663884,663308,659778,657056,656780,659846,667799,657414,652892,655964,655727,649560,648471,646773,648373,646708,653418,659439,659044,657951,665549,664922,668787,674104,681558,682850,685006,688502,686515,685106,687966,690048,693902,700758,706583,712516,702789,703145,703656,709540,709345,713368,714635,718730,718219,716858,718958,722190,723958,726209,727936,728877,732734,732323,731343,735905,739638,743891,748304,754116,751517,756376,759667,761652,766044,769265,769970,774174,765283,769635,778448,774621,777701,774019,772991,771723,772891,771786,772866,768222,777288,772636,761723,757359,752295,755127,754323,749059,746283,743312,739663,739339,739197,736674,732536,728360,726638,728100,727449,731067,733212,724116,722533,725963,723875
"255","247","      Financial services","DFNLRX0",242108,242871,244444,245929,248800,251050,253994,253935,258289,256527,259698,264299,265932,269521,275456,275071,279469,279023,277065,277257,281476,282311,285812,287044,288144,288090,286544,284908,290832,289946,297015,301480,300869,303976,296262,299071,299940,304993,306919,310242,310210,321409,318269,323420,332651,331912,336585,338745,342626,339511,342384,352968,354856,356199,360192,365120,367867,369790,384297,390329,394798,405851,412981,408154,399313,405248,403999,405687,406803,406340,401467,409078,402998,394748,397173,398360,397887,397119,391890,394000,398837,403956,407767,409188,405625,405841,402911,400115,398753,400657,407337,397138,392683,395605,395300,389557,388213,386460,387929,385497,391016,395139,393756,391918,398376,396952,399406,403346,410127,410291,411417,413861,410872,408273,410131,410825,413548,419653,425119,430764,420733,420862,420782,426109,425027,428106,428706,432372,431641,429477,430403,432284,433484,435727,437966,439744,444780,445467,445209,450065,454073,458512,462819,468821,466196,469620,471517,472799,477099,480542,481348,485567,476486,480836,489136,485317,488815,485372,484943,484148,485951,485782,487935,484559,495425,491173,481815,478610,474729,477771,478126,474010,472944,470784,467553,468667,468816,466970,462383,457935,456850,458766,458950,463141,465804,456916,455515,459596,458009
