"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)","DNPIRA3",3.195,3.562,3.656,3.765,3.902,4.334,4.563,4.713,4.93,5.188,5.24,5.568,5.893,6.196,6.248,6.149,6.183,6.559,6.673,6.985,7.22,7.595,8.226,9.65,11.201,13.04,14.075,15.982,17.252,19.834,22.811,27.766,31.714,38.301,41.443,45.073,47.225,49.921,45.951,50.456,54.38,58.925,63.79,70.346,74.748,76.198,76.063,85.722,88.005,99.124,100,100.821,101.044,106.38,103.868
"344","337","    Gross output of nonprofit institutions (133)","DNPERA3",13.176,13.708,14.315,15.072,15.939,17.184,18.206,19.396,20.555,21.963,23.098,24.276,26.005,27.489,28.277,28.645,29.742,31.341,32.543,34.327,35.296,36.359,37.862,39.496,40.995,42.423,43.895,46.063,47.925,50.511,52.342,55.48,57.527,60.636,62.138,63.474,64.321,65.963,66.913,70.125,72.512,75.264,78.863,83.542,85.256,87.489,89.66,93.149,95.304,98.382,100,101.255,102.555,105.55,106.925
"345","338","      Health, gross output","DHLGRA3",9.618,10.164,10.767,11.704,12.724,13.575,14.329,15.564,16.64,18.355,20.103,21.38,23.646,25.3,26.533,27.923,29.877,31.847,33.559,35.579,36.619,38.106,39.908,41.211,42.904,43.654,44.626,46.495,48.748,51.341,53.099,56.161,58.58,61.73,63.472,64.074,64.77,65.798,67.66,70.388,72.252,73.682,75.986,80.301,82.971,85.508,88.952,92.267,94.173,96.501,100,101.679,104.524,107.566,110.555
"346","339","        Outpatient services, gross output","DOUGRA3",6.963,7.631,8.288,9.587,10.743,12.387,13.465,13.685,11.668,12.211,11.937,12.071,12.079,12.911,14.645,15.213,16.254,17.413,18.396,18.92,19.773,20.028,21.726,21.436,24.583,27.581,30.227,32.978,36.426,39.574,42.261,48.157,51.324,55.087,61.81,67.018,72.588,75.232,75.886,77.683,79.531,81.779,86.363,95.611,97.431,98.615,98.971,100.046,98.276,97.529,100,101.538,104.78,109.506,114.941
"347","340","        Nonprofit hospitals, gross output","DHSORA3",10.98,11.39,11.952,12.857,13.833,14.425,15.223,16.567,18.042,19.908,21.869,23.317,25.9,27.712,28.855,30.455,32.653,34.857,36.729,39.007,40.136,41.863,43.841,45.594,46.963,47.282,47.976,49.714,51.585,53.627,55.455,58.043,60.681,63.643,64.708,64.547,64.283,64.833,66.295,69.173,71.024,72.382,74.234,78.189,80.866,83.734,87.429,90.99,93.376,96.231,100,101.818,104.889,107.946,110.87
"348","341","        Nonprofit nursing homes, gross output","DNXORA3",1.875,3.244,4.055,4.772,5.896,7.725,7.761,9.223,10.728,12.517,14.801,15.994,18.279,19.57,20.845,21.499,22.541,23.551,24.787,26.432,26.949,27.908,28.392,27.851,30.569,32.328,33.696,35.624,39.677,46.301,46.357,50.117,49.814,53.872,55.492,57.129,60.186,63.359,70.037,72.623,74.629,75.727,79.235,81.005,84.576,85.816,90.61,94.38,96.345,97.653,100,100.638,101.045,101.995,102.699
"349","342","      Recreation services, gross output","DRCGRA3",11.151,11.492,11.796,12.226,12.635,13.016,12.836,13.589,13.947,14.207,14.399,14.581,14.397,14.8,15.804,16.557,17.195,18.374,19.542,20.692,22.423,24.75,28.042,30.597,32.059,33.293,37.194,39.493,40.511,43.542,46.746,50.51,52.762,57.263,59.65,60.408,60.903,60.452,61.501,63.368,66.997,70.731,75.477,79.188,83.123,86.284,90.136,94.224,98.667,102.374,100,97.159,96.148,100.651,103.094
"350","343","      Education services, gross output","DEDGRA3",20.172,21.319,22.803,24.191,25.5,27.233,29.779,31.667,32.918,34.925,36.299,37.413,38.407,39.877,40.075,38.684,38.832,38.81,38.629,40.211,40.491,41.136,41.837,43.576,45.268,46.97,48.888,50.572,52.729,54.079,56.221,57.89,58.789,60.103,62.007,63.508,65.548,67.396,67.356,70.51,73.36,76.661,82.111,86.678,86.624,86.996,88.162,91.138,95.345,97.91,100,101.099,103.867,107.727,108.575
"351","344","      Social services, gross output","DSSGRA3",3.808,3.959,4.054,3.863,4.148,5.312,6.091,7.205,8.303,8.895,9.569,10.244,11.542,13.371,13.793,12.974,13.444,15.082,16.606,18.375,19.767,20.497,21.127,21.987,23.4,25.133,27.764,30.045,32.673,34.057,36.31,38.619,40.686,43.617,45.867,47.523,50.026,51.839,55.525,59.801,65.075,71.432,79.868,84.757,87.738,87.944,90.042,91.789,93.765,97.482,100,102.977,102.132,100.523,101.098
"352","345","      Religious organizations, gross output","DREORA3",35.875,34.97,36.126,36.533,37.688,39.951,41.43,40.841,43.665,43.473,43.407,44.69,46.369,46.868,47.839,45.385,45.302,46.402,46.447,48.049,47.72,45.713,48.843,50.1,50.972,52.673,55.146,56.923,56.795,58.193,60.204,63.993,66.468,68.105,70.407,75.955,77.481,82.806,82.02,86.276,87.412,88.731,92.983,96.653,96.169,99.28,99.918,100.098,103.183,100.498,100,94.837,91.48,90.001,90.021
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORA3",2.455,3.4,4.359,4.971,5.98,5.37,9.569,10.14,9.566,8.413,10.719,12.525,19.31,16.473,14.946,19.412,19.062,20.43,23.137,20.118,24.935,25.922,26.283,29.537,32.465,34.086,36.592,38.954,42.377,46.373,54.036,53.428,58.251,58.269,59.065,54.149,52.218,48.53,43.073,47.564,56.018,63.581,76.276,80.175,78.981,79.669,81.453,91.348,96.065,105.176,100,97.526,100.297,99.79,102.57
"354","347","      Social advocacy establishments, gross output","DSAORA3",3.045,3.165,3.242,3.089,3.317,4.245,4.865,5.754,6.629,7.1,7.637,8.174,9.207,10.662,10.999,10.346,10.721,12.026,13.239,14.649,15.758,16.342,16.847,17.536,18.655,20.02,22.101,23.898,25.959,27.219,28.654,30.794,32.819,35.199,37.186,38.495,40.474,41.745,43.316,44.319,47.385,50.824,55.364,66.684,68.861,69.168,72.462,82.086,91.291,99.616,100,101.386,102.455,104.169,106.791
"355","348","      Civic and social organizations, gross output","DCIORA3",14.47,14.669,15.237,15.423,16.067,17.518,18.334,20.104,21.422,22.113,22.13,22.439,22.523,23.156,23.85,22.841,23.501,25.008,26.21,27.288,30.182,32.462,35.621,40.927,42.951,44.638,51.055,54.592,57.886,61.072,66.308,71.763,77.989,83.348,85.717,85.828,86.537,85.292,83.902,90.556,95.42,101.458,108.329,116.38,119.572,115.725,107.818,105.926,100.948,103.374,100,99.039,98.044,96.739,99.752
"356","349","      Professional advocacy, gross output","DSNGRA3",24.385,27.699,26.194,28.006,27.626,32.182,30.134,33.395,33.763,39.336,36.503,39.249,37.346,42.082,41.35,42.988,43.372,47.967,47.782,51.942,51.531,54.718,52.645,59.11,57.559,66.751,62.429,71.456,67.082,80.59,73.672,87.574,83.4,97.762,87.628,96.922,89.921,100.651,88.998,96.103,91.681,100.548,91.402,102.287,94.134,106.621,94.322,109.217,98.928,121.196,100,111.691,98.122,124.764,101.007
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRA3",20.068,20.135,21.214,22.579,24.106,25.631,27.235,29.425,31.359,33.721,36.036,37.714,40.585,42.988,44.543,45.592,47.872,50.334,52.613,55.63,57.108,58.442,60.123,60.538,60.798,60.747,62.063,63.616,65.472,67.264,67.608,68.847,69.438,70.441,71.103,71.369,71.634,72.817,75.903,78.513,80.165,82.041,84.987,88.722,89.221,91.771,94.863,95.928,98.034,98.117,100,101.402,103.059,105.299,107.889
"358","351","      Health services to households","DHLRRA3",16.59,16.19,17.166,18.673,20.295,21.492,22.691,24.756,26.633,29.293,32.112,34.111,37.794,40.371,42.251,44.455,47.622,50.605,53.384,56.444,57.754,59.124,60.944,60.826,60.766,60.018,60.412,61.51,63.17,64.978,64.574,65.407,65.889,66.865,67.279,67.2,66.917,67.742,70.977,73.738,75.45,77.242,80.252,85.577,86.161,89.389,93.204,94.435,96.924,97.113,100,101.787,104.046,106.861,110.031
"359","352","        Outpatient services to households","DOUSRA3",7.209,7.837,8.446,9.696,10.794,12.44,13.443,13.644,11.832,12.365,12.18,12.365,12.408,13.24,14.935,15.473,16.475,17.519,18.5,18.791,19.392,19.44,20.799,20.273,22.749,24.827,26.541,28.348,30.854,33.767,37.275,43.918,48.405,53.35,58.607,63.044,67.986,70.911,73.865,76.522,77.904,81.896,85.928,96.392,98.988,103.129,105.847,102.923,99.352,97.588,100,102.267,107.076,109.287,113.628
"360","353","        Nonprofit hospitals' services to households","DNPHRA3",19.721,18.772,19.75,21.305,22.959,23.806,25.155,27.494,29.998,32.979,36.209,38.524,42.834,45.748,47.586,50.205,53.903,57.359,60.517,64.098,65.571,67.145,69.138,69.178,68.222,66.652,66.658,67.455,68.539,69.408,68.393,68.011,68.053,68.132,67.735,66.982,65.886,66.387,69.497,72.2,74.099,75.778,78.823,83.921,83.971,87.338,91.296,93.053,96.3,96.888,100,101.877,104.122,107.323,110.652
"361","354","        Nonprofit nursing homes' services to households","DNPNRA3",2.48,4.292,5.365,6.313,7.8,10.22,10.267,12.202,14.193,16.559,19.58,21.159,24.182,25.89,27.576,28.441,29.821,31.156,32.791,34.968,35.651,36.92,37.561,36.845,40.44,42.768,44.578,47.128,52.488,61.172,61.103,65.901,65.349,70.581,73.417,74.759,76.529,78.146,83.093,86.619,86.859,87.058,88.547,90.05,93.404,94.248,97.926,98.648,100.361,98.783,100,100.401,100.093,99.757,100.111
"362","355","      Recreation services to households","DRCRRA3",20.151,19.743,19.473,19.6,19.801,20.149,20.404,21.771,22.32,21.74,20.641,19.34,17.594,17.252,17.746,17.961,17.583,17.836,18.398,20.198,23.533,27.867,33.272,37.4,39.595,42.829,50.139,56.026,58.245,60.584,62.189,64.688,65.424,68.561,72.313,73.303,76.664,76.288,77.206,78.13,80.55,81.169,82.948,81.411,84.612,92.215,103.936,108.036,109.313,105.741,100,100.435,98.241,99.763,101.156
"363","356","      Education services to households","DEDRRA3",57.201,60.514,64.868,68.95,72.673,77.578,84.698,89.747,93.075,98.529,102.225,105.091,107.73,111.775,111.659,107.011,106.531,106.193,105.472,109.839,110.062,110.175,108.257,105.904,105.135,103.734,102.684,101.227,101.947,102.502,105.003,106.652,104.752,101.888,100.235,99.978,100.227,103.526,104.951,106.466,107.496,109.874,112.462,107.392,104.833,102.311,101.427,101.142,101.552,101.531,100,99.451,100.145,101.054,101.125
"364","357","      Social services to households","DSSRRA3",3.847,4,4.096,3.904,4.192,5.363,6.147,7.27,8.376,8.971,9.649,10.328,11.633,13.472,13.898,13.073,13.547,15.196,16.729,18.509,19.912,20.649,21.286,22.158,23.581,25.325,27.977,30.273,32.921,34.343,36.764,39.135,41.229,44.236,47.552,50.809,54.786,58.274,63.793,68.543,72.788,78.965,87.139,92.113,93.942,96.546,97.723,97.032,97.983,98.822,100,103.054,103.137,102.086,101.597
"365","358","      Religious organizations' services to households","DRELRA3",46.036,44.875,46.359,46.881,48.362,51.267,53.164,52.409,56.033,55.787,55.706,57.355,59.513,60.155,61.405,58.263,58.163,59.583,59.644,61.702,61.283,58.708,62.729,64.345,66.658,71.161,76.843,81.768,82.91,84.287,85.927,89.981,92.075,93.565,95.59,101.237,102.208,108.863,108.836,109.328,107.744,104.415,102.122,99.184,98.8,100.547,99.89,100.07,103.183,100.498,100,94.837,91.48,90.001,90.021
"366","359","      Foundations and grantmaking and giving services to households","DGIVRA3",6.773,8.957,11.399,13.082,15.522,14.299,23.906,25.467,24.455,22.169,27.337,31.413,46.672,40.504,37.036,47.16,46.438,49.729,56.093,49.855,60.73,62.735,63.629,71.045,77.772,81.592,87.651,93.68,101.964,111.421,128.152,126.023,136.409,136.022,137.671,126.545,122.205,114.223,129.519,117.197,102.761,87.638,66.012,50.182,56.544,69.077,76.977,98.72,123.176,109.192,100,104.774,106.244,104.831,113.862
"367","360","      Services of social advocacy establishments to households","DSASRA3",4.581,4.762,4.877,4.648,4.991,6.386,7.319,8.657,9.973,10.682,11.489,12.298,13.852,16.041,16.548,15.566,16.13,18.093,19.919,22.039,23.709,24.586,25.346,26.383,28.067,30.12,33.251,35.955,39.056,40.984,43.207,46.502,49.63,53.272,57.206,60.996,65.585,67.902,65.972,70.459,75.282,75.187,73.796,73.666,82.157,82.274,83.063,91.425,96.257,100.546,100,104.518,108.228,109.432,118.279
"368","361","      Civic and social organizations' services to households","DCISRA3",20.804,21.049,21.889,22.258,23.134,24.892,25.826,28.098,29.676,29.567,27.678,26.265,24.573,24.284,24.179,21.688,20.792,20.696,21.038,23,26.979,30.73,35.776,42.521,46.173,50.852,61.791,69.574,75.548,78.493,83.074,87.262,92.125,96.765,101.916,105.318,109.376,111.005,109.488,116.485,117.957,119.509,119.092,120.416,122.23,119.1,111.846,109.481,108.218,104.167,100,100.906,98.079,100.98,111.334
"369","362","      Professional advocacy services to households","DSNRRA3",33.249,34.716,35.641,36.542,37.476,38.97,40.29,42.759,45.014,46.316,47.191,47.566,46.644,48.016,50.677,50.953,52.341,54.772,57.044,60.551,63.131,64.401,66.267,71.575,72.274,76.177,84.473,90.472,93.776,96.75,99.408,102.591,104.503,106.4,107.663,108.157,109.662,109.165,110.706,108.944,106.081,102.983,99.383,96.315,97.329,96.869,96.689,98.75,99.699,100.415,100,97.986,96.824,98.346,101.248
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRA3",16.411,16.618,16.976,17.652,18.213,19.4,20.598,22.115,22.692,23.89,24.639,25.186,25.822,27.402,28.772,28.346,28.548,30.11,31.276,32.684,33.798,33.591,33.921,34.08,36.013,38.356,40.049,42.318,43.604,45.358,46.779,47.456,47.395,48.51,50.643,53.527,55.684,58.326,60.998,64.965,70.542,75.014,77.204,80.361,85.084,90.217,95.332,100.366,103.718,102.918,100,104.405,108.567,112.396,116.949
"372","364","  PCE food and energy","DPFERA3",45.113,45.703,46.331,47.141,47.949,49.85,52.311,54.587,56.048,58.563,60.521,62.42,63.521,65.37,65.448,63.543,65.026,68.166,69.514,69.957,70.197,69.317,68.768,69.713,71.452,72.824,74.772,76.327,76.742,79.121,80.276,80.801,81.01,81.352,82.847,84.746,85.438,86.719,87.397,88.968,91.841,93.279,93.811,94.62,96.378,98.087,100.62,101.822,102.915,100.613,100,101.63,101.569,101.555,103.15
"373","365","  PCE energy goods and services \1\","DNRGRA3",40.864,42.044,42.601,44.544,46.313,48.793,51.119,53.919,55.881,58.46,61.265,63.709,65.738,69.125,72.345,68.832,71.204,74.536,76.725,78.792,77.596,73.872,72.798,73.201,74.992,76.328,78.054,79.719,81.841,85.042,86.601,85.06,85.861,87.469,90.64,91.946,93.188,95.392,95.991,98.424,100.072,100.079,99.29,100.898,101.946,102.861,103.656,102.283,103.018,99.336,100,100.876,98.599,96.83,98.645
"374","366","  PCE excluding food","DPXFRA3",16.419,16.949,17.325,18.351,19.238,20.486,21.84,23.155,23.879,25.31,26.304,26.901,28.061,29.993,31.846,31.652,32.397,34.242,35.843,37.708,38.662,38.459,39.14,39.666,42.11,44.519,46.993,49.094,50.997,53.222,54.877,56.008,56.158,58.5,60.696,63.117,65.162,67.597,70.33,74.351,78.505,82.657,84.814,87.119,89.868,93.423,96.668,99.577,101.89,101.591,100,101.944,104.623,107.001,109.2
"375","367","  PCE excluding energy","DPXERA3",17.749,18.234,18.62,19.547,20.354,21.575,22.968,24.271,24.985,26.44,27.409,28.024,29.105,30.909,32.448,32.279,32.982,34.845,36.349,37.998,39.025,39.07,39.767,40.367,42.791,45.18,47.667,49.74,51.446,53.607,55.208,56.48,56.584,58.746,60.781,63.223,65.17,67.486,70.14,73.988,78.158,82.304,84.506,86.687,89.449,93.006,96.4,99.553,101.883,101.724,100,102.021,104.919,107.486,109.64
"376","368","  PCE excluding food and energy \2\","DPCCRA3",15.308,15.807,16.172,17.151,17.994,19.18,20.48,21.723,22.392,23.761,24.676,25.202,26.312,28.16,29.934,29.866,30.538,32.307,33.873,35.715,36.764,36.748,37.54,38.079,40.579,43.063,45.591,47.717,49.609,51.789,53.445,54.692,54.814,57.184,59.335,61.797,63.87,66.309,69.123,73.195,77.429,81.743,84.026,86.358,89.175,92.852,96.227,99.392,101.805,101.74,100,102.01,105.024,107.701,109.923
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","369","    Market-based PCE","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.068,56.315,57.851,58.845,58.604,60.52,62.387,64.704,66.643,69.013,71.672,75.306,79.366,83.175,85.333,87.639,90.385,93.834,97.149,99.886,102.21,101.639,100,102.005,104.714,107.193,109.576
"379",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","370","  Market-based PCE motor vehicles and parts","DMOMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.611,75.026,74.566,73.234,63.955,69.702,73.49,77.915,76.067,79.806,85.621,95.468,104.948,108.294,113.813,121.82,125.314,128.902,126.854,121.648,124.314,106.955,100,102.244,107.51,115.222,121.902
"381","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.264,24.585,25.566,25.669,25.476,26.535,28.876,31.528,34.015,37.163,40.556,45.916,52.992,59.572,62.738,68.25,75.09,83.934,92.049,100.214,106.182,105.133,100,108.024,115.983,125.255,135.203
"382",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.34,75.287,76.25,77.849,77.752,77.451,78.093,80.27,80.69,81.508,82.228,83.372,86.762,88.905,90.138,90.531,92.646,94.787,98.399,101.403,102.776,101.55,100,102.152,103.77,105.12,106.546
"384","373","  Market-based PCE clothing and footwear","DCLMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.847,51.313,54.031,53.664,53.696,56.527,58.933,62.239,64.799,67.947,70.176,74.463,79.363,83.199,83.98,86.535,90.783,95.024,100.117,103.592,105.691,105.174,100,105.298,109.328,110.616,112.051
"385","374","  Market-based PCE gasoline and other energy goods","DGOERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.83,89.302,90.729,89.102,88.379,91.908,94.212,95.719,97.505,99.047,101.046,103.877,106.264,103.492,103.393,104.198,104.309,105.199,104.744,104.545,104.337,99.614,100,99.199,96.739,95.419,95.7
"386","375","  Market-based PCE other nondurable goods","DNDXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.093,49.371,50.983,52.396,52.169,53.507,55.412,58.193,60.593,63.254,66.482,69.957,74.254,77.909,80.336,82.718,86.967,90.893,94.102,98.775,101.524,101.932,100,102.427,105.824,108.744,112.662
"387",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","376","  Market-based PCE services","DSEMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.201,59.728,61.465,63.012,63.466,65.529,67.095,68.903,70.986,73.076,75.473,78.474,81.386,85.076,87.06,88.633,90.419,93.093,95.998,98.164,100.178,100.805,100,101.141,103.418,105.29,106.748
"389",NA,"    Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","377","    Market-based PCE housing services","DHSMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.458,59.282,60.791,62.405,63.782,65.505,66.997,69.404,71.776,73.307,75.227,77.697,80.204,82.747,85.559,85.892,87.012,89.607,93.751,96.301,97.169,98.694,100,101.098,102.907,104.28,104.762
"391","378","    Market-based PCE household utilities","DUTLRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.308,79.79,81.715,80.643,82.335,81.646,85.636,87.357,88.664,91.559,91.407,93.302,94.779,97.361,96.408,98.507,100.06,100.22,101.885,99.985,101.365,99.828,100,102.098,100.719,98.587,101.864
"392","379","    Market-based PCE health care","DHLCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.626,57.813,58.474,60.443,61.601,63.46,63.782,64.281,65.613,66.969,69.049,71.292,72.405,74.894,78.628,83.298,85.568,88.625,91.585,93.724,96.058,98.245,100,101.34,104.05,106.82,109.386
"393","380","    Market-based PCE transportation services","DTRSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.498,67.166,68.676,68.604,65.346,68.651,72.538,79.414,85.4,92.399,99.369,103.719,109.586,114.873,114.097,110.744,111.479,114.439,115.536,115.821,117.023,110.904,100,99.107,101.593,102.863,103.696
"394","381","    Market-based PCE recreation services","DRCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.118,58.923,62.987,65.472,64.805,68.417,71.153,72.542,77.065,79.701,81.421,84.603,87.358,89.262,88.816,88.188,89.89,93.512,95.432,98.143,102.671,103.016,100,102.262,105.145,106.765,107.164
"395","382","    Market-based PCE food services and accommodations","DFSMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.493,69.468,71.407,74.012,74.077,76.005,77.705,78.901,79.02,79.488,81.227,83.386,85.466,89.422,89.226,90.583,93.902,97.693,101.076,104.163,105.456,104.401,100,101.705,105.729,109.646,112.804
"396","383","    Market-based PCE financial services and insurance","DFIMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.773,22.368,24.427,24.575,26.276,28.772,32.674,34.266,37.565,42.293,45.405,54.633,70.152,89.186,87.499,90.817,90.685,92.385,95.386,99.62,102.881,100.546,100,94.065,93.206,89.34,89.183
"397","384","    Market-based PCE other services","DOTMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.342,58.549,61.675,63.224,61.733,64.757,65.896,67.849,69.882,72.64,76.223,80.513,84.767,90.003,91.944,91.936,93.792,95.575,96.886,99.256,102.894,103.6,100,101.547,104.101,106.249,106.272
"398",NA,"      Of which:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","385","      Market-based PCE communication services","DCOMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.224,27.574,29.269,30.525,31.512,34.553,36.304,38.7,40.816,44.532,49.114,53.307,59.673,68.327,71.969,73.111,75.112,78.924,82.12,87.828,96.691,101.698,100,104.211,110.702,116.624,120.164
"400","386","      Market-based PCE education","DTEDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.145,82.334,85.906,87.577,86.843,86.991,85.819,86.157,87.328,89.838,92.335,95.041,97.248,100.653,102.513,100.204,99.53,97.486,97.427,98.412,99.82,100.275,100,102.316,104.023,105.083,105.461
"401","387","      Market-based PCE professional services","DPRMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.414,86.18,88.982,90.832,88.669,90.875,90.988,90.429,89.039,90.832,92.345,96.126,99.047,100.109,102.993,103.573,107.482,107.309,107.307,107.89,109.214,106.936,100,98.113,96.937,96.726,95.858
"402","388","      Market-based PCE personal care and clothing services","DPERRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.237,65.622,68.432,70.887,65.356,71.106,72.424,75.142,79.399,81.967,84.846,89.698,93.901,98.51,97.98,99.463,102.371,106.714,108.753,109.891,109.551,107.152,100,102.422,104.563,106.802,101.559
